T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
24.47883	0.9133934	0.0003961775	-0.0002442299	7.438906E-05
24.53278	0.9133778	0.0003888306	-0.0002494905	7.520393E-05
24.58673	0.9133614	0.0003826343	-0.0002546148	7.591384E-05
24.64068	0.9133443	0.0003772549	-0.0002596009	7.651309E-05
24.69464	0.9133267	0.0003723229	-0.000264448	7.699633E-05
24.74859	0.9133089	0.0003674402	-0.0002691565	7.735872E-05
24.80254	0.9132912	0.0003624	-0.0002737276	7.759623E-05
24.85649	0.9132738	0.0003569193	-0.0002781631	7.770554E-05
24.91044	0.9132566	0.0003508326	-0.000282466	7.768437E-05
24.96439	0.9132398	0.0003440993	-0.0002866393	7.753151E-05
25.01834	0.9132233	0.000336593	-0.0002906869	7.724689E-05
25.07229	0.9132071	0.0003283216	-0.0002946132	7.683202E-05
25.12624	0.9131912	0.0003194524	-0.0002984229	7.628978E-05
25.18019	0.9131755	0.0003102843	-0.0003021214	7.562467E-05
25.23414	0.91316	0.0003009486	-0.0003057145	7.484258E-05
25.28809	0.9131444	0.0002917319	-0.0003092084	7.395117E-05
25.34204	0.9131284	0.0002827458	-0.0003126102	7.296004E-05
25.39599	0.9131122	0.0002741007	-0.0003159271	7.188083E-05
25.44994	0.9130954	0.0002659578	-0.0003191664	7.072737E-05
25.50389	0.913078	0.0002584715	-0.0003223359	6.951576E-05
25.55784	0.9130601	0.0002516758	-0.0003254429	6.826445E-05
25.61179	0.9130418	0.0002455955	-0.0003284949	6.699386E-05
25.66574	0.9130228	0.0002401837	-0.0003314992	6.572594E-05
25.71969	0.913003	0.0002355287	-0.0003344626	6.448395E-05
25.77365	0.9129825	0.0002317983	-0.0003373916	6.329166E-05
25.8276	0.9129608	0.0002293647	-0.0003402922	6.217291E-05
25.88155	0.9129381	0.000228559	-0.00034317	6.115046E-05
25.9355	0.912914	0.0002297482	-0.00034603	6.024523E-05
25.98945	0.9128888	0.0002330644	-0.0003488768	5.94753E-05
26.0434	0.9128623	0.0002383764	-0.0003517143	5.885536E-05
26.09735	0.9128346	0.0002455672	-0.0003545458	5.839629E-05
26.1513	0.9128059	0.0002545264	-0.0003573741	5.81044E-05
26.20525	0.9127761	0.0002648762	-0.0003602015	5.798165E-05
26.2592	0.9127456	0.0002762766	-0.0003630303	5.802566E-05
26.31315	0.9127145	0.0002884464	-0.0003658622	5.823015E-05
26.3671	0.9126828	0.0003011014	-0.000368699	5.858485E-05
26.42105	0.9126507	0.0003140861	-0.0003715424	5.907606E-05
26.475	0.9126185	0.0003271534	-0.000374394	5.968726E-05
26.52895	0.9125864	0.0003401384	-0.0003772556	6.039979E-05
26.5829	0.9125547	0.0003527626	-0.0003801283	6.119342E-05
26.63685	0.9125235	0.0003647896	-0.0003830129	6.204717E-05
26.6908	0.9124932	0.0003759388	-0.0003859095	6.294033E-05
26.74475	0.9124639	0.0003858235	-0.0003888181	6.38532E-05
26.7987	0.9124358	0.0003941073	-0.0003917383	6.476772E-05
26.85266	0.9124089	0.0004004139	-0.0003946697	6.566765E-05
26.9066	0.9123833	0.0004045666	-0.0003976118	6.653865E-05
26.96056	0.9123588	0.000406423	-0.0004005643	6.736814E-05
27.01451	0.9123353	0.0004060358	-0.000403527	6.814511E-05
27.06846	0.912313	0.0004033852	-0.0004064991	6.886013E-05
27.12241	0.9122916	0.0003987076	-0.0004094795	6.950532E-05
27.17636	0.9122714	0.0003921931	-0.0004124665	7.007457E-05
27.23031	0.9122523	0.0003842381	-0.0004154573	7.056339E-05
27.28426	0.9122344	0.0003753454	-0.0004184487	7.096885E-05
27.33821	0.9122177	0.000365986	-0.0004214366	7.12893E-05
27.39216	0.9122019	0.0003566108	-0.0004244166	7.152356E-05
27.44611	0.9121872	0.0003473133	-0.0004273841	7.167133E-05
27.50006	0.9121733	0.00033805	-0.000430334	7.173299E-05
27.55401	0.9121603	0.0003285856	-0.0004332611	7.170968E-05
27.60796	0.9121482	0.0003189828	-0.0004361598	7.160335E-05
27.66191	0.912137	0.0003091609	-0.0004390249	7.141657E-05
27.71586	0.9121264	0.0002989334	-0.0004418519	7.115275E-05
27.76981	0.9121162	0.0002880877	-0.000444637	7.081564E-05
27.82376	0.9121065	0.0002766016	-0.0004473769	7.040914E-05
27.87771	0.9120968	0.0002645793	-0.0004500695	6.993768E-05
27.93167	0.9120868	0.000252084	-0.0004527135	6.940572E-05
27.98561	0.9120762	0.0002393168	-0.0004553085	6.881761E-05
28.03957	0.9120649	0.0002266204	-0.0004578547	6.817703E-05
28.09352	0.9120524	0.0002142613	-0.000460353	6.74871E-05
28.14747	0.9120386	0.0002027063	-0.000462805	6.675071E-05
28.20142	0.9120237	0.000192229	-0.0004652135	6.59699E-05
28.25537	0.9120075	0.0001832688	-0.000467582	6.51463E-05
28.30932	0.9119902	0.0001761946	-0.0004699146	6.428108E-05
28.36327	0.9119719	0.0001713746	-0.0004722161	6.337503E-05
28.41722	0.9119524	0.0001688927	-0.0004744917	6.24289E-05
28.47117	0.9119321	0.0001688438	-0.0004767476	6.144355E-05
28.52512	0.9119108	0.0001709542	-0.0004789898	6.042013E-05
28.57907	0.9118887	0.0001749121	-0.0004812247	5.936013E-05
28.63302	0.9118661	0.0001805537	-0.0004834589	5.826507E-05
28.68697	0.9118428	0.000187509	-0.0004856996	5.713671E-05
28.74092	0.9118188	0.0001952426	-0.0004879546	5.597687E-05
28.79487	0.9117942	0.0002032565	-0.0004902324	5.478754E-05
28.84882	0.9117689	0.0002112281	-0.0004925421	5.357012E-05
28.90277	0.9117426	0.0002189611	-0.0004948935	5.232565E-05
28.95672	0.9117154	0.0002263788	-0.0004972967	5.105467E-05
29.01068	0.911687	0.0002332457	-0.0004997624	4.975725E-05
29.06462	0.9116573	0.0002395005	-0.0005023014	4.843283E-05
29.11858	0.9116261	0.0002450295	-0.0005049247	4.708045E-05
29.17253	0.9115936	0.0002497351	-0.0005076431	4.569884E-05
29.22648	0.9115599	0.0002535007	-0.0005104668	4.42873E-05
29.28043	0.9115252	0.0002562625	-0.0005134051	4.284577E-05
29.33438	0.9114895	0.0002580556	-0.0005164663	4.137539E-05
29.38833	0.9114529	0.0002589267	-0.0005196574	3.987891E-05
29.44228	0.9114154	0.0002587144	-0.0005229844	3.836151E-05
29.49623	0.911377	0.0002573719	-0.0005264519	3.683149E-05
29.55018	0.9113377	0.0002547291	-0.0005300636	3.530127E-05
29.60413	0.9112977	0.0002508652	-0.0005338222	3.378784E-05
29.65808	0.9112571	0.0002458374	-0.0005377295	3.231426E-05
29.71203	0.9112163	0.000239787	-0.0005417858	3.091003E-05
29.76598	0.9111752	0.0002329347	-0.0005459907	2.961215E-05
29.81993	0.9111341	0.0002255942	-0.0005503423	2.846512E-05
29.87388	0.9110929	0.0002181228	-0.0005548382	2.75198E-05
29.92783	0.9110519	0.0002107135	-0.0005594752	2.683031E-05
29.98178	0.9110112	0.0002033466	-0.000564249	2.64496E-05
30.03573	0.9109708	0.0001959708	-0.0005691545	2.642254E-05
30.08969	0.9109308	0.0001885179	-0.0005741854	2.67792E-05
30.14363	0.9108913	0.0001808776	-0.0005793353	2.753028E-05
30.19759	0.9108522	0.0001729316	-0.0005845965	2.866617E-05
30.25154	0.9108136	0.0001646304	-0.0005899611	3.016023E-05
30.30549	0.9107758	0.0001558879	-0.0005954202	3.197428E-05
30.35944	0.9107389	0.0001469626	-0.0006009648	3.406387E-05
30.41339	0.9107031	0.0001380521	-0.0006065856	3.63834E-05
30.46734	0.9106684	0.0001293885	-0.0006122728	3.888872E-05
30.52129	0.9106349	0.000121158	-0.0006180166	4.153978E-05
30.57524	0.9106025	0.0001136769	-0.0006238069	4.430114E-05
30.62919	0.9105713	0.0001070506	-0.0006296338	4.714197E-05
30.68314	0.9105411	0.0001012956	-0.0006354876	5.0036E-05
30.73709	0.9105117	9.623492E-05	-0.0006413585	5.296041E-05
30.79104	0.9104834	9.161636E-05	-0.0006472375	5.589555E-05
30.84499	0.910456	8.714834E-05	-0.0006531158	5.882456E-05
30.89894	0.9104296	8.271881E-05	-0.0006589849	6.173237E-05
30.95289	0.9104041	7.817871E-05	-0.0006648367	6.460595E-05
31.00684	0.9103794	7.336058E-05	-0.0006706635	6.743408E-05
31.06079	0.9103554	6.806399E-05	-0.0006764572	7.020758E-05
31.11474	0.910332	6.228034E-05	-0.0006822102	7.291903E-05
31.1687	0.9103091	5.603113E-05	-0.0006879151	7.556243E-05
31.22264	0.9102867	4.979423E-05	-0.0006935644	7.813315E-05
31.2766	0.9102646	4.495096E-05	-0.0006991507	8.062732E-05
31.33055	0.9102428	4.367502E-05	-0.0007046668	8.304176E-05
31.3845	0.9102209	4.769005E-05	-0.0007101059	8.537382E-05
31.43845	0.9101986	5.66511E-05	-0.0007154616	8.762101E-05
31.4924	0.9101756	6.902364E-05	-0.0007207287	8.978113E-05
31.54635	0.9101517	8.325617E-05	-0.0007259027	9.185142E-05
31.6003	0.9101267	9.83877E-05	-0.0007309803	9.382918E-05
31.65425	0.9101007	0.0001136716	-0.0007359588	9.571182E-05
31.7082	0.9100736	0.0001287671	-0.0007408366	9.749726E-05
31.76215	0.9100454	0.0001435632	-0.0007456127	9.918382E-05
31.8161	0.9100159	0.000157741	-0.0007502868	0.0001007703
31.87005	0.9099852	0.0001711538	-0.0007548595	0.0001022556
31.924	0.9099529	0.0001837326	-0.0007593322	0.0001036391
31.97795	0.909919	0.0001954718	-0.0007637071	0.0001049206
32.0319	0.9098833	0.0002063154	-0.0007679868	0.0001061002
32.08585	0.9098454	0.0002163403	-0.0007721746	0.0001071783
32.1398	0.9098051	0.0002256099	-0.0007762741	0.0001081553
32.19376	0.9097624	0.0002341937	-0.0007802898	0.0001090317
32.2477	0.9097173	0.0002421364	-0.0007842265	0.0001098081
32.30165	0.9096702	0.0002493449	-0.0007880887	0.0001104847
32.35561	0.9096211	0.0002558197	-0.0007918819	0.0001110611
32.40956	0.9095705	0.0002616207	-0.000795611	0.0001115368
32.4635	0.9095184	0.0002668925	-0.0007992814	0.0001119111
32.51746	0.9094654	0.0002719003	-0.0008028982	0.0001121834
32.57141	0.9094116	0.0002771185	-0.0008064666	0.0001123532
32.62536	0.9093574	0.0002828696	-0.0008099914	0.0001124205
32.67931	0.9093031	0.0002896728	-0.0008134768	0.000112386
32.73326	0.9092487	0.0002978147	-0.000816927	0.0001122512
32.78721	0.9091942	0.000307573	-0.0008203455	0.0001120182
32.84116	0.9091398	0.0003189833	-0.0008237355	0.0001116895
32.89511	0.9090853	0.0003317764	-0.0008271001	0.0001112669
32.94906	0.9090307	0.0003455198	-0.0008304417	0.0001107519
33.00301	0.9089758	0.0003599342	-0.0008337624	0.0001101449
33.05696	0.9089208	0.0003746069	-0.0008370641	0.0001094455
33.11091	0.9088657	0.0003893736	-0.0008403477	0.0001086532
33.16486	0.9088104	0.0004040505	-0.0008436142	0.000107767
33.21881	0.9087547	0.000418484	-0.0008468634	0.0001067858
33.27276	0.9086986	0.0004323365	-0.0008500951	0.0001057086
33.32671	0.9086421	0.0004453952	-0.0008533078	0.0001045342
33.38066	0.9085854	0.0004574297	-0.0008564999	0.0001032615
33.43462	0.9085284	0.0004681676	-0.0008596689	0.0001018899
33.48857	0.9084711	0.000477617	-0.0008628115	0.0001004184
33.54251	0.9084136	0.0004857844	-0.0008659239	9.884722E-05
33.59647	0.9083556	0.0004927992	-0.0008690025	9.717711E-05
33.65042	0.9082971	0.0004987709	-0.0008720434	9.540955E-05
33.70437	0.9082379	0.0005038881	-0.0008750426	9.354658E-05
33.75832	0.9081783	0.0005081488	-0.000877996	9.159053E-05
33.81227	0.9081183	0.000511747	-0.0008809001	8.954424E-05
33.86622	0.9080581	0.0005148887	-0.0008837511	8.7411E-05
33.92017	0.907998	0.0005177891	-0.0008865462	8.519419E-05
33.97412	0.9079382	0.0005205573	-0.0008892833	8.289731E-05
34.02807	0.9078791	0.0005233149	-0.0008919602	8.052382E-05
34.08202	0.9078211	0.0005262168	-0.0008945759	7.807781E-05
34.13597	0.9077643	0.0005294647	-0.0008971291	7.556382E-05
