T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
29.52302	90.7951		-0.06851348	
29.57713	90.78934		-0.07098804	
29.63124	90.783		-0.07354415	
29.68534	90.77671		-0.07613859	
29.73945	90.77103		-0.07872647	
29.79355	90.76647		-0.08126258	
29.84766	90.76316		-0.08370291	
29.90177	90.76077		-0.08600657	
29.95587	90.75867		-0.08813556	
30.00998	90.75648		-0.090055	
30.06408	90.75405		-0.09173407	
30.11819	90.75113		-0.09314588	
30.17229	90.74708		-0.09426961	
30.2264	90.74127		-0.09508982	
30.28051	90.73319		-0.09559772	
30.33461	90.72308		-0.09579047	
30.38872	90.71133		-0.09567047	
30.44283	90.69823		-0.09524459	
30.49693	90.68418		-0.09452342	
30.55104	90.66976		-0.09352142	
30.60514	90.65546		-0.09225449	
30.65925	90.64141		-0.09074079	
30.71336	90.62712		-0.08899778	
30.76746	90.6121		-0.08704217	
30.82157	90.59566		-0.08488898	
30.87567	90.57731		-0.08255193	
30.92978	90.55672		-0.08004456	
30.98388	90.53388		-0.07738012	
31.03799	90.50948		-0.07457435	
31.0921	90.48484		-0.07164548	
31.1462	90.4615		-0.06861702	
31.20031	90.44086		-0.06551604	
31.25442	90.42373		-0.06237213	
31.30852	90.41037		-0.05921477	
31.36263	90.40031		-0.05607117	
31.41673	90.39267		-0.05296633	
31.47084	90.38662		-0.04992307	
31.52495	90.38189		-0.04696349	
31.57905	90.37901		-0.04410962	
31.63316	90.37869		-0.04138311	
31.68726	90.38108		-0.03880576	
31.74137	90.38607		-0.03639798	
31.79548	90.39368		-0.0341776	
31.84958	90.40397		-0.03215997	
31.90369	90.41648		-0.03035606	
31.95779	90.43043		-0.02877304	
32.0119	90.44477		-0.02741446	
32.06601	90.45873		-0.02628101	
32.12011	90.4721		-0.02537248	
32.17422	90.48508		-0.02468859	
32.22832	90.49789		-0.02423096	
32.28243	90.51073		-0.02400373	
32.33654	90.5237		-0.02401486	
32.39064	90.537		-0.02427255	
32.44475	90.55039		-0.02478526	
32.49885	90.56338		-0.02555767	
32.55296	90.57588		-0.02659051	
32.60707	90.58788		-0.02787874	
32.66117	90.59916		-0.02941003	
32.71528	90.60915		-0.03116736	
32.76938	90.61716		-0.03312756	
32.82349	90.62254		-0.0352664	
32.87759	90.62492		-0.03755743	
32.9317	90.6244		-0.03997448	
32.98581	90.62175		-0.04248987	
33.03991	90.61808		-0.04507587	
33.09402	90.61429		-0.04770392	
33.14812	90.61136		-0.05034489	
33.20223	90.60979		-0.05297137	
33.25634	90.60979		-0.05555667	
33.31044	90.61112		-0.05807824	
33.36455	90.61349		-0.0605171	
33.41866	90.61637		-0.06285994	
33.47276	90.61893		-0.06509791	
33.52687	90.62062		-0.06722686	
33.58097	90.62102		-0.06924584	
33.63508	90.61971		-0.07115623	
33.68919	90.61591		-0.07295948	
33.74329	90.60876		-0.0746549	
33.7974	90.59775		-0.07623881	
33.8515	90.58292		-0.07770316	
33.90561	90.56487		-0.07903706	
33.95972	90.54475		-0.08022742	
34.01382	90.52338		-0.08126187	
34.06793	90.50114		-0.08212932	
34.12203	90.47803		-0.0828226	
34.17614	90.45387		-0.08333655	
34.23024	90.42809		-0.08366875	
34.28435	90.40043		-0.08381881	
34.33846	90.37096		-0.08378868	
34.39256	90.33998		-0.08358285	
34.44667	90.30811		-0.08320597	
34.50077	90.27664		-0.08266565	
34.55488	90.24738		-0.08197129	
34.60899	90.2222		-0.08113575	
34.66309	90.20265		-0.08017393	
34.7172	90.18953		-0.07910153	
34.77131	90.18275		-0.07793262	
34.82541	90.18112		-0.07667913	
34.87952	90.18299		-0.07535037	
34.93362	90.18671		-0.07395289	
34.98773	90.19124		-0.07249159	
35.04184	90.19603		-0.07096981	
35.09594	90.20126		-0.06939169	
35.15005	90.20735		-0.06776199	
35.20415	90.21468		-0.06608769	
35.25826	90.22382		-0.06437891	
35.31237	90.2348		-0.0626497	
35.36647	90.24729		-0.06091929	
35.42058	90.26079		-0.05921135	
35.47468	90.27459		-0.05755492	
35.52879	90.28809		-0.05598211	
35.58289	90.30094		-0.05452665	
35.637	90.31281		-0.05322142	
35.69111	90.32368		-0.0520984	
35.74521	90.33346		-0.05118691	
35.79932	90.342		-0.05051249	
35.85342	90.34953		-0.05009602	
35.90753	90.35648		-0.04995253	
35.96164	90.3633		-0.05009087	
36.01574	90.37027		-0.05051358	
36.06985	90.37753		-0.05121813	
36.12395	90.38474		-0.05219728	
36.17806	90.39109		-0.05344009	
36.23217	90.39548		-0.05493172	
36.28627	90.39694		-0.05665503	
36.34038	90.39494		-0.05859039	
36.39449	90.38973		-0.06071703	
36.44859	90.3823		-0.063012	
36.5027	90.37399		-0.06545123	
36.5568	90.36658		-0.06800852	
36.61091	90.36131		-0.07065672	
36.66502	90.35874		-0.07336909	
36.71912	90.35858		-0.07611824	
36.77323	90.35965		-0.07887748	
36.82733	90.3606		-0.08161946	
36.88144	90.35984		-0.08431791	
36.93555	90.35635		-0.08694585	
36.98965	90.35007		-0.0894767	
37.04376	90.3415		-0.09188592	
37.09786	90.33132		-0.09415025	
37.15197	90.3204		-0.09624926	
37.20607	90.30929		-0.09816358	
37.26018	90.29837		-0.09987663	
37.31429	90.28787		-0.1013739	
37.36839	90.27757		-0.1026439	
37.4225	90.26693		-0.1036784	
37.4766	90.25517		-0.1044737	
37.53071	90.24149		-0.1050317	
37.58482	90.22531		-0.1053595	
37.63892	90.20621		-0.1054694	
37.69303	90.18407		-0.1053768	
37.74714	90.15911		-0.1050988	
37.80124	90.13178		-0.1046526	
37.85535	90.10248		-0.1040548	
37.90945	90.07204		-0.103321	
37.96356	90.04166		-0.1024665	
38.01767	90.01264		-0.1015063	
38.07177	89.98605		-0.1004544	
38.12588	89.96305		-0.0993222	
38.17998	89.94481		-0.09811914	
38.23409	89.93174		-0.09685181	
38.2882	89.92368		-0.09552555	
38.3423	89.92007		-0.0941452	
38.39641	89.92009		-0.09271631	
38.45051	89.9231		-0.0912467	
38.50462	89.92865		-0.0897459	
38.55872	89.93643		-0.0882255	
38.61283	89.94578		-0.08669773	
38.66694	89.95582		-0.08517573	
38.72104	89.96587		-0.08367307	
38.77515	89.97556		-0.0822036	
38.82925	89.98457		-0.08078208	
38.88336	89.99309		-0.0794232	
38.93747	90.00182		-0.07814178	
38.99157	90.01151		-0.07695048	
39.04568	90.02283		-0.07585999	
39.09978	90.03591		-0.07487895	
39.15389	90.0502		-0.07401438	
39.208	90.06428		-0.07327132	
39.2621	90.07658		-0.07265262	
39.31621	90.08569		-0.07215952	
39.37032	90.09059		-0.0717921	
39.42442	90.09079		-0.07154939	
39.47853	90.08665		-0.07142954	
39.53263	90.07951		-0.0714299	
39.58674	90.07092		-0.07154651	
39.64085	90.0626		-0.07177375	
39.69495	90.05604		-0.07210505	
39.74906	90.05233		-0.07253332	
39.80316	90.05176		-0.07305092	
39.85727	90.05368		-0.07364859	
39.91137	90.0572		-0.07431406	
39.96548	90.06126		-0.07503196	
40.01959	90.06476		-0.07578395	
40.07369	90.06684		-0.07654997	
40.1278	90.06659		-0.07730878	
40.1819	90.06322		-0.07803789	
40.23601	90.0567		-0.07871401	
40.29012	90.04757		-0.0793125	
40.34422	90.03691		-0.07980774	
40.39833	90.02605		-0.08017317	
40.45243	90.01596		-0.08038292	
40.50654	90.00684		-0.08041349	
40.56065	89.99812		-0.08024506	
40.61475	89.98898		-0.0798627	
40.66886	89.979		-0.07925827	
40.72297	89.96801		-0.07843041	
40.77707	89.95597		-0.0773837	
40.83118	89.94267		-0.07612707	
40.88528	89.92764		-0.07467401	
40.93939	89.9105		-0.07304103	
40.9935	89.89116		-0.07124586	
41.0476	89.86987		-0.06930664	
41.10171	89.84722		-0.06723889	
41.15581	89.82425		-0.06505597	
41.20992	89.8021		-0.0627682	
41.26403	89.78161		-0.06038519	
41.31813	89.76302		-0.05791666	
41.37224	89.74641		-0.05537277	
41.42634	89.73189		-0.05276681	
41.48045	89.71938		-0.05011457	
41.53455	89.70905		-0.04743521	
41.58866	89.70122		-0.04474935	
41.64277	89.69571		-0.04207946	
41.69687	89.6917		-0.03944697	
41.75098	89.68836		-0.03687368	
41.80508	89.68551		-0.03438077	
41.85919	89.68359		-0.031989	
41.9133	89.68327		-0.02971982	
41.9674	89.68536		-0.02759302	
42.02151	89.69043		-0.02562752	
42.07561	89.69878		-0.02383863	
42.12972	89.71062		-0.02223828	
42.18383	89.7261		-0.02083459	
42.23793	89.74496		-0.01963266	
42.29204	89.76625		-0.01863689	
42.34615	89.78842		-0.01785184	
42.40025	89.80993		-0.0172831	
42.45436	89.82949		-0.01693822	
42.50846	89.8465		-0.01682731	
42.56257	89.86089		-0.01696261	
42.61668	89.87294		-0.01735858	
42.67078	89.88312		-0.01803032	
42.72489	89.89207		-0.01899223	
42.77899	89.90035		-0.02025642	
42.8331	89.90833		-0.02183175	
42.8872	89.91627		-0.0237218	
42.94131	89.92429		-0.02592488	
42.99542	89.93235		-0.02843314	
43.04952	89.94014		-0.03123324	
43.10363	89.94702		-0.03430797	
43.15773	89.95224		-0.03763535	
43.21184	89.95492		-0.04119121	
43.26595	89.9543		-0.04494663	
43.32005	89.95046		-0.04886913	
43.37416	89.94436		-0.05292006	
43.42826	89.93717		-0.05705725	
43.48237	89.93007		-0.06123373	
43.53648	89.92396		-0.06540019	
43.59058	89.91933		-0.06950711	
43.64469	89.91617		-0.07350492	
43.6988	89.9141		-0.07734883	
43.7529	89.91239		-0.08099809	
43.80701	89.90997		-0.08441895	
43.86111	89.90587		-0.08758239	
43.91522	89.89945		-0.09046435	
43.96933	89.8905		-0.09304593	
44.02343	89.87885		-0.09531133	
44.07754	89.86457		-0.09724945	
44.13164	89.84801		-0.09885233	
44.18575	89.82975		-0.1001146	
44.23985	89.81058		-0.1010323	
44.29396	89.7913		-0.1016042	
44.34807	89.77229		-0.1018329	
44.40217	89.7538		-0.101727	
44.45628	89.7355		-0.1013013	
44.51038	89.71657		-0.1005764	
44.56449	89.69622		-0.0995786	
44.6186	89.674		-0.0983388	
44.6727	89.65026		-0.09689164	
44.72681	89.62577		-0.09527499	
44.78091	89.60144		-0.09352822	
44.83502	89.57801		-0.09169023	
44.88913	89.55585		-0.08979938	
44.94323	89.53534		-0.0878913	
44.99734	89.5169		-0.08599901	
45.05145	89.50099		-0.08414989	
45.10555	89.4879		-0.08236521	
45.15966	89.47735		-0.08065826	
45.21376	89.46852		-0.07903509	
45.26787	89.46077		-0.07749549	
45.32198	89.45399		-0.07603358	
45.37608	89.44844		-0.07463929	
45.43019	89.44472		-0.07329836	
45.48429	89.44379		-0.07199434	
45.5384	89.44604		-0.07070912	
45.59251	89.45144		-0.06942506	
45.64661	89.45953		-0.06812596	
45.70072	89.46983		-0.06679808	
45.75482	89.48202		-0.06543212	
45.80893	89.4959		-0.06402287	
45.86303	89.5114		-0.06257024	
45.91714	89.52843		-0.06107822	
45.97124	89.54659		-0.05955458	
46.02535	89.56571		-0.05800937	
46.07946	89.58551		-0.05645606	
46.13356	89.60615		-0.0549121	
46.18767	89.62785		-0.05339876	
46.24178	89.65025		-0.05194106	
46.29588	89.67245		-0.05056513	
46.34999	89.69279		-0.04929753	
46.40409	89.70959		-0.04816421	
46.4582	89.72197		-0.04719136	
46.51231	89.72989		-0.04640495	
46.56641	89.73406		-0.04583018	
46.62052	89.73523		-0.04549108	
46.67463	89.73376		-0.04540982	
46.72873	89.72991		-0.04560594	
46.78284	89.72402		-0.04609582	
46.83694	89.7166		-0.0468921	
46.89105	89.70829		-0.04800339	
46.94516	89.699		-0.04943407	
46.99926	89.68806		-0.0511836	
47.05337	89.67474		-0.05324693	
47.10747	89.65846		-0.05561315	
47.16158	89.63908		-0.05826575	
47.21568	89.61693		-0.06118047	
