T[°C]	Scattering [mAU]	S.D.
31.44524	89.00069	2.928289
31.49923	89.01122	2.951863
31.55322	89.05041	2.908261
31.60721	88.89392	2.788987
31.66121	88.94277	2.791332
31.7152	89.03193	2.760144
31.76919	88.95837	2.984027
31.82318	89.06801	3.115472
31.87717	88.99106	3.039445
31.93116	89.13097	3.277593
31.98516	89.18301	3.076375
32.03915	89.27867	3.193591
32.09314	89.07801	3.251833
32.14713	89.06412	3.225954
32.20112	88.81731	3.429607
32.25512	88.8017	3.532092
32.3091	88.74329	3.470038
32.3631	88.96858	3.498702
32.41709	89.03226	3.262526
32.47108	89.03524	3.252867
32.52507	89.02551	3.074736
32.57906	88.89305	3.096994
32.63306	88.83958	3.15851
32.68705	88.96506	3.061298
32.74104	88.77863	3.233941
32.79503	88.98059	3.137521
32.84902	89.12512	3.179348
32.90302	89.0493	3.293563
32.95701	89.04865	3.208335
33.011	89.05689	3.333968
33.06499	88.96615	3.441519
33.11898	89.06944	3.380167
33.17297	88.90955	3.696993
33.22697	88.98659	3.557639
33.28096	88.88041	3.717941
33.33495	88.92756	3.717493
33.38894	88.83366	3.58162
33.44293	88.92887	3.624533
33.49693	88.97238	3.251189
33.55091	88.94381	3.257177
33.60491	88.93024	3.381098
33.6589	88.94753	3.170539
33.71289	88.72376	3.445277
33.76688	88.93436	3.241003
33.82087	88.9458	3.006579
33.87487	88.98096	2.93141
33.92886	89.06677	3.129262
33.98285	89.05203	3.006082
34.03684	89.12798	3.225719
34.09083	89.12325	3.206614
34.14482	89.00465	3.454717
34.19882	89.03138	3.4902
34.25281	88.95232	3.502983
34.3068	89.05385	3.483291
34.36079	88.83732	3.382946
34.41478	88.93591	3.203231
34.46878	88.83856	2.976471
34.52277	88.966	3.006648
34.57676	89.01202	2.91203
34.63075	88.95675	2.951543
34.68474	88.79708	3.139853
34.73874	88.93109	2.974951
34.79272	88.82483	2.815068
34.84672	88.90634	2.781912
34.90071	88.75845	2.718552
34.9547	88.86583	2.657449
35.00869	88.6777	2.661493
35.06268	88.93327	2.545616
35.11668	89.13799	2.921928
35.17067	89.12889	2.854372
35.22466	88.94407	3.145106
35.27865	88.92548	3.160199
35.33264	88.55007	2.993957
35.38663	88.75796	3.078105
35.44063	88.8638	3.18536
35.49462	88.83904	3.046913
35.54861	88.90025	3.12357
35.6026	88.90233	3.045206
35.65659	88.83061	2.790501
35.71059	88.97137	2.645441
35.76458	89.09026	2.436263
35.81857	88.89277	2.810508
35.87256	89.03378	2.971849
35.92655	88.99854	2.921748
35.98055	89.21762	3.065226
36.03453	89.00354	2.836869
36.08853	89.00037	2.870552
36.14252	88.99249	2.81092
36.19651	89.16771	2.810137
36.2505	88.97828	3.215569
36.30449	89.19544	3.220565
36.35849	88.91513	3.388504
36.41248	88.79163	3.397685
36.46647	88.90302	3.398932
36.52046	89.05762	3.345928
36.57445	88.7416	3.474539
36.62844	88.82677	3.28703
36.68244	88.70465	3.666274
36.73643	88.79151	3.329308
36.79042	88.65666	3.426922
36.84441	88.84676	3.426425
36.8984	88.80995	3.1042
36.9524	88.81333	3.244858
37.00639	88.64863	3.405995
37.06038	88.73474	3.234579
37.11437	88.76186	3.455607
37.16836	88.87326	3.362117
37.22235	88.8435	3.150864
37.27634	88.92767	3.279383
37.33034	88.88837	3.079719
37.38433	88.94851	3.277562
37.43832	88.90768	3.394867
37.49231	89.00947	3.385439
37.5463	88.93843	3.631972
37.6003	88.93873	3.533901
37.65429	88.83797	3.537863
37.70828	88.78556	3.463581
37.76227	88.67227	3.379137
37.81626	88.73653	3.315555
37.87025	88.74711	3.025174
37.92425	88.75154	3.089499
37.97824	88.78181	3.265678
38.03223	88.70702	3.105617
38.08622	88.6403	3.157166
38.14021	88.68327	3.006493
38.19421	88.73449	2.78679
38.2482	88.74319	2.868047
38.30219	88.66518	2.85732
38.35618	88.70753	2.830683
38.41017	88.47717	2.888006
38.46416	88.66115	2.958811
38.51815	88.83095	3.08353
38.57215	88.94202	3.009092
38.62614	88.79115	3.461006
38.68013	88.66048	3.361769
38.73412	88.31996	3.36094
38.78811	88.45335	3.380924
38.84211	88.23258	3.130745
38.8961	88.46132	3.244591
38.95009	88.49722	2.948034
39.00408	88.59782	3.165882
39.05807	88.76771	3.217408
39.11206	88.71845	3.243659
39.16606	88.67017	3.090381
39.22005	88.67342	3.05048
39.27404	88.34113	2.989827
39.32803	88.53235	3.097192
39.38202	88.52814	3.11331
39.43602	88.67837	3.092482
39.49001	88.77963	3.260745
39.544	88.75509	3.304055
39.59799	88.78323	3.338172
39.65198	88.73412	3.420144
39.70597	88.5688	3.472474
39.75996	88.57911	3.564903
39.81396	88.66901	3.632052
39.86795	88.6256	3.578416
39.92194	88.88608	3.258245
39.97593	88.52117	3.372895
40.02992	88.61838	3.225506
40.08392	88.52885	3.276626
40.13791	88.48863	3.223326
40.1919	88.50806	3.249418
40.24589	88.596	3.109637
40.29988	88.41246	3.398748
40.35387	88.61072	3.399551
40.40787	88.6069	3.404471
40.46186	88.67574	3.515972
40.51585	88.72359	3.229952
40.56984	88.78991	3.268643
40.62383	88.69246	3.483575
40.67783	88.73006	3.451095
40.73182	88.55575	3.769295
40.78581	88.44016	3.623013
40.8398	88.33839	3.904484
40.89379	88.48559	3.832715
40.94778	88.42665	3.85369
41.00177	88.56326	3.634566
41.05577	88.52119	3.531963
41.10976	88.60856	3.290555
41.16375	88.4201	3.449646
