T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
28.41651	90.18346		-0.07300582	
28.47046	90.16609		-0.06988868	
28.52441	90.14876		-0.06655491	
28.57836	90.13142		-0.06302362	
28.63231	90.11431		-0.05931053	
28.68625	90.09822		-0.05542933	
28.7402	90.084		-0.05139258	
28.79415	90.0721		-0.04721528	
28.8481	90.06276		-0.04291633	
28.90205	90.0561		-0.03851981	
28.956	90.05223		-0.03405561	
29.00995	90.05145		-0.02955933	
29.0639	90.05431		-0.02507167	
29.11785	90.06139		-0.02063723	
29.1718	90.07284		-0.01630304	
29.22575	90.08838		-0.01211838	
29.2797	90.10743		-0.008132634	
29.33364	90.12877		-0.004394265	
29.38759	90.15099		-0.0009492108	
29.44154	90.17276		0.002160449	
29.49549	90.19308		0.004898371	
29.54944	90.21152		0.007236036	
29.60339	90.22826		0.00915157	
29.65734	90.24361		0.01063042	
29.71129	90.25798		0.01166272	
29.76524	90.27163		0.01224335	
29.81919	90.28473		0.01237136	
29.87314	90.297		0.0120494	
29.92708	90.30824		0.01128352	
29.98103	90.31838		0.01008132	
30.03498	90.32729		0.008454164	
30.08893	90.33485		0.006413658	
30.14288	90.34068		0.003973756	
30.19683	90.34444		0.001148551	
30.25078	90.34608		-0.002045877	
30.30473	90.34605		-0.005590623	
30.35868	90.34499		-0.009462026	
30.41263	90.34368		-0.01363095	
30.46658	90.34283		-0.01806071	
30.52052	90.34283		-0.02270558	
30.57447	90.34427		-0.02751287	
30.62842	90.34755		-0.03242352	
30.68237	90.35261		-0.03737395	
30.73632	90.35901		-0.04229836	
30.79027	90.36614		-0.04713117	
30.84422	90.37332		-0.05180822	
30.89817	90.37955		-0.05626994	
30.95212	90.38379		-0.06046268	
31.00607	90.38557		-0.0643412	
31.06002	90.38473		-0.06786966	
31.11396	90.38113		-0.07102223	
31.16791	90.37492		-0.07378361	
31.22186	90.36618		-0.07614719	
31.27581	90.35557		-0.07811585	
31.32976	90.34418		-0.07969856	
31.38371	90.3323		-0.08090939	
31.43766	90.31972		-0.0817658	
31.49161	90.30593		-0.08228733	
31.54556	90.2901		-0.08249472	
31.59951	90.27141		-0.08240787	
31.65346	90.24915		-0.08204685	
31.70741	90.22345		-0.08142869	
31.76135	90.19499		-0.08057029	
31.8153	90.16463		-0.07948654	
31.86925	90.13333		-0.07819206	
31.9232	90.10188		-0.07670194	
31.97715	90.07065		-0.07503331	
32.0311	90.03968		-0.07320399	
32.08505	90.00935		-0.07123405	
32.139	89.98062		-0.0691445	
32.19295	89.9546		-0.06695741	
32.24689	89.93217		-0.06469626	
32.30085	89.91402		-0.06238491	
32.35479	89.90028		-0.06004808	
32.40874	89.89077		-0.05770903	
32.46269	89.88511		-0.05538989	
32.51664	89.88298		-0.05310963	
32.57059	89.884		-0.05088301	
32.62454	89.88795		-0.04871977	
32.67849	89.89464		-0.04662389	
32.73244	89.90397		-0.04459582	
32.78639	89.91601		-0.04263353	
32.84034	89.93068		-0.04073607	
32.89429	89.94778		-0.03890423	
32.94823	89.96642		-0.03714201	
33.00218	89.98557		-0.03545691	
33.05613	90.00507		-0.03385966	
33.11008	90.02496		-0.03236564	
33.16403	90.04524		-0.03099386	
33.21798	90.06623		-0.02976736	
33.27193	90.08784		-0.0287122	
33.32588	90.10949		-0.02785706	
33.37983	90.13002		-0.0272305	
33.43378	90.14842		-0.02685833	
33.48772	90.16403		-0.02676168	
33.54168	90.17644		-0.02695545	
33.59562	90.18555		-0.02744658	
33.64957	90.19175		-0.02823378	
33.70352	90.19566		-0.02930729	
33.75747	90.19804		-0.03065024	
33.81142	90.1996		-0.03224016	
