X Lag Time,Record 1: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No4_230706 1,Record 2: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No4_230706 2,Record 3: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No4_230706 3,X Intensity,Record 1: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No4_230706 1,Record 2: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No4_230706 2,Record 3: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No4_230706 3
0.5,0.851,0.847,0.841,0.4,0,0,0
1,0.847,0.842,0.839,0.463,0,0,0
1.5,0.838,0.836,0.83,0.536,0,0,0
2,0.834,0.829,0.822,0.621,0,0,0
2.5,0.824,0.821,0.815,0.719,0,0,0
3,0.817,0.813,0.809,0.833,0,0,0
3.5,0.811,0.81,0.801,0.965,0,0,0
4,0.802,0.802,0.794,1.12,0,0,0
4.5,0.795,0.794,0.787,1.29,0,0,0
5.5,0.784,0.781,0.777,1.5,0,0,0
6.5,0.773,0.769,0.765,1.74,0,0,0
7.5,0.76,0.757,0.752,2.01,0,0,0
8.5,0.748,0.745,0.742,2.33,0,0,0
9.5,0.736,0.735,0.731,2.7,0,0,0
10.5,0.726,0.725,0.72,3.12,0,0,0
11.5,0.714,0.715,0.712,3.62,0,0,0
12.5,0.705,0.704,0.701,4.19,0,0,0
14.5,0.686,0.685,0.683,4.85,0,0,0
16.5,0.668,0.667,0.664,5.61,0,0,0
18.5,0.652,0.649,0.648,6.5,0,0,0
20.5,0.636,0.634,0.632,7.53,0,0,0
22.5,0.62,0.618,0.618,8.72,0,1.23,0.729
24.5,0.604,0.605,0.604,10.1,2.97,3.81,3.3
26.5,0.591,0.59,0.592,11.7,7.45,6.45,6.28
28.5,0.578,0.577,0.579,13.5,9.97,7.78,7.9
32.5,0.555,0.554,0.556,15.7,8.66,7.15,7.31
36.5,0.533,0.533,0.536,18.2,4.59,4.9,4.93
40.5,0.514,0.514,0.518,21,0.858,2.19,2.11
44.5,0.497,0.497,0.501,24.4,0,0.341,0.279
48.5,0.481,0.482,0.486,28.2,0,0,0
52.5,0.467,0.468,0.472,32.7,0,0,0
56.5,0.455,0.455,0.46,37.8,0,0,0
60.5,0.443,0.444,0.449,43.8,0,0,0
68.5,0.423,0.424,0.429,50.7,0,0,0
76.5,0.406,0.408,0.412,58.8,0,0,0
84.5,0.392,0.394,0.397,68.1,0,0,0
92.5,0.38,0.38,0.385,78.8,0,0,0
101,0.369,0.37,0.375,91.3,0,0,0
109,0.359,0.361,0.367,106,0,0,0.0182
117,0.351,0.352,0.359,122,0,0,0.127
125,0.344,0.345,0.352,142,0,0,0.332
141,0.331,0.332,0.34,164,0,0,0.648
157,0.321,0.321,0.329,190,0,0.224,1.11
173,0.312,0.311,0.319,220,0.288,1.21,1.74
189,0.303,0.303,0.311,255,1.97,2.87,2.54
205,0.296,0.296,0.303,295,4.67,4.81,3.48
221,0.289,0.29,0.296,342,7.48,6.58,4.46
237,0.283,0.283,0.29,396,9.54,7.83,5.37
253,0.277,0.276,0.284,459,10.3,8.38,6.09
285,0.265,0.264,0.273,531,9.76,8.17,6.53
317,0.254,0.254,0.262,615,8.07,7.31,6.61
349,0.244,0.243,0.251,712,5.76,5.99,6.32
381,0.234,0.233,0.241,825,3.41,4.46,5.7
413,0.224,0.224,0.232,955,1.52,2.94,4.82
445,0.214,0.214,0.223,1.11E+03,0.38,1.65,3.79
477,0.205,0.206,0.215,1.28E+03,0,0.72,2.74
509,0.197,0.199,0.207,1.48E+03,0,0.187,1.77
573,0.182,0.183,0.193,1.72E+03,0,0,0.975
637,0.168,0.169,0.18,1.99E+03,0,0,0.419
701,0.155,0.155,0.166,2.30E+03,0,0,0.108
765,0.143,0.144,0.155,2.67E+03,0,0.0153,0
829,0.132,0.132,0.145,3.09E+03,0,0.115,0
893,0.122,0.122,0.135,3.58E+03,0.0773,0.31,0.093
957,0.113,0.114,0.126,4.15E+03,0.341,0.563,0.264
1.02E+03,0.106,0.106,0.119,4.80E+03,0.748,0.814,0.467
1.15E+03,0.0907,0.0928,0.105,5.56E+03,1.17,0.994,0.642
1.28E+03,0.0794,0.0798,0.0924,6.44E+03,0,0,0
1.40E+03,0.069,0.0711,0.0806,7.46E+03,0,0,0
1.53E+03,0.0615,0.062,0.0699,8.63E+03,0,0,0
1.66E+03,0.0549,0.0548,0.0614,,,,
1.79E+03,0.0483,0.0474,0.0552,,,,
1.92E+03,0.0438,0.0405,0.0496,,,,
2.04E+03,0.0402,0.0364,0.044,,,,
2.30E+03,0.033,0.0292,0.0347,,,,
2.56E+03,0.0274,0.0237,0.0295,,,,
2.81E+03,0.0213,0.0204,0.0252,,,,
3.07E+03,0.0179,0.0164,0.0201,,,,
3.32E+03,0.0157,0.0147,0.0174,,,,
3.58E+03,0.0127,0.0133,0.0155,,,,
3.84E+03,0.0116,0.0112,0.0147,,,,
4.09E+03,0.00873,0.00992,0.0131,,,,
4.60E+03,0.00685,0.00652,0.0062,,,,
5.12E+03,0.00839,0.00385,0.00479,,,,
5.63E+03,0.00631,0.00395,0.00466,,,,
6.14E+03,0.00459,0.00437,0.00526,,,,
6.65E+03,0.00511,0.00282,0.00447,,,,
7.16E+03,0.00436,0.00201,0.00584,,,,
7.68E+03,0.00506,0.00136,0.00726,,,,
8.19E+03,0.00519,0.00124,0.00642,,,,
9.21E+03,0.00473,0.00159,0.00407,,,,
1.02E+04,0.00206,0.0023,0.00231,,,,
1.13E+04,4.30E-05,0.00257,0.00256,,,,
1.23E+04,0.000895,0.00257,0.0041,,,,
1.33E+04,0.00126,0.00329,0.0035,,,,
1.43E+04,0.00241,0.00111,0.00232,,,,
1.54E+04,0.00312,0.00072,0.00208,,,,
1.64E+04,0.00318,0.000884,0.00404,,,,
1.84E+04,0.00296,0.00172,0.00204,,,,
2.05E+04,0.00301,0.000915,0.00104,,,,
2.25E+04,0.00467,0.00341,0.00242,,,,
