X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_PM_No1_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No1_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No1_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_PM_No1_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No1_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No1_230705 3
0.5,0.762,0.746,0.732,0.4,0,0,0
1,0.761,0.747,0.731,0.463,0,0,0
1.5,0.757,0.745,0.729,0.536,0,0,0
2,0.754,0.745,0.729,0.621,0,0,0
2.5,0.755,0.74,0.724,0.719,0,0,0
3,0.752,0.741,0.725,0.833,0,0,0
3.5,0.751,0.737,0.725,0.965,0,0,0
4,0.748,0.736,0.721,1.12,0,0,0
4.5,0.747,0.735,0.721,1.29,0,0,0
5.5,0.743,0.732,0.716,1.5,0,0,0
6.5,0.738,0.731,0.715,1.74,0,0,0
7.5,0.737,0.727,0.711,2.01,0,0,0
8.5,0.735,0.724,0.709,2.33,0,0,0
9.5,0.732,0.721,0.708,2.7,0,0,0
10.5,0.729,0.721,0.704,3.12,0,0,0
11.5,0.728,0.717,0.702,3.62,0,0,0
12.5,0.725,0.715,0.699,4.19,0,0,0
14.5,0.721,0.709,0.696,4.85,0,0,0
16.5,0.718,0.706,0.692,5.61,0,0,0
18.5,0.713,0.701,0.687,6.5,0,0,0
20.5,0.71,0.698,0.682,7.53,0,0,0
22.5,0.706,0.694,0.68,8.72,0,0,0
24.5,0.703,0.691,0.676,10.1,1.2,2.43,1.42
26.5,0.7,0.687,0.672,11.7,3.34,3.56,3.63
28.5,0.697,0.685,0.669,13.5,2.19,0.744,1.97
32.5,0.69,0.678,0.664,15.7,0,0,0
36.5,0.685,0.673,0.659,18.2,0,0,0
40.5,0.679,0.668,0.653,21,0,0,0
44.5,0.675,0.662,0.649,24.4,0,0,0
48.5,0.671,0.658,0.643,28.2,0,0,0
52.5,0.666,0.655,0.64,32.7,0,0,0
56.5,0.662,0.65,0.636,37.8,0,0,0
60.5,0.659,0.647,0.633,43.8,0,0,0
68.5,0.653,0.64,0.626,50.7,0,0,0
76.5,0.647,0.635,0.621,58.8,0,0,0
84.5,0.642,0.63,0.615,68.1,0,0,0
92.5,0.637,0.625,0.61,78.8,0,0,0
101,0.632,0.621,0.607,91.3,0,0,0
109,0.629,0.616,0.602,106,0,0,0
117,0.626,0.613,0.599,122,0,0,0
125,0.622,0.61,0.596,142,0,0,0
141,0.616,0.604,0.59,164,0,0,0
157,0.61,0.598,0.585,190,0,0,0
173,0.606,0.593,0.58,220,0,0,0
189,0.601,0.589,0.576,255,0,0,0
205,0.596,0.585,0.571,295,0,0,0
221,0.592,0.58,0.568,342,0,0,0
237,0.588,0.576,0.563,396,0,0,0
253,0.583,0.572,0.559,459,0,0,0
285,0.575,0.564,0.552,531,0,0,0
317,0.568,0.556,0.544,615,0,0,0
349,0.559,0.547,0.537,712,0,0,0
381,0.551,0.539,0.529,825,0,0,0
413,0.544,0.531,0.522,955,4.79,7.12,5.07
445,0.536,0.523,0.515,1.11E+03,15.1,19.3,15.5
477,0.529,0.514,0.508,1.28E+03,23.7,26.8,23.7
509,0.521,0.506,0.5,1.48E+03,24.6,23.9,24.3
573,0.506,0.491,0.485,1.72E+03,17.5,13.2,17.1
637,0.491,0.477,0.471,1.99E+03,7.2,2.95,6.99
701,0.477,0.462,0.457,2.30E+03,0.251,0,0.297
765,0.462,0.446,0.443,2.67E+03,0,0,0
829,0.447,0.433,0.429,3.09E+03,0,0,0
893,0.433,0.419,0.416,3.58E+03,0,0,0
957,0.42,0.405,0.402,4.15E+03,0,0,0
1.02E+03,0.406,0.391,0.389,4.80E+03,0,0,0
1.15E+03,0.38,0.365,0.363,5.56E+03,0,0,0
1.28E+03,0.356,0.339,0.339,6.44E+03,0,0,0
1.40E+03,0.332,0.315,0.316,7.46E+03,0,0,0
1.53E+03,0.31,0.292,0.295,8.63E+03,0,0,0
1.66E+03,0.29,0.271,0.274,,,,
1.79E+03,0.27,0.252,0.255,,,,
1.92E+03,0.252,0.233,0.238,,,,
2.04E+03,0.236,0.217,0.222,,,,
2.30E+03,0.207,0.187,0.193,,,,
2.56E+03,0.183,0.162,0.169,,,,
2.81E+03,0.162,0.14,0.148,,,,
3.07E+03,0.144,0.123,0.131,,,,
3.32E+03,0.128,0.107,0.115,,,,
3.58E+03,0.114,0.0921,0.102,,,,
3.84E+03,0.102,0.0799,0.0907,,,,
4.09E+03,0.0916,0.07,0.0822,,,,
4.60E+03,0.0761,0.054,0.0679,,,,
5.12E+03,0.0635,0.0428,0.0571,,,,
5.63E+03,0.0526,0.0368,0.0499,,,,
6.14E+03,0.0444,0.0321,0.0451,,,,
6.65E+03,0.0387,0.0272,0.0426,,,,
7.16E+03,0.0358,0.0214,0.04,,,,
7.68E+03,0.0348,0.016,0.0367,,,,
8.19E+03,0.033,0.0114,0.0321,,,,
9.21E+03,0.0258,0.00792,0.0259,,,,
1.02E+04,0.0184,0.00848,0.0206,,,,
1.13E+04,0.0127,0.00797,0.0174,,,,
1.23E+04,0.0106,0.00831,0.0187,,,,
1.33E+04,0.00873,0.00753,0.0199,,,,
1.43E+04,0.00735,0.00715,0.018,,,,
1.54E+04,0.00634,0.00888,0.014,,,,
1.64E+04,0.00381,0.0113,0.00847,,,,
1.84E+04,0.00224,0.0163,0.00251,,,,
2.05E+04,0.00291,0.0168,0.000885,,,,
2.25E+04,0.00463,0.0133,0.000115,,,,
2.46E+04,0.00513,0.00477,0.00253,,,,
2.66E+04,0.00395,0.00205,0.00314,,,,
2.87E+04,0.00604,0.00777,0.00129,,,,
3.07E+04,0.00765,0.00851,1.11E-05,,,,
