X Lag Time,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3,X Intensity,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3
0.5,0.869,0.897,0.885,0.4,0,0,0
1,0.87,0.898,0.887,0.463,0,0,0
1.5,0.871,0.895,0.886,0.536,0,0,0
2,0.868,0.893,0.882,0.621,0,0,0
2.5,0.866,0.891,0.882,0.719,0,0,0
3,0.864,0.889,0.879,0.833,0,0,0
3.5,0.863,0.888,0.876,0.965,0,0,0
4,0.86,0.888,0.875,1.12,0,0,0
4.5,0.861,0.888,0.872,1.29,0,0,0
5.5,0.859,0.884,0.872,1.5,0,0,0
6.5,0.857,0.881,0.871,1.74,0,0,0
7.5,0.853,0.881,0.867,2.01,0,0,0
8.5,0.854,0.879,0.866,2.33,0,0,0
9.5,0.85,0.877,0.866,2.7,0,0,0
10.5,0.85,0.875,0.862,3.12,0,0,0
11.5,0.848,0.873,0.861,3.62,0,0,0
12.5,0.847,0.872,0.859,4.19,0,0,0
14.5,0.842,0.869,0.857,4.85,0,0,0
16.5,0.84,0.866,0.853,5.61,0,0,0
18.5,0.837,0.863,0.851,6.5,0,0,0
20.5,0.835,0.862,0.849,7.53,0,0,0
22.5,0.832,0.858,0.845,8.72,0,0,0
24.5,0.83,0.856,0.844,10.1,0,0,0
26.5,0.828,0.855,0.841,11.7,0,0,0
28.5,0.825,0.853,0.838,13.5,0,0,0
32.5,0.821,0.849,0.834,15.7,0,0,0
36.5,0.817,0.845,0.83,18.2,0,0,0
40.5,0.814,0.842,0.828,21,0,0,0
44.5,0.812,0.838,0.824,24.4,0,0,0
48.5,0.808,0.836,0.82,28.2,0,0,0
52.5,0.806,0.833,0.819,32.7,0,0,0
56.5,0.803,0.832,0.816,37.8,0,0,0
60.5,0.8,0.829,0.813,43.8,0,0,0
68.5,0.796,0.825,0.809,50.7,0,0,0
76.5,0.792,0.821,0.804,58.8,0,0,0
84.5,0.789,0.816,0.8,68.1,0,0,0
92.5,0.786,0.814,0.797,78.8,0,0,0
101,0.783,0.811,0.794,91.3,0,0,0
109,0.779,0.808,0.79,106,0,0,0
117,0.777,0.806,0.787,122,0,0,0
125,0.774,0.803,0.785,142,0,0,0
141,0.769,0.798,0.78,164,0,0,0
157,0.764,0.793,0.775,190,0,0,0
173,0.76,0.789,0.77,220,0,0,0
189,0.754,0.785,0.766,255,0,0,0
205,0.75,0.78,0.761,295,0,0,0
221,0.746,0.776,0.757,342,0,0,0
237,0.742,0.773,0.753,396,0,0,0
253,0.738,0.768,0.748,459,0,0,0
285,0.73,0.761,0.74,531,0,0,0
317,0.722,0.753,0.732,615,0,0,0
349,0.714,0.746,0.724,712,0,0,0
381,0.706,0.738,0.716,825,0,0,0
413,0.699,0.731,0.708,955,0,0,0
445,0.691,0.723,0.701,1.11E+03,0,0.332,5.34
477,0.684,0.716,0.693,1.28E+03,3.52,6.2,14.3
509,0.677,0.709,0.686,1.48E+03,13.4,14.4,21.7
573,0.662,0.695,0.672,1.72E+03,22.9,20.4,23.6
637,0.648,0.682,0.658,1.99E+03,25.8,21.7,19.4
701,0.634,0.668,0.645,2.30E+03,20.7,18.2,11.6
765,0.621,0.655,0.631,2.67E+03,11,11.9,4.04
829,0.608,0.641,0.618,3.09E+03,2.79,5.52,0
893,0.594,0.629,0.606,3.58E+03,0,1.34,0
957,0.582,0.616,0.593,4.15E+03,0,0,0
1.02E+03,0.57,0.603,0.581,4.80E+03,0,0,0
1.15E+03,0.546,0.579,0.558,5.56E+03,0,0,0
1.28E+03,0.522,0.555,0.535,6.44E+03,0,0,0
1.40E+03,0.5,0.534,0.513,7.46E+03,0,0,0
1.53E+03,0.478,0.512,0.492,8.63E+03,0,0,0
1.66E+03,0.456,0.491,0.472,,,,
1.79E+03,0.435,0.471,0.454,,,,
1.92E+03,0.416,0.452,0.436,,,,
2.04E+03,0.397,0.434,0.419,,,,
2.30E+03,0.361,0.399,0.386,,,,
2.56E+03,0.328,0.368,0.355,,,,
2.81E+03,0.299,0.338,0.328,,,,
3.07E+03,0.272,0.311,0.303,,,,
3.32E+03,0.249,0.286,0.28,,,,
3.58E+03,0.228,0.264,0.259,,,,
3.84E+03,0.208,0.244,0.241,,,,
4.09E+03,0.191,0.227,0.224,,,,
4.60E+03,0.159,0.197,0.196,,,,
5.12E+03,0.134,0.173,0.173,,,,
5.63E+03,0.114,0.154,0.153,,,,
6.14E+03,0.0965,0.137,0.134,,,,
6.65E+03,0.0846,0.124,0.118,,,,
7.16E+03,0.0763,0.112,0.106,,,,
7.68E+03,0.0704,0.101,0.0968,,,,
8.19E+03,0.0668,0.0893,0.0876,,,,
9.21E+03,0.0587,0.0709,0.0725,,,,
1.02E+04,0.0481,0.0555,0.0622,,,,
1.13E+04,0.04,0.0452,0.0558,,,,
1.23E+04,0.0307,0.0397,0.0494,,,,
1.33E+04,0.0261,0.0348,0.0444,,,,
1.43E+04,0.0239,0.031,0.0408,,,,
1.54E+04,0.0208,0.0255,0.0405,,,,
1.64E+04,0.0192,0.0228,0.0383,,,,
1.84E+04,0.0201,0.0169,0.038,,,,
2.05E+04,0.0192,0.0124,0.0331,,,,
2.25E+04,0.0177,0.00814,0.0316,,,,
2.46E+04,0.0183,0.00926,0.0271,,,,
2.66E+04,0.0212,0.015,0.0254,,,,
2.87E+04,0.0191,0.023,0.0266,,,,
3.07E+04,0.0222,0.0315,0.0221,,,,
3.28E+04,0.0226,0.037,0.0207,,,,
3.69E+04,0.0258,0.0343,0.0288,,,,
4.10E+04,0.013,0.0258,0.0251,,,,
4.51E+04,0.0157,0.0215,0.0175,,,,
4.91E+04,0.0168,0.0157,0.0113,,,,
5.32E+04,0.017,0.00902,0.0168,,,,
5.73E+04,0.017,0.00897,0.0231,,,,
6.14E+04,0.00744,0.00536,0.0226,,,,
6.55E+04,0.0111,0.00748,0.0232,,,,
7.37E+04,0.0126,0.0149,0.0211,,,,
8.19E+04,0.0238,0.0132,0.0184,,,,
9.01E+04,0.0296,0.00802,0.024,,,,
9.83E+04,0.0159,0.00147,0.0054,,,,
1.06E+05,0.0177,0.00394,0.00933,,,,
1.15E+05,0.0197,0.0126,0.00823,,,,
1.23E+05,0.00872,0.00489,0.0171,,,,
1.31E+05,0.00287,0.00559,0.0116,,,,
1.47E+05,0.00726,0.012,0.0144,,,,
1.64E+05,0.00072,0.0109,0.0208,,,,
1.80E+05,0.011,0.00611,0.0176,,,,
1.97E+05,0.00487,0.0104,0.00984,,,,
2.13E+05,0.00233,0.00743,0.00347,,,,
2.29E+05,0.00579,0.00291,0.00502,,,,
2.46E+05,0.00224,0.00395,0.0145,,,,
2.62E+05,0.0041,0.00156,0.00812,,,,
2.95E+05,0.00894,0.0085,0.0102,,,,
3.28E+05,0.00743,0.0084,0.00667,,,,
3.60E+05,0.00387,0.00188,0.00882,,,,
3.93E+05,0.00768,0.000915,0.00254,,,,
4.26E+05,0.00355,0.00449,0.00208,,,,
4.59E+05,0.00469,0.00319,0.00148,,,,
4.92E+05,0.00568,0.00796,0.00158,,,,
5.24E+05,0.00588,0.00673,0.00317,,,,
5.90E+05,0.00759,0.0107,0.0077,,,,
6.55E+05,0.00729,0.00452,0.0039,,,,
7.21E+05,0.00999,0.0103,0.00175,,,,
7.86E+05,0.012,0.00333,0.00259,,,,
8.52E+05,0.0105,0.00937,0.00228,,,,
9.18E+05,0.00774,0.00879,0.00178,,,,
9.83E+05,0.0106,0.00246,0.00121,,,,
1.05E+06,0.0189,0.00494,0,,,,
1.18E+06,0.0159,0.00944,0.00149,,,,
1.31E+06,0.0139,0.00246,0.00106,,,,
1.44E+06,0.02,0.00442,0.00469,,,,
1.57E+06,0.0207,0.00362,0.00143,,,,
1.70E+06,0.0148,0.00283,0.00428,,,,
1.84E+06,0.0166,0.00474,0.003,,,,
1.97E+06,0.0194,0.00521,0.00325,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
