X Lag Time,Record 1: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No2_230703 1,Record 2: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No2_230703 2,Record 3: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No2_230703 3,X Intensity,Record 1: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No2_230703 1,Record 2: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No2_230703 2,Record 3: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No2_230703 3
0.5,0.881,0.885,0.888,0.4,0,0,0
1,0.871,0.881,0.884,0.463,0,0,0
1.5,0.867,0.872,0.873,0.536,0,0,0
2,0.864,0.866,0.864,0.621,0,0,0
2.5,0.856,0.864,0.865,0.719,0,0,0
3,0.855,0.859,0.863,0.833,0,0,0
3.5,0.857,0.859,0.858,0.965,0,0,0
4,0.849,0.847,0.855,1.12,0,0,0
4.5,0.844,0.85,0.854,1.29,0,0,0
5.5,0.838,0.839,0.846,1.5,0,0,0
6.5,0.829,0.836,0.835,1.74,0,0,0
7.5,0.825,0.831,0.833,2.01,0,0,0
8.5,0.818,0.821,0.824,2.33,0,0,0
9.5,0.813,0.815,0.822,2.7,0,0,0
10.5,0.808,0.81,0.814,3.12,0,0,0
11.5,0.798,0.803,0.808,3.62,0,0,0
12.5,0.796,0.799,0.801,4.19,0,0,0
14.5,0.786,0.787,0.791,4.85,0,0,0
16.5,0.773,0.779,0.782,5.61,0,0,0
18.5,0.766,0.769,0.77,6.5,0,0,0
20.5,0.756,0.759,0.762,7.53,0.0824,0,0
22.5,0.749,0.75,0.757,8.72,0.648,0.129,0
24.5,0.741,0.743,0.745,10.1,1.65,1.43,1.45
26.5,0.733,0.736,0.734,11.7,2.75,3.12,3.62
28.5,0.724,0.727,0.727,13.5,3.51,4.07,4.65
32.5,0.711,0.712,0.715,15.7,3.55,3.68,3.88
36.5,0.698,0.7,0.704,18.2,2.82,2.26,2.07
40.5,0.687,0.687,0.692,21,1.6,0.733,0.512
44.5,0.678,0.677,0.679,24.4,0.476,0,0
48.5,0.667,0.666,0.669,28.2,0,0,0
52.5,0.659,0.657,0.661,32.7,0,0,0
56.5,0.649,0.648,0.653,37.8,0,0,0
60.5,0.64,0.64,0.645,43.8,0,0,0
68.5,0.626,0.625,0.628,50.7,0,0,0
76.5,0.615,0.613,0.617,58.8,0,0,0
84.5,0.604,0.602,0.605,68.1,0,0,0
92.5,0.593,0.591,0.595,78.8,0,0,0
101,0.584,0.582,0.586,91.3,0,0,0
109,0.577,0.574,0.578,106,0,0,0
117,0.568,0.566,0.571,122,0,0,0
125,0.56,0.559,0.563,142,0,0,0
141,0.548,0.546,0.551,164,0,0.084,0
157,0.536,0.535,0.539,190,0,0.388,0
173,0.525,0.524,0.528,220,0,0.958,0.423
189,0.515,0.513,0.518,255,0.82,1.81,1.71
205,0.506,0.503,0.508,295,3.15,2.94,3.68
221,0.497,0.493,0.499,342,6.43,4.29,5.86
237,0.488,0.484,0.49,396,9.63,5.75,7.78
253,0.479,0.475,0.481,459,11.9,7.16,9.06
285,0.463,0.458,0.464,531,12.6,8.33,9.53
317,0.448,0.443,0.449,615,11.7,9.09,9.19
349,0.433,0.429,0.434,712,9.6,9.3,8.18
381,0.418,0.415,0.42,825,6.78,8.91,6.72
413,0.405,0.401,0.407,955,3.95,7.96,5.06
445,0.392,0.387,0.394,1.11E+03,1.7,6.56,3.42
477,0.379,0.375,0.382,1.28E+03,0.396,4.93,2.01
509,0.367,0.362,0.37,1.48E+03,0,3.28,0.935
573,0.345,0.338,0.348,1.72E+03,0,1.85,0.268
637,0.325,0.315,0.327,1.99E+03,0,0.792,0.00672
701,0.305,0.295,0.308,2.30E+03,0,0.194,0.102
765,0.287,0.276,0.289,2.67E+03,0,0,0.466
829,0.271,0.259,0.273,3.09E+03,0,0,0.991
893,0.255,0.243,0.257,3.58E+03,0,0,1.56
957,0.24,0.228,0.242,4.15E+03,0.373,0,2.05
1.02E+03,0.225,0.214,0.227,4.80E+03,1.31,0,2.38
1.15E+03,0.201,0.19,0.202,5.56E+03,2.57,0,2.46
1.28E+03,0.18,0.169,0.181,6.44E+03,0,0,0
1.40E+03,0.161,0.151,0.164,7.46E+03,0,0,0
1.53E+03,0.145,0.134,0.149,8.63E+03,0,0,0
1.66E+03,0.13,0.119,0.135,,,,
1.79E+03,0.118,0.105,0.122,,,,
1.92E+03,0.107,0.0941,0.11,,,,
2.04E+03,0.0979,0.0849,0.101,,,,
2.30E+03,0.0831,0.0689,0.0851,,,,
2.56E+03,0.072,0.0531,0.0731,,,,
2.81E+03,0.0639,0.0426,0.0632,,,,
3.07E+03,0.0558,0.0358,0.0558,,,,
3.32E+03,0.0505,0.0297,0.0498,,,,
3.58E+03,0.0446,0.025,0.0433,,,,
3.84E+03,0.0399,0.0229,0.0364,,,,
4.09E+03,0.0357,0.0196,0.0321,,,,
4.60E+03,0.0274,0.0128,0.0254,,,,
