X Lag Time,Record 1: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 1,Record 2: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 2,Record 3: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 3,X Intensity,Record 1: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 1,Record 2: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 2,Record 3: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 3
0.5,0.821,0.841,0.816,0.4,0,0,0
1,0.824,0.842,0.82,0.463,0,0,0
1.5,0.819,0.841,0.816,0.536,0,0,0
2,0.819,0.837,0.814,0.621,0,0,0
2.5,0.814,0.835,0.812,0.719,0,0,0
3,0.814,0.834,0.811,0.833,0,0,0
3.5,0.813,0.834,0.808,0.965,0,0,0
4,0.812,0.833,0.809,1.12,0,0,0
4.5,0.81,0.831,0.807,1.29,0,0,0
5.5,0.808,0.828,0.804,1.5,0,0,0
6.5,0.804,0.826,0.8,1.74,0,0,0
7.5,0.8,0.824,0.799,2.01,0,0,0
8.5,0.797,0.82,0.797,2.33,0,0,0
9.5,0.796,0.818,0.794,2.7,0,0,0
10.5,0.795,0.814,0.79,3.12,0,0,0
11.5,0.792,0.813,0.788,3.62,0,0,0
12.5,0.79,0.812,0.785,4.19,0,0,0
14.5,0.785,0.807,0.783,4.85,0,0,0
16.5,0.78,0.802,0.778,5.61,0,0,0
18.5,0.777,0.799,0.774,6.5,0,0,0
20.5,0.773,0.796,0.77,7.53,0,0,0
22.5,0.77,0.792,0.766,8.72,0,2.57,0.904
24.5,0.765,0.788,0.763,10.1,1.93,3,3.21
26.5,0.763,0.785,0.76,11.7,2.78,0,1.66
28.5,0.76,0.783,0.756,13.5,0.985,0,0
32.5,0.754,0.777,0.75,15.7,0,0,0
36.5,0.748,0.771,0.746,18.2,0,0,0
40.5,0.743,0.766,0.74,21,0,0,0
