X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_PM_No5_230703 1,Record 2: JJ1_10mg_200rpm_10-00min_PM_No5_230703 2,Record 3: JJ1_10mg_200rpm_10-00min_PM_No5_230703 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_PM_No5_230703 1,Record 2: JJ1_10mg_200rpm_10-00min_PM_No5_230703 2,Record 3: JJ1_10mg_200rpm_10-00min_PM_No5_230703 3
0.5,0.782,0.794,0.83,0.4,0,0,0
1,0.784,0.795,0.831,0.463,0,0,0
1.5,0.78,0.794,0.829,0.536,0,0,0
2,0.776,0.791,0.829,0.621,0,0,0
2.5,0.775,0.789,0.825,0.719,0,0,0
3,0.774,0.788,0.823,0.833,0,0,0
3.5,0.772,0.785,0.822,0.965,0,0,0
4,0.771,0.784,0.821,1.12,0,0,0
4.5,0.768,0.782,0.818,1.29,0,0,0
5.5,0.765,0.778,0.815,1.5,0,0,0
6.5,0.762,0.775,0.811,1.74,0,0,0
7.5,0.757,0.771,0.808,2.01,0,0,0
8.5,0.754,0.769,0.805,2.33,0,0,0
9.5,0.753,0.765,0.802,2.7,0,0,0
10.5,0.749,0.763,0.798,3.12,0,0,0
11.5,0.745,0.76,0.796,3.62,0,0,0
12.5,0.742,0.757,0.793,4.19,0,0,0
14.5,0.737,0.751,0.787,4.85,0,0,0
16.5,0.732,0.746,0.782,5.61,0,0,0
18.5,0.728,0.742,0.777,6.5,0,0,0
20.5,0.722,0.738,0.772,7.53,0,0,0
22.5,0.716,0.733,0.768,8.72,0,0.714,0
24.5,0.713,0.728,0.764,10.1,2.12,4.06,3.83
26.5,0.709,0.725,0.759,11.7,3.87,3.2,4.25
28.5,0.705,0.721,0.755,13.5,1.85,0,0
32.5,0.697,0.714,0.748,15.7,0,0,0
36.5,0.691,0.707,0.741,18.2,0,0,0
40.5,0.684,0.701,0.735,21,0,0,0
44.5,0.679,0.695,0.729,24.4,0,0,0
48.5,0.673,0.69,0.723,28.2,0,0,0
52.5,0.668,0.685,0.718,32.7,0,0,0
56.5,0.663,0.68,0.713,37.8,0,0,0
60.5,0.659,0.676,0.709,43.8,0,0,0
68.5,0.651,0.669,0.701,50.7,0,0,0
76.5,0.644,0.662,0.694,58.8,0,0,0
84.5,0.637,0.656,0.688,68.1,0,0,0
92.5,0.632,0.651,0.682,78.8,0,0,0
101,0.626,0.646,0.677,91.3,0,0,0
109,0.622,0.641,0.672,106,0,0,0
117,0.617,0.637,0.667,122,0,0,0
125,0.613,0.633,0.663,142,0,0,0
141,0.606,0.625,0.655,164,0,0,0
157,0.599,0.618,0.648,190,0,0,0
173,0.592,0.612,0.641,220,0,0,0
189,0.586,0.605,0.635,255,0,0,0
205,0.58,0.599,0.629,295,0,0,0
221,0.574,0.594,0.623,342,0,0,0
237,0.568,0.588,0.617,396,0,0,0
253,0.562,0.582,0.611,459,0,0,0
285,0.551,0.571,0.599,531,0,0,0
317,0.54,0.56,0.587,615,2.12,6.69,5.63
349,0.529,0.549,0.576,712,8.97,17,16.4
381,0.518,0.538,0.564,825,16.7,23.7,24.3
413,0.507,0.527,0.553,955,21.1,22.8,23.9
445,0.497,0.516,0.542,1.11E+03,20,15.3,15.9
477,0.487,0.506,0.531,1.28E+03,14.4,6.08,5.88
509,0.476,0.496,0.521,1.48E+03,7.17,0.331,0
573,0.455,0.476,0.5,1.72E+03,1.78,0,0
637,0.436,0.455,0.479,1.99E+03,0,0,0
701,0.417,0.435,0.459,2.30E+03,0,0,0
765,0.398,0.416,0.44,2.67E+03,0,0,0
829,0.381,0.397,0.421,3.09E+03,0,0,0
893,0.363,0.379,0.402,3.58E+03,0,0,0
957,0.347,0.362,0.384,4.15E+03,0,0,0
1.02E+03,0.331,0.346,0.368,4.80E+03,0,0,0
1.15E+03,0.3,0.315,0.336,5.56E+03,0,0,0
1.28E+03,0.273,0.287,0.307,6.44E+03,0,0,0
1.40E+03,0.249,0.262,0.281,7.46E+03,0,0,0
1.53E+03,0.228,0.24,0.257,8.63E+03,0,0,0
1.66E+03,0.209,0.221,0.235,,,,
1.79E+03,0.192,0.203,0.216,,,,
1.92E+03,0.177,0.188,0.199,,,,
2.04E+03,0.163,0.176,0.184,,,,
2.30E+03,0.14,0.154,0.16,,,,
2.56E+03,0.12,0.135,0.14,,,,
2.81E+03,0.104,0.12,0.125,,,,
3.07E+03,0.0904,0.107,0.113,,,,
3.32E+03,0.0796,0.0965,0.103,,,,
3.58E+03,0.0699,0.0872,0.094,,,,
3.84E+03,0.0614,0.0803,0.0859,,,,
4.09E+03,0.0542,0.0739,0.0789,,,,
4.60E+03,0.0431,0.0637,0.0681,,,,
5.12E+03,0.0356,0.0564,0.059,,,,
5.63E+03,0.0293,0.0506,0.049,,,,
6.14E+03,0.024,0.0465,0.0416,,,,
6.65E+03,0.0204,0.0435,0.0366,,,,
7.16E+03,0.016,0.0417,0.0314,,,,
7.68E+03,0.0128,0.0397,0.0269,,,,
8.19E+03,0.0104,0.0378,0.0248,,,,
9.21E+03,0.00813,0.0315,0.0255,,,,
1.02E+04,0.0073,0.022,0.0281,,,,
1.13E+04,0.00939,0.0186,0.0267,,,,
1.23E+04,0.0142,0.0195,0.022,,,,
1.33E+04,0.0155,0.0208,0.0183,,,,
1.43E+04,0.011,0.0185,0.0153,,,,
1.54E+04,0.00607,0.0156,0.0128,,,,
1.64E+04,0.00413,0.0121,0.00916,,,,
1.84E+04,0.00532,0.0132,0.0118,,,,
2.05E+04,0.00992,0.0132,0.0217,,,,
2.25E+04,0.012,0.014,0.0197,,,,
2.46E+04,0.00865,0.0126,0.0173,,,,
2.66E+04,0.00699,0.0124,0.0114,,,,
2.87E+04,0.00517,0.00958,0.0123,,,,
3.07E+04,0.00353,0.0113,0.0121,,,,
3.28E+04,0.00157,0.0185,0.00673,,,,
3.69E+04,0.00661,0.0138,0.00713,,,,
4.10E+04,0.00892,0.0124,0.015,,,,
4.51E+04,0.00374,0.0135,0.0166,,,,
4.91E+04,0.00548,0.0119,0.0168,,,,
5.32E+04,0.00631,0.0163,0.0097,,,,
5.73E+04,0.00774,0.0131,0.0113,,,,
6.14E+04,0.0041,0.00909,0.00871,,,,
6.55E+04,0.00469,0.0116,0.00922,,,,
7.37E+04,0.00643,0.0144,0.0136,,,,
8.19E+04,0.00716,0.0104,0.011,,,,
9.01E+04,0.00651,0.00762,0.0117,,,,
9.83E+04,0.00858,0.0109,0.00827,,,,
1.06E+05,0.00374,0.0117,0.00188,,,,
1.15E+05,0.00574,0.0143,0.00152,,,,
1.23E+05,0.00497,0.011,0.000303,,,,
1.31E+05,0.00297,0.00361,0.00077,,,,
1.47E+05,0.00404,0.00781,0.00273,,,,
1.64E+05,0.00116,0.00514,0.00533,,,,
1.80E+05,0.00124,0.00589,0.00355,,,,
1.97E+05,0.00325,0.0081,0.00611,,,,
2.13E+05,0.00523,0.00441,0.00256,,,,
2.29E+05,0.00032,0.00178,0.00181,,,,
2.46E+05,0.00116,0.00748,0.0043,,,,
2.62E+05,0.00505,0.00964,0.00442,,,,
2.95E+05,0.00113,0.0064,0.00887,,,,
3.28E+05,0.00061,0.00727,0.00593,,,,
3.60E+05,0.000762,0.0036,0.00698,,,,
3.93E+05,0.000947,0.00559,0.00591,,,,
4.26E+05,0,0.00149,0.00277,,,,
4.59E+05,0,0.00268,0.000139,,,,
4.92E+05,0.00322,0.00151,0.00741,,,,
5.24E+05,0.00198,0.00386,0.00345,,,,
5.90E+05,0.000952,0.000828,0.00911,,,,
6.55E+05,0.00232,0.00112,0.00872,,,,
7.21E+05,0.00172,0.0011,0.00723,,,,
7.86E+05,0.00307,0.00106,9.45E-05,,,,
8.52E+05,0.00173,0.00191,0.000237,,,,
9.18E+05,0.00372,0.00194,0.00257,,,,
9.83E+05,0.000499,0.00029,0.00546,,,,
