X Lag Time,Record 1: JJ1_10mg_AIR_010%v_200rpm_10-00min_PM_No4_230706 1,Record 2: JJ1_10mg_AIR_010%v_200rpm_10-00min_PM_No4_230706 2,Record 3: JJ1_10mg_AIR_010%v_200rpm_10-00min_PM_No4_230706 3,X Intensity,Record 1: JJ1_10mg_AIR_010%v_200rpm_10-00min_PM_No4_230706 1,Record 2: JJ1_10mg_AIR_010%v_200rpm_10-00min_PM_No4_230706 2,Record 3: JJ1_10mg_AIR_010%v_200rpm_10-00min_PM_No4_230706 3
0.5,0.804,0.782,0.764,0.4,0,0,0
1,0.808,0.786,0.765,0.463,0,0,0
1.5,0.805,0.782,0.763,0.536,0,0,0
2,0.802,0.779,0.761,0.621,0,0,0
2.5,0.801,0.777,0.758,0.719,0,0,0
3,0.798,0.776,0.758,0.833,0,0,0
3.5,0.797,0.773,0.754,0.965,0,0,0
4,0.795,0.771,0.751,1.12,0,0,0
4.5,0.793,0.77,0.751,1.29,0,0,0
5.5,0.789,0.767,0.747,1.5,0,0,0
6.5,0.785,0.763,0.742,1.74,0,0,0
7.5,0.782,0.76,0.74,2.01,0,0,0
8.5,0.778,0.756,0.736,2.33,0,0,0
9.5,0.775,0.754,0.733,2.7,0,0,0
10.5,0.774,0.751,0.73,3.12,0,0,0
11.5,0.77,0.747,0.727,3.62,0,0,0
12.5,0.767,0.745,0.724,4.19,0,0,0
14.5,0.761,0.738,0.719,4.85,0,0,0
16.5,0.755,0.733,0.713,5.61,0,0,0
18.5,0.75,0.728,0.708,6.5,0,0,0
20.5,0.745,0.723,0.703,7.53,0,0,0
22.5,0.741,0.717,0.699,8.72,0,0,0
24.5,0.737,0.714,0.694,10.1,1.16,1.12,0.984
26.5,0.731,0.709,0.689,11.7,3.93,3.81,3.09
28.5,0.727,0.705,0.685,13.5,3.41,3.4,3.41
32.5,0.72,0.697,0.677,15.7,0.242,0.422,1.47
36.5,0.713,0.69,0.67,18.2,0,0,0
40.5,0.706,0.683,0.663,21,0,0,0
44.5,0.699,0.677,0.657,24.4,0,0,0
48.5,0.693,0.671,0.651,28.2,0,0,0
52.5,0.687,0.666,0.646,32.7,0,0,0
56.5,0.682,0.66,0.641,37.8,0,0,0
60.5,0.678,0.657,0.636,43.8,0,0,0
68.5,0.669,0.648,0.628,50.7,0,0,0
76.5,0.662,0.64,0.62,58.8,0,0,0
84.5,0.654,0.633,0.613,68.1,0,0,0
92.5,0.648,0.627,0.607,78.8,0,0,0
101,0.641,0.621,0.601,91.3,0,0,0
109,0.637,0.616,0.596,106,0,0,0
117,0.632,0.611,0.591,122,0,0,0
125,0.627,0.606,0.586,142,0,0,0
141,0.618,0.597,0.577,164,0,0,0
157,0.609,0.589,0.569,190,0,0,0
173,0.601,0.581,0.562,220,0,0,0
189,0.594,0.574,0.555,255,0,0,0
205,0.587,0.567,0.548,295,0,0,0
221,0.579,0.56,0.541,342,0,0,0
237,0.573,0.554,0.534,396,0,0,0
253,0.566,0.547,0.528,459,0,0,0.53
285,0.552,0.534,0.515,531,5.76,5.17,4.67
317,0.539,0.521,0.504,615,14.5,13,10.8
349,0.527,0.509,0.491,712,20.9,19.1,16
381,0.515,0.496,0.48,825,21.6,20.7,18.3
413,0.503,0.485,0.468,955,16.7,17.3,17
445,0.491,0.474,0.457,1.11E+03,9.07,10.9,12.8
477,0.479,0.462,0.446,1.28E+03,2.63,4.48,7.55
509,0.468,0.451,0.435,1.48E+03,0,0.641,2.97
573,0.446,0.43,0.414,1.72E+03,0,0,0.426
637,0.425,0.409,0.395,1.99E+03,0,0,0
701,0.404,0.39,0.376,2.30E+03,0,0,0
765,0.384,0.372,0.358,2.67E+03,0,0,0
829,0.366,0.354,0.341,3.09E+03,0,0,0
893,0.349,0.336,0.324,3.58E+03,0,0,0
957,0.332,0.319,0.309,4.15E+03,0,0,0
1.02E+03,0.317,0.304,0.294,4.80E+03,0,0,0
1.15E+03,0.287,0.274,0.267,5.56E+03,0,0,0
1.28E+03,0.259,0.248,0.241,6.44E+03,0,0,0
1.40E+03,0.235,0.224,0.218,7.46E+03,0,0,0
1.53E+03,0.213,0.203,0.198,8.63E+03,0,0,0
1.66E+03,0.194,0.185,0.18,,,,
1.79E+03,0.177,0.168,0.164,,,,
1.92E+03,0.163,0.154,0.15,,,,
2.04E+03,0.15,0.141,0.137,,,,
2.30E+03,0.127,0.122,0.117,,,,
2.56E+03,0.11,0.107,0.0996,,,,
2.81E+03,0.0963,0.0944,0.0859,,,,
3.07E+03,0.0861,0.0825,0.0753,,,,
3.32E+03,0.0764,0.0716,0.0665,,,,
3.58E+03,0.0677,0.0619,0.0585,,,,
3.84E+03,0.0607,0.0545,0.0522,,,,
4.09E+03,0.0557,0.0493,0.0469,,,,
4.60E+03,0.0491,0.0425,0.0372,,,,
5.12E+03,0.0446,0.0367,0.0278,,,,
5.63E+03,0.0386,0.0318,0.0191,,,,
6.14E+03,0.0331,0.0275,0.0142,,,,
6.65E+03,0.0277,0.0218,0.00945,,,,
7.16E+03,0.0227,0.0193,0.00543,,,,
7.68E+03,0.0232,0.02,0.00511,,,,
8.19E+03,0.024,0.0216,0.00397,,,,
9.21E+03,0.0242,0.0189,0.00477,,,,
1.02E+04,0.0262,0.017,0.00509,,,,
1.13E+04,0.0229,0.0154,0.00436,,,,
1.23E+04,0.0163,0.013,0.00605,,,,
1.33E+04,0.0138,0.0119,0.00921,,,,
1.43E+04,0.0139,0.0101,0.0107,,,,
1.54E+04,0.0169,0.00809,0.0134,,,,
1.64E+04,0.0158,0.00783,0.013,,,,
1.84E+04,0.0141,0.0069,0.00877,,,,
2.05E+04,0.00964,0.00845,0.00388,,,,
2.25E+04,0.0144,0.00469,0.00741,,,,
2.46E+04,0.0131,0.00626,0.00943,,,,
2.66E+04,0.0121,0.00391,0.00897,,,,
2.87E+04,0.0114,0.00875,0.00829,,,,
3.07E+04,0.0125,0.0107,0.00457,,,,
3.28E+04,0.0088,0.00597,0.00302,,,,
3.69E+04,0.00833,0.00391,0.00781,,,,
4.10E+04,0.00811,0.00409,0.0083,,,,
4.51E+04,0.00514,0.0118,0.00474,,,,
4.91E+04,0.00688,0.0158,0.00297,,,,
5.32E+04,0.00869,0.00966,0.00538,,,,
5.73E+04,0.00458,0.007,0.00334,,,,
6.14E+04,0.00541,0.0019,0.00392,,,,
6.55E+04,0.00775,0.00504,0.000446,,,,
7.37E+04,0.0108,0.00779,0.00659,,,,
8.19E+04,0.0107,0.00334,0.00981,,,,
9.01E+04,0.0106,0.0038,0.00982,,,,
9.83E+04,0.0101,0.00835,0.00687,,,,
1.06E+05,0.00799,0.0128,0.00424,,,,
1.15E+05,0.00991,0.0117,0.00412,,,,
1.23E+05,0.00448,0.00381,0.00741,,,,
1.31E+05,0.00677,0.00124,0.00222,,,,
1.47E+05,0.00665,0.00359,0.0015,,,,
1.64E+05,0.00872,0.00502,0.00259,,,,
1.80E+05,0.0048,0.0011,0.00148,,,,
1.97E+05,0.00638,0.00271,0.00334,,,,
