X Lag Time,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3,X Intensity,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3
0.5,0.897,0.877,0.881,0.4,0,0,0
1,0.894,0.865,0.871,0.463,0,0,0
1.5,0.887,0.857,0.862,0.536,0,0,0
2,0.879,0.858,0.859,0.621,0,0,0
2.5,0.884,0.848,0.853,0.719,0,0,0
3,0.879,0.85,0.849,0.833,0,0,0
3.5,0.871,0.851,0.846,0.965,0,0,0
4,0.868,0.841,0.845,1.12,0,0,0
4.5,0.864,0.84,0.845,1.29,0,0,0
5.5,0.856,0.833,0.837,1.5,0,0,0
6.5,0.853,0.831,0.832,1.74,0,0,0
7.5,0.851,0.822,0.833,2.01,0,0,0
8.5,0.845,0.819,0.826,2.33,0,0,0
9.5,0.842,0.812,0.821,2.7,0,0,0
10.5,0.836,0.809,0.818,3.12,0,0,0
11.5,0.831,0.804,0.811,3.62,0,0,0
12.5,0.829,0.801,0.808,4.19,0,0,0
14.5,0.82,0.794,0.799,4.85,0,0,0
16.5,0.814,0.788,0.794,5.61,0,0,0
18.5,0.81,0.777,0.788,6.5,0,0,0
20.5,0.802,0.772,0.783,7.53,0,0,0
22.5,0.798,0.764,0.774,8.72,0,0.483,0.246
24.5,0.79,0.762,0.766,10.1,1.89,1.55,1.08
26.5,0.785,0.756,0.764,11.7,4.01,2.46,2.07
28.5,0.78,0.75,0.759,13.5,3.78,2.57,2.55
32.5,0.77,0.739,0.748,15.7,1.54,1.79,2.1
36.5,0.759,0.732,0.74,18.2,0,0.673,0.996
40.5,0.754,0.72,0.731,21,0,0,0.0639
44.5,0.742,0.713,0.724,24.4,0,0,0
48.5,0.736,0.709,0.715,28.2,0,0,0
52.5,0.729,0.7,0.71,32.7,0,0,0
56.5,0.724,0.693,0.702,37.8,0,0,0
60.5,0.719,0.687,0.698,43.8,0,0,0
68.5,0.707,0.676,0.687,50.7,0,0,0
76.5,0.698,0.668,0.677,58.8,0,0,0
84.5,0.69,0.66,0.669,68.1,0,0,0
92.5,0.681,0.651,0.66,78.8,0,0,0
101,0.674,0.643,0.653,91.3,0,0,0
109,0.667,0.639,0.646,106,0,0,0
117,0.661,0.631,0.639,122,0,0,0.284
125,0.656,0.625,0.633,142,0,0,0.889
141,0.644,0.613,0.622,164,0,0,1.41
157,0.633,0.602,0.612,190,0,0,1.55
173,0.622,0.591,0.601,220,0,0,1.3
189,0.613,0.582,0.593,255,0.512,1.01,0.9
205,0.604,0.572,0.583,295,2.69,2.93,0.69
221,0.595,0.564,0.574,342,5.97,5.21,0.96
237,0.586,0.555,0.565,396,9.3,7.28,1.85
253,0.578,0.547,0.557,459,11.8,8.72,3.31
285,0.56,0.53,0.541,531,12.9,9.34,5.14
317,0.544,0.514,0.525,615,12.5,9.17,7.03
349,0.529,0.498,0.511,712,10.9,8.36,8.67
381,0.515,0.483,0.498,825,8.4,7.14,9.78
413,0.5,0.47,0.483,955,5.6,5.76,10.2
445,0.486,0.456,0.469,1.11E+03,3.01,4.42,9.79
477,0.473,0.442,0.456,1.28E+03,1.1,3.27,8.72
509,0.46,0.429,0.443,1.48E+03,0.139,2.39,7.13
573,0.435,0.404,0.419,1.72E+03,0,1.82,5.26
637,0.412,0.382,0.397,1.99E+03,0,1.52,3.4
701,0.39,0.361,0.377,2.30E+03,0,1.46,1.82
765,0.369,0.341,0.358,2.67E+03,0,1.54,0.707
829,0.35,0.322,0.34,3.09E+03,0,1.69,0.132
893,0.332,0.305,0.322,3.58E+03,0,1.85,0
957,0.316,0.289,0.307,4.15E+03,0,1.93,0
1.02E+03,0.301,0.274,0.293,4.80E+03,0.964,1.91,0
1.15E+03,0.274,0.246,0.267,5.56E+03,3.06,1.76,0
1.28E+03,0.25,0.223,0.242,6.44E+03,0,0,0
1.40E+03,0.228,0.201,0.221,7.46E+03,0,0,0
1.53E+03,0.208,0.182,0.202,8.63E+03,0,0,0
1.66E+03,0.191,0.165,0.184,,,,
1.79E+03,0.177,0.151,0.168,,,,
1.92E+03,0.165,0.139,0.153,,,,
2.04E+03,0.153,0.127,0.141,,,,
2.30E+03,0.133,0.107,0.118,,,,
2.56E+03,0.116,0.0917,0.098,,,,
2.81E+03,0.102,0.0797,0.0818,,,,
3.07E+03,0.0924,0.0683,0.0701,,,,
3.32E+03,0.0838,0.059,0.0605,,,,
3.58E+03,0.0748,0.0519,0.0533,,,,
3.84E+03,0.066,0.0442,0.0475,,,,
4.09E+03,0.0593,0.0387,0.0423,,,,
4.60E+03,0.0523,0.0304,0.0349,,,,
5.12E+03,0.0474,0.0259,0.0259,,,,
5.63E+03,0.0416,0.0218,0.0198,,,,
6.14E+03,0.0382,0.0144,0.0138,,,,
6.65E+03,0.0322,0.00937,0.00924,,,,
7.16E+03,0.0255,0.00631,0.00523,,,,
7.68E+03,0.0195,0.0054,0.00433,,,,
8.19E+03,0.0145,0.00538,0.00377,,,,
9.21E+03,0.012,0.00382,0.00421,,,,
1.02E+04,0.00793,0.00267,0.00495,,,,
1.13E+04,0.00625,0.00605,0.00647,,,,
1.23E+04,0.00857,0.00262,0.0119,,,,
1.33E+04,0.00773,0.00152,0.0119,,,,
1.43E+04,0.0141,0.0016,0.0108,,,,
1.54E+04,0.0191,0.00479,0.00902,,,,
1.64E+04,0.0216,0.00306,0.00713,,,,
1.84E+04,0.0189,0.00104,0.00683,,,,
2.05E+04,0.00857,0.00132,0.00752,,,,
2.25E+04,0.00817,0.00459,0.00814,,,,
2.46E+04,0.00944,0.00367,0.00388,,,,
2.66E+04,0.00798,0.000963,0.00378,,,,
2.87E+04,0.0107,0.000541,0.0021,,,,
3.07E+04,0.013,0,0.00387,,,,
3.28E+04,0.0133,0.00119,0.00539,,,,
3.69E+04,0.0119,0.00839,0.00241,,,,
4.10E+04,0.0105,0.00433,0.00533,,,,
4.51E+04,0.0106,0.00616,0.0039,,,,
4.91E+04,0.00858,0.00685,0.00531,,,,
5.32E+04,0.0115,0.00128,0.00786,,,,
5.73E+04,0.00996,0.00371,0.0103,,,,
6.14E+04,0.00288,0.00665,0.00437,,,,
6.55E+04,0.000107,0.00276,0.0067,,,,
7.37E+04,0.00217,0,0.00735,,,,
8.19E+04,0.00861,0.00199,0.00609,,,,
