Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_04_Bot_ETH_13-Run027,5310,2405,23,4.5,0.0,2.3,2.3,2.3
2023_07_04_Bot_ETH_13-Run037,4863,1915,29,0.0,0.0,0.0,0.0,0.0
