Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_05_Bot_ETH_25-Run007,7077,925,16,0.0,0.0,0.0,0.0,0.0
2023_07_05_Bot_ETH_25-Run019,5803,1148,11,7,0.0,0.0,0.0,0.0
