Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_06_Bot_ETH_64-Run004,2256,1791,299,20,0.0,0.0,0.0,0.0
2023_07_06_Bot_ETH_64-Run016,2690,1854,178,13,0.0,0.0,0.0,0.0
