X Lag Time,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3,X Intensity,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3
0.5,0.894,0.858,0.878,0.4,0,0,0
1,0.889,0.859,0.878,0.463,0,0,0
1.5,0.884,0.855,0.875,0.536,0,0,0
2,0.876,0.852,0.867,0.621,0,0,0
2.5,0.867,0.845,0.867,0.719,0,0,0
3,0.867,0.843,0.86,0.833,0,0,0
3.5,0.863,0.841,0.86,0.965,0,0,0
4,0.857,0.835,0.854,1.12,0,0,0
4.5,0.852,0.835,0.851,1.29,0,0,0
5.5,0.847,0.826,0.845,1.5,0,0,0
6.5,0.838,0.821,0.841,1.74,0,0,0
7.5,0.831,0.817,0.836,2.01,0,0,0
8.5,0.823,0.812,0.83,2.33,0,0,0
9.5,0.817,0.808,0.824,2.7,0,0,0
10.5,0.811,0.802,0.819,3.12,0,0,0
11.5,0.805,0.799,0.816,3.62,0,0,0
12.5,0.799,0.794,0.813,4.19,0,0,0
14.5,0.789,0.785,0.805,4.85,0,0,0
16.5,0.777,0.778,0.796,5.61,0,0,0
18.5,0.769,0.772,0.789,6.5,0,0,0
20.5,0.759,0.766,0.784,7.53,0,0,0
22.5,0.751,0.761,0.776,8.72,0.695,0.0158,0
24.5,0.744,0.754,0.771,10.1,3.07,2.18,1.76
26.5,0.737,0.748,0.764,11.7,5.47,4.92,4.17
28.5,0.73,0.743,0.76,13.5,5.99,5.69,4.91
32.5,0.717,0.734,0.75,15.7,4.19,3.58,3.21
36.5,0.704,0.723,0.741,18.2,1.48,0.603,0.726
40.5,0.694,0.717,0.732,21,0,0,0
44.5,0.685,0.709,0.726,24.4,0,0,0
48.5,0.675,0.703,0.718,28.2,0,0,0
52.5,0.667,0.697,0.712,32.7,0,0,0
56.5,0.66,0.691,0.707,37.8,0,0,0
60.5,0.654,0.686,0.701,43.8,0,0,0
68.5,0.644,0.679,0.692,50.7,0,0,0
76.5,0.634,0.67,0.684,58.8,0,0,0
84.5,0.626,0.664,0.677,68.1,0,0,0
92.5,0.618,0.659,0.671,78.8,0,0,0
101,0.612,0.654,0.667,91.3,0,0,0
109,0.607,0.649,0.662,106,0,0,0
117,0.602,0.645,0.658,122,0,0,0
125,0.599,0.641,0.654,142,0,0,0
141,0.593,0.635,0.648,164,0,0,0
157,0.587,0.629,0.642,190,0,0,0
173,0.583,0.624,0.636,220,0,0,0
189,0.578,0.621,0.631,255,0,0,0
205,0.574,0.616,0.627,295,0,0,0
221,0.57,0.612,0.623,342,0,0,0
237,0.566,0.609,0.619,396,0,0,0
253,0.562,0.605,0.614,459,0,0,0
285,0.555,0.598,0.607,531,0,0,0
317,0.548,0.591,0.599,615,0,0,0
349,0.541,0.584,0.591,712,0,0,1.94
381,0.535,0.578,0.583,825,1.98,1.14,6.03
413,0.529,0.571,0.576,955,6.12,9.01,10.6
