Original File:	C:\Users\pharmagal\Desktop\Arosio_Eduard\20230831_0021_15_size_405.avi	Section:	0,1 [0]
Operator:	pharmagal
Experiment:	20230831_0021
ZetaVIEW S/N:	18-359
Software:	ZetaView (version 8.05.12 SP1)	Analyze:	8.05.12 SP1
Sample:	15
Electrolyte:	diw
pH:	7,400000	entered
Conductivity:	15000,000000	sensed
Temperature:	30,220000	sensed
Viscosity:	0,794810
Date:	2023-08-31
Time:	17:54:02
General Remarks:	
Remarks:	
Sample Remarks0:	
Sample Remarks1:	
Sample Remarks2:
Scattering Intensity:	1,605872
Detected Particles:	117
Particle Drift Checked:	2023-08-31 16:31:23
Particle Drift Check Result:	OK
Cell Checked:	2023-08-31 14:42:34
Cell Check Result:	Very Good
Type of Measurement:	Size Distribution
Microscope Position:	0,100004
Number of Traces:	867	(at 0,100000)	Average Number of Particles:	159,166667	Dilution::	1000,000000
Image Evaluation:
Minimum Brightness:	30
Minimum Area:	10
Maximum Area:	1000
Maximum Brightness:	255
Tracking Radius2:	100
Minimum Tracelength:	30
Begin New Traces:	1
PSD log Correction:	0
Camera:	FpSec 60 #Cycles 2 FRate 30,000000
Gain:	0,000000
Offset:	0,000000
Shutter:	100,000000
Brightness:	NaN
Gamma:	NaN
Auto Exposure:	NaN
Camera Trigger Mode:	Camera Frequency
Camera Trigger Duration mus:	Shutter Duration
Camera Trigger Delay mus:	0
Laser Wavelength nm:	405,000000
Filter Wavelength nm:	Scatter
Position:	0,100004
actual Microscope:	-83264	(Pos	0,100004)
actual Laser:	-213188
Position0 Microscope:	-90692
Position0 Laser:	-223132
Position1 Microscope:	-16415
Position1 Laser:	-123695
Cell Thickness (Microscope Steps):	-74277
Cell Thickness (Laser Steps):	-99437
SL1 (Stationary Layer 1):	0,149500
SL2 (Stationary Layer 2):	0,850500
Cell parameter:
Cell#:	ZNTA
Micrometer per Pixel:	0,712000
Reference Electrode Distance:	5,150000
Voltage:	0,000000
Polarity:	1
Reference Voltage:	0,000000
Microscope Magnification:	x10
ZP Factor:	11,709626 (Smoluchowski)Results (Pos 0,100004):
Median Number (D50):	185,032895
Median Concentration (D50):	185,032895
Median Volume (D50):	654,647449
Size Distribution
Size / nm	Number	Concentration / cm-3	Volume / nm^3	Area / nm^2
1,500E+1	0,000E+0	0,000E+0	0,000E+0	0,000E+0
4,500E+1	1,000E+0	8,631E+4	4,771E+4	1,590E+3
7,500E+1	1,200E+1	1,036E+6	2,651E+6	5,301E+4
1,050E+2	3,800E+1	3,280E+6	2,303E+7	3,290E+5
1,350E+2	1,130E+2	9,753E+6	1,456E+8	1,617E+6
1,650E+2	1,680E+2	1,450E+7	3,951E+8	3,592E+6
1,950E+2	1,520E+2	1,312E+7	5,901E+8	4,539E+6
2,250E+2	1,070E+2	9,235E+6	6,382E+8	4,254E+6
2,550E+2	6,800E+1	5,869E+6	5,904E+8	3,473E+6
2,850E+2	4,400E+1	3,798E+6	5,333E+8	2,807E+6
3,150E+2	2,500E+1	2,158E+6	4,091E+8	1,948E+6
3,450E+2	2,500E+1	2,158E+6	5,375E+8	2,337E+6
3,750E+2	1,700E+1	1,467E+6	4,694E+8	1,878E+6
4,050E+2	1,800E+1	1,554E+6	6,261E+8	2,319E+6
4,350E+2	1,800E+1	1,554E+6	7,758E+8	2,675E+6
4,650E+2	1,000E+1	8,631E+5	5,265E+8	1,698E+6
4,950E+2	9,000E+0	7,768E+5	5,716E+8	1,732E+6
5,250E+2	8,000E+0	6,905E+5	6,061E+8	1,732E+6
5,550E+2	4,000E+0	3,452E+5	3,580E+8	9,677E+5
5,850E+2	4,000E+0	3,452E+5	4,193E+8	1,075E+6
6,150E+2	8,000E+0	6,905E+5	9,743E+8	2,376E+6
6,450E+2	2,000E+0	1,726E+5	2,810E+8	6,535E+5
6,750E+2	4,000E+0	3,452E+5	6,441E+8	1,431E+6
7,050E+2	4,000E+0	3,452E+5	7,339E+8	1,561E+6
7,350E+2	1,000E+0	8,631E+4	2,079E+8	4,243E+5
7,650E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
7,950E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
8,250E+2	1,000E+0	8,631E+4	2,940E+8	5,346E+5
8,550E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
8,850E+2	1,000E+0	8,631E+4	3,629E+8	6,151E+5
9,150E+2	0,000E+0	0,000E+0	0,000E+0	0,000E+0
9,450E+2	1,000E+0	8,631E+4	4,419E+8	7,014E+5
