Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_02-Run005,4757,2857,364,47,9.0,0.0,6.7,6.7,8033
2023_05_17_Bot_ETH_02-Run017,7286,7056,633,153,25,2.3,31,13,15155
