Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_06_09_Bot_21-Run035,10194,9546,2282,187,11,40.52,50,43
2023_06_09_Bot_21-Run046,7340,5921,1626,144,2.3,0,2.3,0
