Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_7_1-Run010,7285,14342,2028,92,11,0.0,6.8,4.5,23758
2023_05_17_Bot_ETH_7_1-Run022,11638,19222,2084,106,25,0.0,13,4.5,33074
