Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_01-Run004,2997,4166,355,61,6.8,0.0,6.8,4.5,7586
2023_05_17_Bot_ETH_01-Run016,3100,3188,313,49,4.5,0.0,11,2.3,6655
