Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_00-Run015,3234,3582,337,40,6.7,4.5,11,6.7,7205
2023_05_17_Bot_ETH_00-Run015,3234,3582,337,40,6.7,4.5,11,6.7,7205
