Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_7_2-Run011,7031,8128,1273,175,20,0.0,16,2.3,16626
2023_05_17_Bot_ETH_7_2-Run023,13275,19760,1973,157,29,0.0,16,0.0,35195
