RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
0R 10m D1,540.8,128.44,38.31,15.77,4.51,0,2.25,2.25
0R 10m D1,436.18,132.65,33.73,4.5,0,0,0,0
