Project Name,All:Concentration,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_06_09_Bot_01-Run003,302292,122925,168452,10479,435,0.0,0.0,0.0,0.0
2023_06_09_Bot_01-Run015,177026,105869,65729,5094,335,0.0,0.0,0.0,0.0
