Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_24_Bot_ETH_34-Run029,12087,5437,376,61,6.8,0.0,4.5,0.0
2023_07_24_Bot_ETH_34-Run039,15641,6067,290,76,2.3,0.0,0.0,0.0
