Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_12_Bot_ETH_05-Run007,17833,6146,1103,108,0.0,2.3,2.3,2.3
2023_07_12_Bot_ETH_05-Run019,15860,3735,835,67,2.3,0.0,0.0,0.0
