Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_12_Bot_ETH_11-Run025,13367,5168,728,94,4.5,0.0,0.0,0.0
2023_07_12_Bot_ETH_11-Run034,13488,5214,780,121,2.3,0.0,0.0,0.0
