RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_01_Bot_F13-Run025,58668,18032,1745,160,13,0.0,0.0,0.0
2023_02_01_Bot_F13-Run027,58042,18205,1641,111,11,0.0,0.0,0.0
