RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_09_Bot_K21-Run015,68702,25558,2641,326,9.0,0.0,0.0,0.0
2023_02_09_Bot_K21-Run032,67180,23920,2289,214,11,2.3,6.8,0.0
