RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_02_Bot_G10-Run008,17661,3629,229,18,2.3,0.0,2.3,2.3
2023_02_02_Bot_G10-Run021,19999,4430,241,36,0.0,0.0,0.0,0.0
