RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_01_Bot_F6-Run008,62179,15133,1332,185,9.0,0.0,2.3,0.0
2023_02_01_Bot_F6-Run020,63088,14144,956,97,6.8,0.0,4.5,0.0
