RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_01_Bot_F3-Run005,222506,76666,1845,115,16,0.0,9.0,2.3
2023_02_01_Bot_F3-Run017,160872,34831,2089,272,16,2.3,4.5,4.5
