RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_09_Bot_K18-Run013,18063,5976,640,90,2.3,2.3,4.5,2.3
2023_02_09_Bot_K18-Run030,18370,6110,562,70,9.0,2.3,9.0,6.8
