RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_02_02_Bot_G1-Run002,56602,10771,1085,124,13,0.0,4.5,2.3
2023_02_02_Bot_G1-Run015,50562,10067,921,74,0.0,0.0,0.0,0.0
