T[°C]	Scattering [mAU]	S.D.
31.43767	93.83344	6.301535
31.49162	93.99163	6.212629
31.54557	93.85555	6.207158
31.59951	93.90097	6.310245
31.65346	93.97693	6.223014
31.70741	93.93533	6.123827
31.76136	93.96471	6.494414
31.81531	93.89521	6.305178
31.86926	93.93363	6.235142
31.92321	93.92475	6.257594
31.97716	93.76847	6.193376
32.03111	93.89046	6.043268
32.08506	93.93835	5.903945
32.13901	93.76942	6.243311
32.19296	93.72317	6.26425
32.2469	93.73829	6.172873
32.30085	93.75207	6.255805
32.3548	93.76788	6.445185
32.40875	93.73387	6.422813
32.4627	93.98471	6.325589
32.51665	93.79501	6.306835
32.5706	93.79213	6.16829
32.62455	93.8312	6.230542
32.6785	93.82626	6.144733
32.73244	93.75925	6.025553
32.7864	93.68476	6.212576
32.84034	93.69938	5.95952
32.89429	93.82075	5.80698
32.94824	93.79068	5.777262
33.00219	93.99659	5.904072
33.05614	93.94422	5.869257
33.11009	93.83354	5.829584
33.16404	93.86603	6.022938
33.21799	93.67676	5.803897
33.27194	93.68163	5.970593
33.32589	93.56187	6.172989
33.37984	93.5758	5.994661
33.43378	93.74782	6.338033
33.48773	93.66275	6.171535
33.54168	93.94616	6.347332
33.59563	93.81021	6.085027
33.64958	93.92898	6.262839
33.70353	93.86375	6.055254
33.75748	93.78503	6.101555
33.81143	93.91602	6.125376
33.86538	93.92644	5.876058
33.91933	93.99239	6.010563
33.97327	93.8877	5.59052
34.02723	93.7828	5.733813
34.08117	93.68474	5.896937
34.13512	93.64952	5.857458
34.18907	93.64379	6.06743
34.24302	93.77478	6.267169
34.29697	93.69368	6.154082
34.35092	93.683	6.21502
34.40487	93.83768	6.357167
34.45882	93.72409	6.30019
34.51277	93.6652	6.309028
34.56672	93.82676	6.31091
34.62067	93.81239	6.196105
34.67461	93.75936	6.286653
34.72856	93.7654	6.376022
34.78251	93.69681	6.280376
34.83646	93.72153	6.295713
34.89041	93.72354	6.183136
34.94436	93.65947	6.061025
34.99831	93.69096	6.05801
35.05226	93.65508	6.058845
35.1062	93.65517	5.998615
35.16016	93.62012	6.010268
35.2141	93.54939	6.140211
35.26805	93.61239	6.083725
35.322	93.59821	6.25385
35.37595	93.67389	6.228557
35.4299	93.80283	6.280125
35.48385	93.63523	6.385087
35.5378	93.69042	6.468177
35.59175	93.60207	6.351486
35.6457	93.60957	6.566495
35.69965	93.63406	6.331117
35.7536	93.65979	6.29081
35.80754	93.67988	6.162012
35.8615	93.78048	6.18288
35.91544	93.89436	6.460137
35.96939	93.78216	6.102232
36.02334	93.71696	6.359907
36.07729	93.56805	6.174123
36.13124	93.61845	6.116154
36.18519	93.43085	6.197349
36.23914	93.5297	5.945255
36.29309	93.44666	6.082067
36.34703	93.49775	5.931846
36.40099	93.72879	5.94962
36.45493	93.67159	5.942005
36.50888	93.74833	5.805264
36.56283	93.63211	5.957126
36.61678	93.56721	5.951464
36.67073	93.64183	5.962879
36.72468	93.64508	6.080789
36.77863	93.61433	5.912671
36.83258	93.76491	6.091228
36.88653	93.77633	5.964011
36.94048	93.83669	5.926672
36.99443	93.62125	5.954294
37.04837	93.7962	5.708349
37.10232	93.5423	5.77688
37.15627	93.47224	5.817876
37.21022	93.40217	5.726348
37.26417	93.4017	5.492319
37.31812	93.4862	5.699943
37.37207	93.63464	5.82682
37.42602	93.6925	6.050023
37.47997	93.71676	5.982332
37.53392	93.64689	5.970927
37.58786	93.66845	6.050529
37.64182	93.65415	6.019558
37.69576	93.56971	6.105813
37.74971	93.72087	6.260862
37.80366	93.79605	6.09256
37.85761	93.81876	6.229184
37.91156	93.74851	6.27295
37.96551	93.76749	6.222808
38.01946	93.80055	6.203372
38.07341	93.59351	6.045909
38.12736	93.51598	6.08253
38.1813	93.59107	5.92095
38.23526	93.56476	5.880033
38.2892	93.49869	6.079453
38.34315	93.48038	6.025861
38.3971	93.47884	6.131732
38.45105	93.6178	6.257413
38.505	93.64894	6.179145
38.55895	93.55054	6.324852
38.6129	93.61098	6.418527
38.66685	93.58845	6.31806
38.72079	93.60526	6.357121
38.77475	93.59495	6.437279
38.82869	93.54146	6.258958
38.88264	93.52087	6.231194
38.93659	93.64269	6.165908
38.99054	93.54276	6.113626
39.04449	93.53419	6.214542
39.09844	93.49018	6.105842
39.15239	93.47129	6.032834
39.20634	93.51687	5.847431
39.26029	93.44951	6.15904
39.31424	93.40678	6.15679
39.36819	93.43423	6.331242
39.42213	93.40418	6.446448
39.47609	93.59733	6.412526
39.53003	93.48513	6.431939
39.58398	93.66084	6.22374
39.63793	93.47811	6.32487
39.69188	93.55968	6.180457
39.74583	93.52985	6.292072
39.79978	93.43541	6.327824
39.85373	93.46949	6.203638
39.90768	93.65113	6.126754
39.96162	93.46744	5.875784
40.01558	93.522	5.960708
40.06952	93.58581	6.0479
40.12347	93.49474	5.628136
40.17742	93.56683	5.830651
