T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
29.6318	88.2746		-0.05418119	
29.68591	88.27057		-0.05682402	
29.74001	88.2645		-0.05935944	
29.79412	88.25667		-0.06176282	
29.84823	88.24744		-0.064009	
29.90234	88.23711		-0.06607273	
29.95645	88.22583		-0.06792963	
30.01055	88.21336		-0.06955773	
30.06466	88.19911		-0.07093898	
30.11877	88.18241		-0.07206018	
30.17288	88.16281		-0.07291411	
30.22699	88.14035		-0.07349984	
30.28109	88.11557		-0.07382242	
30.3352	88.08917		-0.07389241	
30.38931	88.06203		-0.07372482	
30.44342	88.0348		-0.07333939	
30.49753	88.00798		-0.07275918	
30.55163	87.98177		-0.07200838	
30.60574	87.95643		-0.07111199	
30.65985	87.93224		-0.07009425	
30.71396	87.90969		-0.06897693	
30.76807	87.88923		-0.06777786	
30.82217	87.87112		-0.0665103	
30.87628	87.85537		-0.06518279	
30.93039	87.842		-0.06380025	
30.9845	87.83121		-0.06236514	
31.03861	87.82342		-0.06087892	
31.09271	87.81871		-0.05934352	
31.14682	87.81686		-0.05776205	
31.20093	87.81773		-0.05614045	
31.25504	87.82118		-0.05448846	
31.30914	87.8271		-0.05282022	
31.36325	87.83558		-0.05115464	
31.41736	87.84657		-0.04951571	
31.47147	87.86012		-0.04793178	
31.52558	87.87597		-0.0464341	
31.57969	87.89362		-0.04505581	
31.63379	87.91235		-0.04382957	
31.6879	87.93132		-0.04278439	
31.74201	87.94993		-0.0419462	
31.79612	87.96795		-0.04133458	
31.85023	87.9853		-0.04096306	
31.90433	88.00191		-0.04083908	
31.95844	88.01752		-0.04096426	
32.01255	88.03159		-0.04133463	
32.06666	88.04382		-0.04194175	
32.12077	88.05396		-0.04277353	
32.17487	88.06198		-0.04381534	
32.22898	88.06822		-0.04505226	
32.28309	88.07293		-0.04646789	
32.3372	88.07651		-0.04804849	
32.3913	88.07895		-0.04978218	
32.44542	88.08018		-0.05165891	
32.49952	88.08012		-0.05366985	
32.55363	88.0788		-0.05580612	
32.60774	88.07676		-0.05805756	
32.66185	88.07468		-0.06041192	
32.71595	88.07309		-0.06285435	
32.77006	88.07195		-0.06536645	
32.82417	88.07085		-0.06792602	
32.87828	88.06953		-0.07050678	
32.93238	88.06765		-0.07307846	
32.98649	88.06458		-0.0756066	
33.0406	88.05995		-0.07805336	
33.09471	88.05359		-0.08037788	
33.14882	88.04543		-0.08254015	
33.20293	88.0355		-0.08450168	
33.25703	88.02395		-0.08622807	
33.31114	88.01117		-0.08769019	
33.36525	87.99773		-0.08886529	
33.41936	87.98386		-0.08973621	
33.47346	87.96953		-0.09029238	
33.52757	87.95421		-0.09053103	
33.58168	87.93723		-0.09045461	
33.63579	87.91816		-0.09007154	
33.6899	87.89674		-0.08939446	
33.74401	87.87302		-0.08843952	
33.79811	87.84723		-0.08722462	
33.85222	87.81958		-0.08576842	
33.90633	87.79052		-0.08408938	
33.96044	87.76041		-0.08220512	
34.01455	87.72982		-0.08013082	
34.06865	87.69971		-0.07787913	
34.12276	87.67157		-0.07546034	
34.17687	87.64674		-0.0728816	
34.23098	87.62609		-0.0701498	
34.28509	87.61006		-0.06727441	
34.3392	87.59863		-0.06426758	
34.3933	87.5912		-0.06114631	
34.44741	87.58721		-0.05793228	
34.50152	87.58604		-0.05465161	
34.55563	87.58719		-0.05133452	
34.60973	87.59029		-0.04801487	
34.66384	87.59505		-0.04472902	
34.71795	87.60146		-0.04151446	
34.77206	87.60989		-0.03840976	
34.82617	87.62086		-0.03545315	
34.88028	87.63468		-0.03268213	
34.93438	87.65108		-0.03013051	
34.98849	87.66933		-0.02782755	
35.0426	87.68836		-0.02579714	
35.09671	87.7071		-0.02405894	
35.15081	87.72478		-0.02262729	
35.20492	87.74127		-0.02151234	
35.25903	87.75677		-0.02072025	
35.31314	87.77177		-0.02025205	
35.36724	87.78667		-0.02010703	
35.42135	87.80135		-0.0202831	
35.47546	87.81525		-0.0207781	
35.52957	87.82767		-0.02158952	
35.58368	87.83825		-0.02271506	
35.63779	87.84703		-0.02415208	
35.69189	87.85438		-0.02589894	
35.746	87.86094		-0.02795191	
35.80011	87.86716		-0.0303059	
35.85422	87.87315		-0.03295284	
35.90833	87.87876		-0.03587884	
35.96243	87.8839		-0.03906376	
36.01654	87.88866		-0.04247873	
36.07065	87.89309		-0.04608636	
36.12476	87.89712		-0.04984063	
36.17887	87.90061		-0.05369084	
36.23298	87.90325		-0.05758247	
36.28708	87.90491		-0.06145976	
36.34119	87.90569		-0.06526748	
36.3953	87.90554		-0.06895295	
36.44941	87.90428		-0.07246699	
36.50351	87.90152		-0.07576451	
36.55762	87.89672		-0.07880674	
36.61173	87.88943		-0.08156165	
36.66584	87.87979		-0.08400661	
36.71995	87.86842		-0.08612733	
36.77406	87.85587		-0.0879184	
36.82816	87.84216		-0.08938131	
36.88227	87.82687		-0.09052106	
36.93638	87.80933		-0.09134711	
36.99049	87.7889		-0.0918713	
37.04459	87.76527		-0.09210756	
37.0987	87.73851		-0.09207045	
37.15281	87.70908		-0.09177551	
37.20692	87.678		-0.09123627	
37.26103	87.64648		-0.09046572	
37.31514	87.61562		-0.08947656	
37.36924	87.58596		-0.08828122	
37.42335	87.55781		-0.0868921	
37.47746	87.53137		-0.08532032	
37.53157	87.50702		-0.0835791	
37.58567	87.48508		-0.08168332	
37.63978	87.46561		-0.07965059	
37.69389	87.44817		-0.0775013	
37.748	87.43219		-0.07525895	
37.8021	87.41727		-0.07294805	
37.85622	87.40342		-0.07059333	
37.91032	87.39095		-0.06821863	
37.96443	87.38033		-0.06584351	
38.01854	87.37174		-0.06348256	
38.07265	87.36527		-0.0611458	
38.12675	87.36111		-0.05883947	
38.18086	87.35992		-0.05656751	
38.23497	87.3623		-0.05433241	
38.28908	87.36882		-0.05213579	
38.34319	87.37975		-0.04997795	
38.39729	87.395		-0.04785896	
38.4514	87.41395		-0.04577963	
38.50551	87.43564		-0.04374412	
38.55962	87.4592		-0.04176135	
38.61373	87.48401		-0.03984605	
38.66784	87.50986		-0.03801786	
38.72194	87.53649		-0.03630198	
38.77605	87.56334		-0.03472589	
38.83016	87.58956		-0.03331967	
38.88427	87.6141		-0.03211504	
38.93837	87.63582		-0.03114166	
38.99248	87.65392		-0.030428	
39.04659	87.66828		-0.02999793	
39.1007	87.67953		-0.02987032	
39.15481	87.68865		-0.03005866	
39.20892	87.69629		-0.0305704	
39.26302	87.7027		-0.03140586	
39.31713	87.70758		-0.03255884	
39.37124	87.71054		-0.03401393	
39.42535	87.71167		-0.03574912	
39.47945	87.71128		-0.03773766	
39.53356	87.70957		-0.03994896	
39.58767	87.70636		-0.04235169	
39.64178	87.70123		-0.04491403	
39.69589	87.69398		-0.04760491	
39.75	87.68476		-0.05039388	
39.8041	87.67389		-0.05325187	
39.85821	87.66174		-0.05614927	
39.91232	87.64875		-0.05905484	
39.96643	87.63522		-0.06193642	
40.02053	87.62151		-0.06476147	
40.07464	87.60789		-0.06749846	
40.12875	87.59458		-0.07011635	
40.18286	87.58175		-0.07258461	
40.23697	87.56953		-0.07487077	
40.29108	87.55798		-0.07694134	
