X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230911 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230911 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230911 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230911 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230911 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230911 3
0.5,0.9,0.904,0.892,0.4,0,0,0
1,0.907,0.908,0.9,0.463,0,0,0
1.5,0.903,0.905,0.896,0.536,0,0,0
2,0.902,0.903,0.891,0.621,0,0,0
2.5,0.899,0.899,0.89,0.719,0,0,0
3,0.896,0.9,0.889,0.833,0,0,0
3.5,0.894,0.897,0.887,0.965,0,0,0
4,0.894,0.893,0.885,1.12,0,0,0
4.5,0.89,0.89,0.883,1.29,0,0,0
5.5,0.884,0.888,0.877,1.5,0,0,0
6.5,0.881,0.882,0.871,1.74,0,0,0
7.5,0.874,0.877,0.869,2.01,0,0,0
8.5,0.87,0.873,0.863,2.33,0,0,0
9.5,0.867,0.869,0.858,2.7,0,0,0
10.5,0.862,0.864,0.855,3.12,0,0,0
11.5,0.858,0.859,0.85,3.62,0,0,0
12.5,0.853,0.857,0.845,4.19,0,0,0
14.5,0.844,0.847,0.837,4.85,0,0,0
16.5,0.835,0.837,0.828,5.61,0,0,0
18.5,0.827,0.829,0.819,6.5,0,0,0
20.5,0.819,0.819,0.811,7.53,0,0,0
22.5,0.81,0.812,0.803,8.72,0,0,0
24.5,0.803,0.804,0.795,10.1,0,0,0
26.5,0.795,0.797,0.787,11.7,0,0,0
28.5,0.786,0.788,0.778,13.5,0,0,0
32.5,0.77,0.773,0.763,15.7,0,0,0
36.5,0.756,0.757,0.747,18.2,0,0,0
40.5,0.742,0.742,0.733,21,0,0,0.101
44.5,0.726,0.727,0.718,24.4,0,0,0.403
48.5,0.713,0.714,0.703,28.2,0,0,0.594
52.5,0.699,0.699,0.689,32.7,0.0662,0,0.519
56.5,0.685,0.685,0.676,37.8,0.316,0,0.299
60.5,0.672,0.672,0.663,43.8,0.806,0.215,0.226
68.5,0.647,0.647,0.637,50.7,1.56,1,0.602
76.5,0.623,0.622,0.612,58.8,2.57,2.39,1.61
84.5,0.6,0.6,0.589,68.1,3.8,4.2,3.25
92.5,0.579,0.577,0.567,78.8,5.2,6.15,5.34
101,0.558,0.555,0.546,91.3,6.65,7.98,7.57
109,0.537,0.535,0.525,106,8.01,9.43,9.59
117,0.518,0.515,0.506,122,9.14,10.3,11.1
125,0.5,0.497,0.487,142,9.88,10.6,11.8
141,0.465,0.461,0.452,164,10.1,10.3,11.6
157,0.433,0.429,0.421,190,9.84,9.41,10.6
173,0.404,0.399,0.391,220,9,8.1,8.95
189,0.377,0.372,0.363,255,7.71,6.53,6.87
205,0.352,0.347,0.338,295,6.11,4.87,4.7
221,0.328,0.323,0.316,342,4.39,3.29,2.74
237,0.307,0.302,0.294,396,2.77,1.95,1.24
253,0.288,0.283,0.275,459,1.44,0.948,0.334
285,0.253,0.247,0.24,531,0.53,0.321,0
317,0.223,0.217,0.21,615,0.0847,0.0411,0
349,0.197,0.191,0.184,712,0,0,0
381,0.175,0.169,0.161,825,0,0,0
413,0.155,0.15,0.142,955,0,0,0
445,0.138,0.133,0.126,1.11E+03,0,0,0
477,0.123,0.118,0.111,1.28E+03,0,0,0
509,0.111,0.106,0.0991,1.48E+03,0,0,0
573,0.0881,0.084,0.0782,1.72E+03,0,0,0
637,0.0704,0.0675,0.0627,1.99E+03,0,0,0
701,0.057,0.0552,0.0509,2.30E+03,0,0,0
765,0.0467,0.0446,0.0419,2.67E+03,0,0.0219,0
829,0.0386,0.0373,0.0342,3.09E+03,0,0.0972,0
893,0.0328,0.0314,0.0287,3.58E+03,0,0.224,0
957,0.0273,0.0267,0.0239,4.15E+03,0,0.379,0
1.02E+03,0.0234,0.0231,0.0197,4.80E+03,0,0.525,0
1.15E+03,0.0171,0.0177,0.0143,5.56E+03,0,0.622,0
1.28E+03,0.0112,0.0142,0.011,6.44E+03,0,0,0
1.40E+03,0.00822,0.0115,0.00973,7.46E+03,0,0,0
1.53E+03,0.00571,0.00974,0.00716,8.63E+03,0,0,0
1.66E+03,0.00345,0.00753,0.00517,,,,
1.79E+03,0.0023,0.006,0.00391,,,,
1.92E+03,0.00176,0.00568,0.00253,,,,
2.04E+03,0.0021,0.00558,0.00109,,,,
2.30E+03,0.00259,0.00314,0.000983,,,,
2.56E+03,0.00365,0.00191,0.000356,,,,
2.81E+03,0.00259,0.00299,0.00137,,,,
3.07E+03,0.00146,0.00347,0.00211,,,,
3.32E+03,0.00164,0.00353,0.000841,,,,
3.58E+03,0.00374,0.00296,0.00125,,,,
3.84E+03,0.00377,0.00281,0.0012,,,,
4.09E+03,0.00329,0.00229,0.00249,,,,
4.60E+03,0.00314,0.00212,0.0026,,,,
5.12E+03,0.00426,0.00237,0.00308,,,,
5.63E+03,0.00276,0.0038,0.00238,,,,
6.14E+03,0.00225,0.0039,0.00256,,,,
6.65E+03,0.00277,0.00487,0.00351,,,,
