X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PF_No3_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No3_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No3_230802 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PF_No3_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No3_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No3_230802 3
0.5,0.798,0.808,0.797,0.4,0,0,0
1,0.797,0.806,0.795,0.463,0,0,0
1.5,0.789,0.799,0.786,0.536,0,0,0
2,0.779,0.79,0.774,0.621,0,0,0
2.5,0.771,0.778,0.769,0.719,0,0,0
3,0.763,0.773,0.759,0.833,0,0,0
3.5,0.756,0.766,0.751,0.965,0,0,0
4,0.749,0.762,0.744,1.12,0,0,0
4.5,0.742,0.752,0.736,1.29,0,0,0
5.5,0.73,0.739,0.722,1.5,0,0,0
6.5,0.715,0.724,0.71,1.74,0,0,0
7.5,0.703,0.713,0.696,2.01,0,0,0
8.5,0.691,0.701,0.684,2.33,0,0,0
9.5,0.681,0.69,0.671,2.7,0,0,0
10.5,0.669,0.677,0.66,3.12,0,0,0
11.5,0.66,0.667,0.649,3.62,0,0,0
12.5,0.648,0.656,0.638,4.19,0,0,0
14.5,0.627,0.635,0.619,4.85,0,0,0
16.5,0.608,0.618,0.599,5.61,0,0,0
18.5,0.591,0.6,0.58,6.5,0,0,0
20.5,0.575,0.583,0.564,7.53,0,0,0
22.5,0.559,0.567,0.546,8.72,0,0,0.328
24.5,0.546,0.553,0.532,10.1,3.66,3.62,4.19
26.5,0.531,0.539,0.519,11.7,9.53,9.33,9.07
28.5,0.519,0.527,0.505,13.5,12.4,12.3,11.4
32.5,0.495,0.503,0.481,15.7,9.79,9.99,9.66
36.5,0.475,0.482,0.459,18.2,3.96,4.3,5.07
40.5,0.456,0.463,0.441,21,0,0,0.978
44.5,0.439,0.446,0.424,24.4,0,0,0
48.5,0.424,0.432,0.408,28.2,0,0,0
52.5,0.411,0.419,0.395,32.7,0,0,0
56.5,0.398,0.406,0.383,37.8,0,0,0
60.5,0.389,0.395,0.372,43.8,0,0,0
68.5,0.37,0.377,0.353,50.7,0,0,0
76.5,0.355,0.362,0.338,58.8,0,0,0
84.5,0.342,0.349,0.325,68.1,0,0,0
92.5,0.333,0.34,0.314,78.8,0,0,0
101,0.324,0.331,0.305,91.3,0,0,0
109,0.317,0.323,0.297,106,0,0,0
117,0.311,0.317,0.291,122,0,0,0
125,0.305,0.312,0.286,142,0,0,0
141,0.296,0.302,0.277,164,0,0,0
157,0.29,0.295,0.271,190,0,0,0
173,0.285,0.289,0.266,220,0,0,0
189,0.28,0.284,0.261,255,0,0,0
205,0.275,0.28,0.258,295,0,0,0.34
221,0.271,0.277,0.254,342,0,0,1.3
237,0.268,0.274,0.25,396,0,0,2.59
253,0.265,0.271,0.246,459,0.934,0.958,3.81
285,0.26,0.266,0.242,531,3.13,3.05,4.68
317,0.254,0.261,0.236,615,5.85,5.59,5.07
349,0.248,0.255,0.23,712,8.19,7.75,5
381,0.244,0.25,0.225,825,9.47,8.97,4.59
413,0.239,0.245,0.219,955,9.46,9.01,4
445,0.234,0.24,0.214,1.11E+03,8.28,8,3.39
477,0.228,0.235,0.209,1.28E+03,6.34,6.26,2.85
509,0.223,0.229,0.206,1.48E+03,4.14,4.25,2.46
573,0.213,0.218,0.197,1.72E+03,2.18,2.4,2.24
637,0.203,0.209,0.188,1.99E+03,0.799,1.01,2.16
701,0.193,0.201,0.18,2.30E+03,0.122,0.237,2.18
765,0.184,0.192,0.173,2.67E+03,0,0,2.24
829,0.177,0.184,0.165,3.09E+03,0,0,2.28
893,0.17,0.176,0.159,3.58E+03,0.000187,0.133,2.27
957,0.162,0.169,0.153,4.15E+03,0.188,0.471,2.17
1.02E+03,0.155,0.163,0.147,4.80E+03,0.566,0.948,1.97
1.15E+03,0.141,0.149,0.136,5.56E+03,1.01,1.42,1.67
1.28E+03,0.128,0.138,0.123,6.44E+03,0,0,0
1.40E+03,0.118,0.128,0.116,7.46E+03,0,0,0
1.53E+03,0.109,0.118,0.108,8.63E+03,0,0,0
1.66E+03,0.101,0.111,0.101,,,,
1.79E+03,0.0947,0.102,0.0947,,,,
1.92E+03,0.0888,0.0958,0.0892,,,,
2.04E+03,0.0834,0.0886,0.0832,,,,
2.30E+03,0.0736,0.0777,0.0742,,,,
2.56E+03,0.063,0.0692,0.0664,,,,
2.81E+03,0.0547,0.0602,0.0595,,,,
3.07E+03,0.0469,0.0531,0.053,,,,
3.32E+03,0.0403,0.0476,0.0466,,,,
3.58E+03,0.0351,0.0429,0.0413,,,,
3.84E+03,0.031,0.0392,0.0367,,,,
4.09E+03,0.0283,0.0351,0.0336,,,,
4.60E+03,0.0236,0.0277,0.0291,,,,
5.12E+03,0.0191,0.0226,0.023,,,,
5.63E+03,0.0165,0.0181,0.0186,,,,
6.14E+03,0.0124,0.0151,0.0157,,,,
6.65E+03,0.0102,0.0128,0.0131,,,,
7.16E+03,0.00825,0.0106,0.0107,,,,
7.68E+03,0.00466,0.00996,0.00893,,,,
8.19E+03,0.00384,0.00826,0.00696,,,,
9.21E+03,0.00285,0.00372,0.00572,,,,
1.02E+04,0.00198,0.00191,0.00502,,,,
1.13E+04,0.000494,0.00193,0.00634,,,,
1.23E+04,0.0014,0.00341,0.00693,,,,
1.33E+04,0.00294,0.00366,0.00394,,,,
1.43E+04,0.00388,0.00452,0.00292,,,,
1.54E+04,0.00595,0.00589,0.000978,,,,
1.64E+04,0.00569,0.00428,0.00158,,,,
1.84E+04,0.00396,0.00524,0.000744,,,,
2.05E+04,0.0042,0.00369,0.0013,,,,
2.25E+04,0.00483,0.000902,0.0019,,,,
2.46E+04,0.00617,0.00188,0.00251,,,,
2.66E+04,0.00381,0.00455,0.00111,,,,
2.87E+04,0.00327,0.00368,0.000514,,,,
3.07E+04,0.00529,0.00333,0.0016,,,,
3.28E+04,0.00384,0.00192,0.00219,,,,
3.69E+04,0.00482,0.00261,0.0018,,,,
4.10E+04,0.00569,0.006,0.00118,,,,
4.51E+04,0.00401,0.00489,0.00245,,,,
4.91E+04,0.00039,0.003,0.00161,,,,
5.32E+04,0.00219,0.00455,0.00119,,,,
5.73E+04,0.00498,0.00373,0.000487,,,,
6.14E+04,0.00534,0.00604,0.00113,,,,
6.55E+04,0.00374,0.00342,0.00182,,,,
7.37E+04,0.00477,0.00183,0.00205,,,,
8.19E+04,0.00522,0.00406,0.00414,,,,
9.01E+04,0.00351,0.00144,0.00282,,,,
9.83E+04,0.00238,0.00218,0.00499,,,,
1.06E+05,0.00267,0.00418,0.00478,,,,
1.15E+05,0.00126,0.00328,0.00134,,,,
1.23E+05,0.00283,0.00382,0.00181,,,,
1.31E+05,0.000359,0.00217,0.00257,,,,
1.47E+05,0.00152,0.00106,0.00414,,,,
1.64E+05,0.00194,0.00195,0.00153,,,,
1.80E+05,0.00179,0.0031,0.00157,,,,
1.97E+05,0.0012,0.00399,0.00037,,,,
2.13E+05,0.000274,0.0038,0.00238,,,,
2.29E+05,0.000758,0.00279,0.00193,,,,
2.46E+05,0.000205,0.00138,0.00227,,,,
2.62E+05,0.000228,0.000619,0.000551,,,,
2.95E+05,1.03E-05,0.00129,0.000589,,,,
3.28E+05,0.00198,0.000644,0.0021,,,,
3.60E+05,0.000628,0.000255,0.000827,,,,
3.93E+05,0.0017,0.00317,0,,,,
4.26E+05,0.0016,0.00371,0,,,,
4.59E+05,0.00213,0.00179,0.000552,,,,
4.92E+05,0.00131,0.00015,0,,,,
5.24E+05,0.000754,0.00218,0.00137,,,,
5.90E+05,0.000655,0.00262,0.000211,,,,
6.55E+05,1.42E-05,0.00344,0.0025,,,,
7.21E+05,0.000502,0.00229,0.00252,,,,
7.86E+05,0.000161,0.00263,0.00245,,,,
8.52E+05,0.00151,0.00196,0.0018,,,,
9.18E+05,0.00116,0.000662,0.00147,,,,
9.83E+05,0.000153,0.00281,0.00172,,,,
1.05E+06,0,0.00265,0.00158,,,,
1.18E+06,0.000751,0.00254,0.000884,,,,
1.31E+06,0.00186,0.00185,0.00118,,,,
1.44E+06,0.000136,0.00331,0.00133,,,,
1.57E+06,0.00119,0.00476,0.00329,,,,
1.70E+06,0.00138,0.00292,0.0027,,,,
1.84E+06,7.10E-05,0.00167,0.00204,,,,
1.97E+06,0.00123,0.00218,0.0021,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
