X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PF_No1_230817 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No1_230817 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No1_230817 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PF_No1_230817 1,Record 2: JJ1_10mg_400rpm_10-00min_PF_No1_230817 2,Record 3: JJ1_10mg_400rpm_10-00min_PF_No1_230817 3
0.5,0.784,0.773,0.75,0.4,0,0,0
1,0.787,0.777,0.754,0.463,0,0,0
1.5,0.784,0.774,0.75,0.536,0,0,0
2,0.781,0.773,0.747,0.621,0,0,0
2.5,0.782,0.771,0.746,0.719,0,0,0
3,0.781,0.77,0.746,0.833,0,0,0
3.5,0.779,0.769,0.744,0.965,0,0,0
4,0.778,0.768,0.742,1.12,0,0,0
4.5,0.778,0.767,0.741,1.29,0,0,0
5.5,0.774,0.764,0.737,1.5,0,0,0
6.5,0.772,0.763,0.736,1.74,0,0,0
7.5,0.77,0.759,0.734,2.01,0,0,0
8.5,0.767,0.758,0.734,2.33,0,0,0
9.5,0.766,0.755,0.73,2.7,0,0,0
10.5,0.764,0.754,0.728,3.12,0,0,0
11.5,0.764,0.751,0.726,3.62,0,0,0
12.5,0.761,0.749,0.724,4.19,0,0,0
14.5,0.758,0.747,0.722,4.85,0,0,0
16.5,0.755,0.743,0.717,5.61,0,0,0
18.5,0.751,0.74,0.715,6.5,0.122,0,0
20.5,0.747,0.737,0.711,7.53,3.66,2.06,1.71
22.5,0.745,0.734,0.708,8.72,1.47,3.58,3.75
24.5,0.744,0.732,0.705,10.1,0,0.36,0.373
26.5,0.741,0.73,0.702,11.7,0,0,0
28.5,0.738,0.727,0.7,13.5,0,0,0
32.5,0.734,0.722,0.695,15.7,0,0,0
36.5,0.73,0.718,0.691,18.2,0,0,0
40.5,0.726,0.714,0.687,21,0,0,0
44.5,0.723,0.711,0.683,24.4,0,0,0
48.5,0.72,0.707,0.68,28.2,0,0,0
52.5,0.717,0.706,0.677,32.7,0,0,0
56.5,0.713,0.702,0.673,37.8,0,0,0
60.5,0.711,0.7,0.671,43.8,0,0,0
68.5,0.706,0.695,0.666,50.7,0,0,0
76.5,0.702,0.69,0.661,58.8,0,0,0
84.5,0.698,0.686,0.657,68.1,0,0,0
92.5,0.695,0.683,0.654,78.8,0,0,0
101,0.692,0.68,0.651,91.3,0,0,0
109,0.688,0.677,0.648,106,0,0,0
117,0.686,0.674,0.645,122,0,0,0
125,0.684,0.672,0.643,142,0,0,0
141,0.678,0.667,0.638,164,0,0,0
157,0.674,0.662,0.633,190,0,0,0
173,0.67,0.659,0.629,220,0,0,0
189,0.665,0.655,0.625,255,0,0,0
205,0.661,0.651,0.621,295,0,0,0
221,0.658,0.646,0.617,342,0,0,0
237,0.654,0.642,0.613,396,0,0,0
253,0.649,0.639,0.609,459,0,0,0
285,0.641,0.631,0.601,531,0,0,0
317,0.632,0.623,0.593,615,0,0,0
349,0.624,0.614,0.585,712,4.8,7.33,3.98
381,0.616,0.607,0.577,825,17.8,17.5,14.4
413,0.607,0.599,0.568,955,27.3,23.3,23.3
445,0.599,0.591,0.56,1.11E+03,25.7,21.5,24.6
477,0.591,0.583,0.552,1.28E+03,15.1,14,18.1
509,0.582,0.575,0.544,1.48E+03,4.04,5.43,8.42
573,0.564,0.559,0.527,1.72E+03,0,0.311,1.42
637,0.547,0.543,0.51,1.99E+03,0,0,0
701,0.531,0.527,0.494,2.30E+03,0,0,0
765,0.514,0.512,0.478,2.67E+03,0,0,0
829,0.498,0.496,0.462,3.09E+03,0,0,0
893,0.482,0.481,0.446,3.58E+03,0,0,0
957,0.466,0.466,0.431,4.15E+03,0,0,0
1.02E+03,0.451,0.453,0.417,4.80E+03,0,0.608,0
1.15E+03,0.422,0.426,0.388,5.56E+03,0,3.99,0
1.28E+03,0.395,0.4,0.362,6.44E+03,0,0,0
1.40E+03,0.371,0.377,0.339,7.46E+03,0,0,0
1.53E+03,0.349,0.356,0.318,8.63E+03,0,0,0
1.66E+03,0.33,0.338,0.3,,,,
1.79E+03,0.311,0.321,0.284,,,,
1.92E+03,0.294,0.306,0.269,,,,
2.04E+03,0.28,0.293,0.255,,,,
2.30E+03,0.255,0.27,0.231,,,,
2.56E+03,0.233,0.251,0.211,,,,
2.81E+03,0.215,0.234,0.192,,,,
3.07E+03,0.199,0.219,0.177,,,,
3.32E+03,0.186,0.206,0.163,,,,
3.58E+03,0.174,0.193,0.15,,,,
3.84E+03,0.163,0.18,0.139,,,,
4.09E+03,0.154,0.168,0.129,,,,
4.60E+03,0.135,0.145,0.113,,,,
5.12E+03,0.118,0.125,0.0995,,,,
5.63E+03,0.103,0.111,0.0881,,,,
6.14E+03,0.0915,0.101,0.0775,,,,
6.65E+03,0.0831,0.0923,0.0682,,,,
7.16E+03,0.078,0.0856,0.0615,,,,
7.68E+03,0.0752,0.0801,0.0565,,,,
8.19E+03,0.0722,0.0729,0.0529,,,,
9.21E+03,0.0636,0.0579,0.0478,,,,
1.02E+04,0.0553,0.0469,0.0405,,,,
1.13E+04,0.0498,0.0396,0.0322,,,,
1.23E+04,0.0454,0.0341,0.0248,,,,
1.33E+04,0.04,0.0367,0.0204,,,,
1.43E+04,0.0345,0.038,0.0157,,,,
1.54E+04,0.0322,0.0348,0.0141,,,,
1.64E+04,0.0273,0.0275,0.0136,,,,
1.84E+04,0.0251,0.018,0.0126,,,,
2.05E+04,0.0238,0.0169,0.0101,,,,
2.25E+04,0.0234,0.0187,0.00313,,,,
2.46E+04,0.0189,0.016,0.00416,,,,
2.66E+04,0.0199,0.0117,0.00807,,,,
2.87E+04,0.0237,0.0127,0.0114,,,,
3.07E+04,0.0253,0.00946,0.0129,,,,
3.28E+04,0.0233,0.0119,0.00741,,,,
3.69E+04,0.0261,0.0142,0.00591,,,,
4.10E+04,0.0268,0.013,0.00905,,,,
4.51E+04,0.0232,0.0157,0.0093,,,,
4.91E+04,0.0223,0.0163,0.00758,,,,
5.32E+04,0.0247,0.0145,0.00996,,,,
5.73E+04,0.0292,0.0108,0.015,,,,
6.14E+04,0.0286,0.00831,0.0126,,,,
6.55E+04,0.0259,0.0107,0.00946,,,,
7.37E+04,0.0168,0.015,0.00978,,,,
8.19E+04,0.0134,0.0224,0.0133,,,,
9.01E+04,0.00864,0.00971,0.00844,,,,
9.83E+04,0.0135,0.00673,0.0156,,,,
1.06E+05,0.0208,0.0113,0.0138,,,,
1.15E+05,0.0117,0.00469,0.0148,,,,
1.23E+05,0.00637,0.00514,0.00751,,,,
1.31E+05,0.00318,0.0113,0.00524,,,,
1.47E+05,0.00557,0.00692,0.00105,,,,
1.64E+05,0.00472,0.0128,0.000139,,,,
1.80E+05,0.00564,0.0147,0.00514,,,,
1.97E+05,0.00224,0.011,0.00178,,,,
2.13E+05,0.00583,0.0137,0.00777,,,,
2.29E+05,0.0074,0.00962,0.00193,,,,
2.46E+05,0.00149,0.00873,0.000911,,,,
2.62E+05,0.00234,0.0121,0.00452,,,,
2.95E+05,0.0105,0.00488,0.00189,,,,
3.28E+05,0.00745,0.0106,0.0038,,,,
3.60E+05,0.00898,0.0132,0.00489,,,,
3.93E+05,0.0117,0.0116,0.00255,,,,
4.26E+05,0.00377,0.00605,0.00324,,,,
4.59E+05,0.00473,0.00724,0.00435,,,,
4.92E+05,0.00272,0.0125,0.00623,,,,
5.24E+05,0.00141,0.0122,0.00537,,,,
5.90E+05,0.0025,0.0039,0.0012,,,,
6.55E+05,0.00688,0.00319,0.00104,,,,
7.21E+05,0.0051,0.0034,0.00368,,,,
7.86E+05,0.0063,0.00519,0.00313,,,,
8.52E+05,0.00268,0.00937,0.00144,,,,
9.18E+05,0.00131,0.00301,0.00362,,,,
9.83E+05,0.00315,0.00183,0.00185,,,,
1.05E+06,0.0132,0.00262,0.00253,,,,
1.18E+06,0.00368,0.000969,0.00242,,,,
1.31E+06,0.00713,0.00697,0.00115,,,,
1.44E+06,0.00752,0.00294,0.00229,,,,
1.57E+06,0.000204,0.000625,0.00192,,,,
1.70E+06,0.0139,0.00149,0.00164,,,,
1.84E+06,0.0126,0.000842,0.00281,,,,
1.97E+06,0.0107,0.00208,0.00523,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
