X Lag Time,Record 1: JJ1_10mg_300rpm_10-00min_ST_No3_230802 1,Record 2: JJ1_10mg_300rpm_10-00min_ST_No3_230802 2,Record 3: JJ1_10mg_300rpm_10-00min_ST_No3_230802 3,X Intensity,Record 1: JJ1_10mg_300rpm_10-00min_ST_No3_230802 1,Record 2: JJ1_10mg_300rpm_10-00min_ST_No3_230802 2,Record 3: JJ1_10mg_300rpm_10-00min_ST_No3_230802 3
0.5,0.861,0.858,0.863,0.4,0,0,0
1,0.852,0.853,0.855,0.463,0,0,0
1.5,0.841,0.838,0.844,0.536,0,0,0
2,0.832,0.827,0.836,0.621,0,0,0
2.5,0.823,0.815,0.823,0.719,0,0,0
3,0.814,0.81,0.812,0.833,0,0,0
3.5,0.803,0.799,0.809,0.965,0,0,0
4,0.797,0.791,0.799,1.12,0,0,0
4.5,0.789,0.78,0.788,1.29,0,0,0
5.5,0.771,0.761,0.772,1.5,0,0,0
6.5,0.753,0.745,0.752,1.74,0,0,0
7.5,0.74,0.727,0.739,2.01,0,0,0
8.5,0.723,0.71,0.724,2.33,0,0,0
9.5,0.71,0.698,0.708,2.7,0,0,0
10.5,0.698,0.684,0.692,3.12,0,0,0
11.5,0.682,0.671,0.681,3.62,0,0,0
12.5,0.671,0.657,0.669,4.19,0,0,0
14.5,0.647,0.631,0.642,4.85,0,0,0
16.5,0.624,0.605,0.619,5.61,0,0,0
18.5,0.603,0.584,0.598,6.5,0,0,0
20.5,0.583,0.563,0.577,7.53,0,0,0
22.5,0.564,0.544,0.559,8.72,1.49,0.227,0.952
24.5,0.546,0.525,0.541,10.1,5.17,4.31,4.59
26.5,0.53,0.507,0.524,11.7,9.23,9.77,9.11
28.5,0.516,0.491,0.506,13.5,11.5,13,11.8
32.5,0.488,0.46,0.478,15.7,10.8,12.2,11.2
36.5,0.462,0.434,0.452,18.2,7.49,7.92,7.58
40.5,0.439,0.411,0.429,21,3.4,2.89,2.97
44.5,0.42,0.39,0.41,24.4,0.57,0,0.0493
48.5,0.402,0.372,0.391,28.2,0,0,0
52.5,0.386,0.355,0.375,32.7,0,0,0
56.5,0.374,0.341,0.36,37.8,0,0,0
60.5,0.361,0.328,0.347,43.8,0,0,0
68.5,0.339,0.306,0.325,50.7,0,0,0
76.5,0.322,0.288,0.306,58.8,0,0,0
84.5,0.306,0.272,0.293,68.1,0,0,0
92.5,0.293,0.26,0.28,78.8,0,0,0
101,0.284,0.25,0.269,91.3,0,0,0
109,0.275,0.242,0.26,106,0,0,0
117,0.268,0.234,0.253,122,0,0,0
125,0.262,0.228,0.247,142,0,0,0
141,0.252,0.217,0.236,164,0,0,0
157,0.244,0.209,0.229,190,0,0,0
173,0.237,0.201,0.222,220,0,0,0
189,0.23,0.196,0.215,255,0.506,0.488,0
205,0.225,0.191,0.21,295,1.85,1.84,0.632
221,0.221,0.185,0.205,342,3.74,3.73,2.36
237,0.217,0.182,0.202,396,5.6,5.58,4.69
253,0.213,0.178,0.198,459,6.93,6.89,6.84
285,0.206,0.171,0.191,531,7.38,7.36,8.16
317,0.2,0.166,0.185,615,6.88,6.94,8.34
349,0.192,0.16,0.179,712,5.58,5.79,7.39
381,0.187,0.154,0.173,825,3.84,4.21,5.65
413,0.181,0.149,0.168,955,2.1,2.57,3.6
445,0.177,0.144,0.162,1.11E+03,0.778,1.21,1.76
477,0.171,0.14,0.156,1.28E+03,0.0986,0.339,0.514
509,0.168,0.135,0.151,1.48E+03,0,0,0
573,0.158,0.126,0.142,1.72E+03,0,0,0
637,0.149,0.118,0.135,1.99E+03,0,0,0
701,0.142,0.109,0.126,2.30E+03,0,0,0
765,0.135,0.102,0.117,2.67E+03,0,0,0
829,0.129,0.0955,0.11,3.09E+03,0,0,0
893,0.121,0.0899,0.105,3.58E+03,0.082,0.117,0
957,0.114,0.0828,0.0974,4.15E+03,0.632,0.424,0.158
1.02E+03,0.108,0.0773,0.0914,4.80E+03,1.63,0.865,0.543
1.15E+03,0.0984,0.0696,0.0805,5.56E+03,2.77,1.3,1.04
1.28E+03,0.0899,0.0611,0.0712,6.44E+03,0,0,0
1.40E+03,0.0815,0.0547,0.0636,7.46E+03,0,0,0
1.53E+03,0.0749,0.0491,0.0566,8.63E+03,0,0,0
1.66E+03,0.0679,0.0439,0.051,,,,
1.79E+03,0.0632,0.0399,0.0458,,,,
1.92E+03,0.0589,0.0367,0.0418,,,,
2.04E+03,0.0558,0.0338,0.0385,,,,
