X Lag Time,Record 1: JJ1_10mg_300rpm_10-00min_ST_No1_230802 1,Record 2: JJ1_10mg_300rpm_10-00min_ST_No1_230802 2,Record 3: JJ1_10mg_300rpm_10-00min_ST_No1_230802 3,X Intensity,Record 1: JJ1_10mg_300rpm_10-00min_ST_No1_230802 1,Record 2: JJ1_10mg_300rpm_10-00min_ST_No1_230802 2,Record 3: JJ1_10mg_300rpm_10-00min_ST_No1_230802 3
0.5,0.845,0.845,0.849,0.4,0,0,0
1,0.84,0.84,0.841,0.463,0,0,0
1.5,0.829,0.831,0.832,0.536,0,0,0
2,0.821,0.82,0.818,0.621,0,0,0
2.5,0.805,0.809,0.809,0.719,0,0,0
3,0.802,0.801,0.803,0.833,0,0,0
3.5,0.786,0.792,0.791,0.965,0,0,0
4,0.777,0.782,0.781,1.12,0,0,0
4.5,0.769,0.773,0.772,1.29,0,0,0
5.5,0.753,0.757,0.755,1.5,0,0,0
6.5,0.737,0.738,0.736,1.74,0,0,0
7.5,0.719,0.722,0.723,2.01,0,0,0
8.5,0.706,0.705,0.705,2.33,0,0,0
9.5,0.693,0.692,0.691,2.7,0,0,0
10.5,0.677,0.675,0.675,3.12,0,0,0
11.5,0.663,0.665,0.663,3.62,0,0,0
12.5,0.652,0.651,0.649,4.19,0,0,0
14.5,0.626,0.625,0.623,4.85,0,0,0
16.5,0.601,0.6,0.601,5.61,0,0,0
18.5,0.582,0.579,0.578,6.5,0,0,0
20.5,0.562,0.557,0.557,7.53,0,0,0
22.5,0.539,0.539,0.537,8.72,0,1.11,1.28
24.5,0.522,0.52,0.52,10.1,3.02,4.53,4.62
26.5,0.506,0.505,0.501,11.7,8.39,8.76,8.51
28.5,0.491,0.489,0.486,13.5,12.6,11.5,10.9
32.5,0.462,0.458,0.456,15.7,13,11.3,10.6
36.5,0.436,0.433,0.43,18.2,9.47,8.16,7.75
40.5,0.413,0.41,0.409,21,4.18,3.82,3.79
44.5,0.392,0.39,0.387,24.4,0.448,0.639,0.789
48.5,0.373,0.372,0.367,28.2,0,0,0
52.5,0.357,0.356,0.352,32.7,0,0,0
56.5,0.341,0.341,0.338,37.8,0,0,0
60.5,0.328,0.328,0.324,43.8,0,0,0
68.5,0.306,0.306,0.303,50.7,0,0,0
76.5,0.287,0.287,0.285,58.8,0,0,0
84.5,0.272,0.271,0.27,68.1,0,0,0
92.5,0.258,0.259,0.257,78.8,0,0,0
101,0.247,0.248,0.245,91.3,0,0,0
109,0.239,0.238,0.236,106,0,0,0
117,0.231,0.231,0.228,122,0,0,0
125,0.225,0.225,0.222,142,0,0,0
141,0.214,0.214,0.211,164,0,0,0
157,0.205,0.206,0.203,190,0,0,0
173,0.197,0.2,0.196,220,0,0,0
