X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PM_No1_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PM_No1_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PM_No1_230802 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PM_No1_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PM_No1_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PM_No1_230802 3
0.5,0.816,0.836,0.84,0.4,0,0,0
1,0.815,0.838,0.843,0.463,0,0,0
1.5,0.816,0.834,0.842,0.536,0,0,0
2,0.81,0.832,0.838,0.621,0,0,0
2.5,0.811,0.833,0.836,0.719,0,0,0
3,0.809,0.832,0.835,0.833,0,0,0
3.5,0.809,0.832,0.834,0.965,0,0,0
4,0.806,0.831,0.833,1.12,0,0,0
4.5,0.804,0.829,0.83,1.29,0,0,0
5.5,0.803,0.825,0.829,1.5,0,0,0
6.5,0.802,0.823,0.828,1.74,0,0,0
7.5,0.799,0.82,0.824,2.01,0,0,0
8.5,0.798,0.821,0.821,2.33,0,0,0
9.5,0.795,0.817,0.822,2.7,0,0,0
10.5,0.794,0.816,0.818,3.12,0,0,0
11.5,0.791,0.814,0.816,3.62,0,0,0
12.5,0.79,0.812,0.815,4.19,0,0,0
14.5,0.787,0.808,0.811,4.85,0,0,0
16.5,0.783,0.805,0.808,5.61,0,0,0
18.5,0.779,0.802,0.804,6.5,0,0,1.25
20.5,0.776,0.799,0.802,7.53,0,2.49,4.41
22.5,0.774,0.798,0.798,8.72,0,3.14,0
24.5,0.772,0.795,0.796,10.1,0,0,0
26.5,0.769,0.793,0.795,11.7,0,0,0
28.5,0.765,0.791,0.792,13.5,0,0,0
32.5,0.762,0.785,0.788,15.7,0,0,0
36.5,0.757,0.781,0.782,18.2,0,0,0
40.5,0.754,0.777,0.778,21,0,0,0
44.5,0.75,0.774,0.775,24.4,0,0,0
48.5,0.747,0.771,0.771,28.2,0,0,0
52.5,0.743,0.769,0.768,32.7,0,0,0
56.5,0.741,0.766,0.766,37.8,0,0,0
60.5,0.738,0.763,0.763,43.8,0,0,0
68.5,0.734,0.758,0.758,50.7,0,0,0
76.5,0.73,0.754,0.754,58.8,0,0,0
84.5,0.725,0.749,0.75,68.1,0,0,0
92.5,0.722,0.748,0.748,78.8,0,0,0
101,0.72,0.744,0.744,91.3,0,0,0
109,0.717,0.742,0.741,106,0,0,0
117,0.714,0.739,0.739,122,0,0,0
125,0.712,0.736,0.737,142,0,0,0
141,0.708,0.732,0.732,164,0,0,0
157,0.704,0.727,0.728,190,0,0,0
173,0.7,0.723,0.725,220,0,0,0
189,0.697,0.72,0.721,255,0,0,0
205,0.693,0.717,0.717,295,0,0,0
221,0.69,0.713,0.713,342,0,0,0
237,0.687,0.71,0.71,396,0,0,0
253,0.683,0.706,0.706,459,0,0,0
285,0.677,0.699,0.7,531,0,0,0
317,0.67,0.693,0.693,615,0,0,0
349,0.662,0.686,0.686,712,0,0,0
381,0.655,0.678,0.679,825,0,0.9,3.82
413,0.648,0.672,0.671,955,1.09,16.2,20.3
445,0.641,0.665,0.664,1.11E+03,13.7,29.6,31.5
477,0.635,0.658,0.657,1.28E+03,26.6,28.9,27
509,0.628,0.651,0.65,1.48E+03,29.4,15.9,11.8
573,0.614,0.637,0.635,1.72E+03,21,2.88,0
637,0.599,0.623,0.62,1.99E+03,8.19,0,0
701,0.584,0.608,0.605,2.30E+03,0,0,0
765,0.569,0.594,0.589,2.67E+03,0,0,0
829,0.555,0.579,0.574,3.09E+03,0,0,0
893,0.54,0.564,0.559,3.58E+03,0,0,0
957,0.525,0.55,0.543,4.15E+03,0,0,0
1.02E+03,0.511,0.536,0.528,4.80E+03,0,0,0
1.15E+03,0.483,0.508,0.498,5.56E+03,0,0,0
1.28E+03,0.455,0.481,0.47,6.44E+03,0,0,0
1.40E+03,0.43,0.456,0.443,7.46E+03,0,0,0
1.53E+03,0.405,0.433,0.417,8.63E+03,0,0,0
1.66E+03,0.383,0.411,0.394,,,,
1.79E+03,0.361,0.391,0.372,,,,
1.92E+03,0.342,0.372,0.352,,,,
2.04E+03,0.325,0.355,0.334,,,,
2.30E+03,0.294,0.324,0.303,,,,
2.56E+03,0.267,0.299,0.277,,,,
2.81E+03,0.246,0.278,0.255,,,,
3.07E+03,0.227,0.259,0.239,,,,
3.32E+03,0.211,0.243,0.225,,,,
3.58E+03,0.197,0.229,0.214,,,,
3.84E+03,0.183,0.218,0.203,,,,
4.09E+03,0.171,0.207,0.194,,,,
4.60E+03,0.149,0.187,0.179,,,,
