X Lag Time,Record 1: JJ1_10mg_400rpm_10-00min_PM_No3_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PM_No3_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PM_No3_230802 3,X Intensity,Record 1: JJ1_10mg_400rpm_10-00min_PM_No3_230802 1,Record 2: JJ1_10mg_400rpm_10-00min_PM_No3_230802 2,Record 3: JJ1_10mg_400rpm_10-00min_PM_No3_230802 3
0.5,0.845,0.849,0.831,0.4,0,0,0
1,0.843,0.844,0.828,0.463,0,0,0
1.5,0.837,0.837,0.816,0.536,0,0,0
2,0.83,0.827,0.811,0.621,0,0,0
2.5,0.819,0.819,0.805,0.719,0,0,0
3,0.814,0.814,0.798,0.833,0,0,0
3.5,0.808,0.808,0.79,0.965,0,0,0
4,0.804,0.801,0.785,1.12,0,0,0
4.5,0.794,0.794,0.777,1.29,0,0,0
5.5,0.783,0.782,0.763,1.5,0,0,0
6.5,0.772,0.771,0.752,1.74,0,0,0
7.5,0.76,0.758,0.74,2.01,0,0,0
8.5,0.749,0.747,0.728,2.33,0,0,0
9.5,0.738,0.736,0.716,2.7,0,0,0
10.5,0.727,0.728,0.707,3.12,0,0,0
11.5,0.718,0.718,0.697,3.62,0,0,0
12.5,0.708,0.708,0.688,4.19,0,0,0
14.5,0.69,0.689,0.668,4.85,0,0,0
16.5,0.673,0.672,0.65,5.61,0,0,0
18.5,0.657,0.655,0.635,6.5,0,0,0
20.5,0.642,0.64,0.618,7.53,0,0,0
22.5,0.627,0.624,0.603,8.72,0.534,0.357,0
24.5,0.614,0.612,0.59,10.1,3.27,3.08,3.37
26.5,0.602,0.598,0.578,11.7,6.81,6.83,8.88
28.5,0.589,0.586,0.564,13.5,9.04,9.2,11.6
32.5,0.567,0.564,0.542,15.7,8.72,8.65,9.08
36.5,0.547,0.544,0.522,18.2,6.06,5.47,3.55
40.5,0.53,0.526,0.503,21,2.59,1.77,0
44.5,0.514,0.511,0.487,24.4,0.251,0,0
48.5,0.499,0.496,0.472,28.2,0,0,0
52.5,0.486,0.483,0.458,32.7,0,0,0
56.5,0.474,0.471,0.447,37.8,0,0,0
60.5,0.464,0.461,0.437,43.8,0,0,0
68.5,0.445,0.442,0.419,50.7,0,0,0
76.5,0.43,0.426,0.403,58.8,0,0,0
84.5,0.417,0.414,0.391,68.1,0,0,0
92.5,0.406,0.403,0.38,78.8,0,0,0
101,0.397,0.395,0.371,91.3,0,0,0
109,0.39,0.386,0.364,106,0,0,0
117,0.383,0.38,0.358,122,0,0,0
125,0.378,0.374,0.353,142,0,0,0
141,0.368,0.364,0.344,164,0,0,0
157,0.361,0.356,0.336,190,0,0,0
173,0.353,0.35,0.329,220,0,0,0
189,0.348,0.344,0.323,255,0.157,0,0
205,0.343,0.338,0.319,295,0.438,0,0
221,0.338,0.334,0.316,342,0.799,0,0
237,0.334,0.331,0.312,396,1.27,0,0
253,0.331,0.328,0.308,459,1.94,0.146,1.46
285,0.324,0.321,0.303,531,2.86,1.79,4.44
317,0.318,0.315,0.295,615,4.01,4.55,7.77
349,0.313,0.309,0.288,712,5.26,7.46,10.2
381,0.307,0.303,0.282,825,6.38,9.59,11
413,0.301,0.297,0.275,955,7.13,10.4,10.1
445,0.296,0.291,0.269,1.11E+03,7.3,9.75,7.82
477,0.29,0.285,0.263,1.28E+03,6.8,7.98,5.01
509,0.285,0.28,0.255,1.48E+03,5.68,5.61,2.44
573,0.274,0.269,0.245,1.72E+03,4.16,3.24,0.7
637,0.264,0.258,0.236,1.99E+03,2.55,1.39,0
701,0.255,0.248,0.225,2.30E+03,1.19,0.326,0
765,0.246,0.238,0.215,2.67E+03,0.32,0,0
829,0.238,0.23,0.206,3.09E+03,0,0,0
893,0.23,0.221,0.195,3.58E+03,0,0,0
957,0.221,0.212,0.187,4.15E+03,0.453,0.244,0.228
