Lag Time [us], Corr. 1.1 [-], Corr 1.2 [-], Corr. 1.3 [-], Corr. 2.1 [-], Corr. 2.2 [-], Corr. 2.3 [-], ...
5.000000000000000000e-01,8.449999999999999734e-01,8.449999999999999734e-01,8.399999999999999689e-01,8.409999999999999698e-01,8.389999999999999680e-01,8.429999999999999716e-01,8.439999999999999725e-01,8.439999999999999725e-01,8.389999999999999680e-01
1.000000000000000000e+00,8.309999999999999609e-01,8.309999999999999609e-01,8.259999999999999565e-01,8.269999999999999574e-01,8.239999999999999547e-01,8.289999999999999591e-01,8.299999999999999600e-01,8.299999999999999600e-01,8.259999999999999565e-01
1.500000000000000000e+00,8.100000000000000533e-01,8.120000000000000551e-01,8.080000000000000515e-01,8.100000000000000533e-01,8.080000000000000515e-01,8.100000000000000533e-01,8.120000000000000551e-01,8.100000000000000533e-01,8.090000000000000524e-01
2.000000000000000000e+00,7.930000000000000382e-01,7.920000000000000373e-01,7.870000000000000329e-01,7.900000000000000355e-01,7.890000000000000346e-01,7.940000000000000391e-01,7.950000000000000400e-01,7.910000000000000364e-01,7.890000000000000346e-01
2.500000000000000000e+00,7.770000000000000240e-01,7.750000000000000222e-01,7.710000000000000187e-01,7.770000000000000240e-01,7.720000000000000195e-01,7.770000000000000240e-01,7.770000000000000240e-01,7.750000000000000222e-01,7.730000000000000204e-01
3.000000000000000000e+00,7.600000000000000089e-01,7.570000000000000062e-01,7.540000000000000036e-01,7.610000000000000098e-01,7.590000000000000080e-01,7.600000000000000089e-01,7.610000000000000098e-01,7.570000000000000062e-01,7.580000000000000071e-01
3.500000000000000000e+00,7.429999999999999938e-01,7.429999999999999938e-01,7.359999999999999876e-01,7.409999999999999920e-01,7.429999999999999938e-01,7.429999999999999938e-01,7.449999999999999956e-01,7.419999999999999929e-01,7.399999999999999911e-01
4.000000000000000000e+00,7.249999999999999778e-01,7.249999999999999778e-01,7.219999999999999751e-01,7.289999999999999813e-01,7.279999999999999805e-01,7.279999999999999805e-01,7.289999999999999813e-01,7.259999999999999787e-01,7.249999999999999778e-01
4.500000000000000000e+00,7.099999999999999645e-01,7.089999999999999636e-01,7.039999999999999591e-01,7.139999999999999680e-01,7.119999999999999662e-01,7.129999999999999671e-01,7.139999999999999680e-01,7.119999999999999662e-01,7.109999999999999654e-01
5.500000000000000000e+00,6.790000000000000480e-01,6.780000000000000471e-01,6.740000000000000435e-01,6.860000000000000542e-01,6.810000000000000497e-01,6.830000000000000515e-01,6.840000000000000524e-01,6.850000000000000533e-01,6.810000000000000497e-01
6.500000000000000000e+00,6.510000000000000231e-01,6.480000000000000204e-01,6.460000000000000187e-01,6.580000000000000293e-01,6.530000000000000249e-01,6.570000000000000284e-01,6.570000000000000284e-01,6.550000000000000266e-01,6.550000000000000266e-01
7.500000000000000000e+00,6.219999999999999973e-01,6.219999999999999973e-01,6.169999999999999929e-01,6.300000000000000044e-01,6.280000000000000027e-01,6.290000000000000036e-01,6.300000000000000044e-01,6.290000000000000036e-01,6.280000000000000027e-01
8.500000000000000000e+00,5.939999999999999725e-01,5.939999999999999725e-01,5.909999999999999698e-01,6.069999999999999840e-01,6.019999999999999796e-01,6.039999999999999813e-01,6.039999999999999813e-01,6.029999999999999805e-01,6.019999999999999796e-01
9.500000000000000000e+00,5.699999999999999512e-01,5.679999999999999494e-01,5.649999999999999467e-01,5.819999999999999618e-01,5.779999999999999583e-01,5.789999999999999591e-01,5.789999999999999591e-01,5.769999999999999574e-01,5.779999999999999583e-01
1.050000000000000000e+01,5.470000000000000417e-01,5.440000000000000391e-01,5.390000000000000346e-01,5.590000000000000524e-01,5.540000000000000480e-01,5.550000000000000488e-01,5.570000000000000506e-01,5.550000000000000488e-01,5.550000000000000488e-01
1.150000000000000000e+01,5.240000000000000213e-01,5.210000000000000187e-01,5.170000000000000151e-01,5.360000000000000320e-01,5.320000000000000284e-01,5.320000000000000284e-01,5.330000000000000293e-01,5.320000000000000284e-01,5.320000000000000284e-01
1.250000000000000000e+01,5.010000000000000009e-01,4.989999999999999991e-01,4.949999999999999956e-01,5.160000000000000142e-01,5.100000000000000089e-01,5.120000000000000107e-01,5.120000000000000107e-01,5.110000000000000098e-01,5.110000000000000098e-01
1.450000000000000000e+01,4.600000000000000200e-01,4.580000000000000182e-01,4.530000000000000138e-01,4.769999999999999796e-01,4.709999999999999742e-01,4.709999999999999742e-01,4.719999999999999751e-01,4.699999999999999734e-01,4.719999999999999751e-01
1.650000000000000000e+01,4.219999999999999862e-01,4.209999999999999853e-01,4.149999999999999800e-01,4.410000000000000031e-01,4.349999999999999978e-01,4.349999999999999978e-01,4.359999999999999987e-01,4.339999999999999969e-01,4.349999999999999978e-01
1.850000000000000000e+01,3.870000000000000107e-01,3.860000000000000098e-01,3.800000000000000044e-01,4.060000000000000275e-01,4.010000000000000231e-01,4.020000000000000240e-01,4.010000000000000231e-01,3.990000000000000213e-01,4.020000000000000240e-01
2.050000000000000000e+01,3.549999999999999822e-01,3.539999999999999813e-01,3.489999999999999769e-01,3.750000000000000000e-01,3.689999999999999947e-01,3.689999999999999947e-01,3.689999999999999947e-01,3.689999999999999947e-01,3.699999999999999956e-01
2.250000000000000000e+01,3.270000000000000129e-01,3.240000000000000102e-01,3.200000000000000067e-01,3.459999999999999742e-01,3.410000000000000253e-01,3.400000000000000244e-01,3.400000000000000244e-01,3.400000000000000244e-01,3.420000000000000262e-01
