Lag Time [us], Corr. 1.1 [-], Corr 1.2 [-], Corr. 1.3 [-], Corr. 2.1 [-], Corr. 2.2 [-], Corr. 2.3 [-], ...
5.000000000000000000e-01,7.770000000000000240e-01,7.820000000000000284e-01,7.730000000000000204e-01
1.000000000000000000e+00,7.489999999999999991e-01,7.530000000000000027e-01,7.489999999999999991e-01
1.500000000000000000e+00,7.229999999999999760e-01,7.259999999999999787e-01,7.199999999999999734e-01
2.000000000000000000e+00,6.969999999999999529e-01,6.989999999999999547e-01,6.959999999999999520e-01
2.500000000000000000e+00,6.750000000000000444e-01,6.770000000000000462e-01,6.700000000000000400e-01
3.000000000000000000e+00,6.530000000000000249e-01,6.560000000000000275e-01,6.490000000000000213e-01
3.500000000000000000e+00,6.330000000000000071e-01,6.350000000000000089e-01,6.300000000000000044e-01
4.000000000000000000e+00,6.149999999999999911e-01,6.169999999999999929e-01,6.109999999999999876e-01
4.500000000000000000e+00,5.959999999999999742e-01,5.989999999999999769e-01,5.919999999999999707e-01
5.500000000000000000e+00,5.629999999999999449e-01,5.649999999999999467e-01,5.580000000000000515e-01
6.500000000000000000e+00,5.320000000000000284e-01,5.340000000000000302e-01,5.280000000000000249e-01
7.500000000000000000e+00,5.050000000000000044e-01,5.040000000000000036e-01,5.000000000000000000e-01
8.500000000000000000e+00,4.779999999999999805e-01,4.789999999999999813e-01,4.729999999999999760e-01
9.500000000000000000e+00,4.560000000000000164e-01,4.550000000000000155e-01,4.490000000000000102e-01
1.050000000000000000e+01,4.319999999999999951e-01,4.319999999999999951e-01,4.259999999999999898e-01
1.150000000000000000e+01,4.099999999999999756e-01,4.089999999999999747e-01,4.030000000000000249e-01
1.250000000000000000e+01,3.900000000000000133e-01,3.890000000000000124e-01,3.840000000000000080e-01
1.450000000000000000e+01,3.529999999999999805e-01,3.529999999999999805e-01,3.479999999999999760e-01
1.650000000000000000e+01,3.180000000000000049e-01,3.190000000000000058e-01,3.140000000000000013e-01
1.850000000000000000e+01,2.889999999999999791e-01,2.889999999999999791e-01,2.839999999999999747e-01
2.050000000000000000e+01,2.610000000000000098e-01,2.610000000000000098e-01,2.570000000000000062e-01
2.250000000000000000e+01,2.389999999999999902e-01,2.359999999999999876e-01,2.320000000000000118e-01
2.450000000000000000e+01,2.159999999999999976e-01,2.149999999999999967e-01,2.099999999999999922e-01
2.650000000000000000e+01,1.950000000000000067e-01,1.940000000000000058e-01,1.890000000000000013e-01
2.850000000000000000e+01,1.779999999999999916e-01,1.769999999999999907e-01,1.719999999999999862e-01
3.250000000000000000e+01,1.459999999999999909e-01,1.449999999999999900e-01,1.409999999999999865e-01
3.650000000000000000e+01,1.219999999999999973e-01,1.209999999999999964e-01,1.160000000000000059e-01
4.050000000000000000e+01,9.969999999999999696e-02,9.979999999999999982e-02,9.619999999999999385e-02
4.450000000000000000e+01,8.309999999999999332e-02,8.210000000000000631e-02,7.920000000000000651e-02
4.850000000000000000e+01,6.900000000000000577e-02,6.769999999999999629e-02,6.519999999999999407e-02
5.250000000000000000e+01,5.659999999999999754e-02,5.569999999999999951e-02,5.410000000000000225e-02
5.650000000000000000e+01,4.800000000000000100e-02,4.580000000000000043e-02,4.420000000000000318e-02
6.050000000000000000e+01,3.969999999999999918e-02,3.880000000000000115e-02,3.710000000000000103e-02
6.850000000000000000e+01,2.809999999999999998e-02,2.649999999999999925e-02,2.570000000000000062e-02
7.650000000000000000e+01,2.019999999999999921e-02,1.779999999999999985e-02,1.959999999999999937e-02
8.450000000000000000e+01,1.420000000000000082e-02,1.290000000000000001e-02,1.430000000000000021e-02
9.250000000000000000e+01,1.050000000000000065e-02,9.440000000000000474e-03,1.110000000000000049e-02
1.010000000000000000e+02,7.459999999999999618e-03,6.989999999999999686e-03,8.139999999999999666e-03
1.090000000000000000e+02,4.760000000000000342e-03,4.950000000000000407e-03,5.479999999999999628e-03
1.170000000000000000e+02,2.569999999999999802e-03,3.729999999999999809e-03,4.570000000000000277e-03
1.250000000000000000e+02,1.990000000000000015e-03,3.380000000000000192e-03,3.059999999999999786e-03
1.410000000000000000e+02,1.180000000000000059e-03,1.610000000000000103e-03,1.680000000000000070e-03
1.570000000000000000e+02,5.659999999999999884e-04,1.010000000000000047e-03,1.469999999999999953e-03
1.730000000000000000e+02,1.030000000000000100e-03,1.330000000000000019e-03,1.529999999999999893e-03
1.890000000000000000e+02,1.229999999999999974e-03,9.799999999999999684e-04,1.569999999999999998e-03
2.050000000000000000e+02,8.599999999999999789e-04,1.090000000000000040e-03,1.190000000000000085e-03
2.210000000000000000e+02,8.350000000000000217e-04,1.389999999999999960e-03,1.520000000000000084e-03
2.370000000000000000e+02,1.209999999999999921e-03,8.559999999999999901e-04,1.209999999999999921e-03
2.530000000000000000e+02,6.440000000000000412e-04,7.649999999999999465e-04,4.369999999999999970e-04
2.850000000000000000e+02,8.220000000000000310e-04,4.350000000000000026e-04,4.730000000000000046e-04
3.170000000000000000e+02,4.290000000000000193e-04,8.440000000000000236e-04,3.350000000000000113e-04
3.490000000000000000e+02,3.930000000000000117e-04,3.629999999999999872e-04,7.659999999999999708e-04
3.810000000000000000e+02,8.520000000000000013e-04,1.289999999999999914e-03,6.549999999999999833e-04
4.130000000000000000e+02,6.960000000000000041e-04,8.720000000000000537e-04,1.010000000000000047e-03
4.450000000000000000e+02,1.080000000000000014e-03,5.100000000000000366e-04,8.999999999999999754e-04
4.770000000000000000e+02,1.020000000000000073e-03,5.890000000000000053e-04,1.449999999999999900e-03
