Lag Time [us], Corr. 1.1 [-], Corr 1.2 [-], Corr. 1.3 [-], Corr. 2.1 [-], Corr. 2.2 [-], Corr. 2.3 [-], ...
5.000000000000000000e-01,9.120000000000000329e-01,9.110000000000000320e-01,9.190000000000000391e-01
1.000000000000000000e+00,9.190000000000000391e-01,9.140000000000000346e-01,9.230000000000000426e-01
1.500000000000000000e+00,9.150000000000000355e-01,9.080000000000000293e-01,9.190000000000000391e-01
2.000000000000000000e+00,9.100000000000000311e-01,9.070000000000000284e-01,9.150000000000000355e-01
2.500000000000000000e+00,9.080000000000000293e-01,9.040000000000000258e-01,9.150000000000000355e-01
3.000000000000000000e+00,9.050000000000000266e-01,9.010000000000000231e-01,9.110000000000000320e-01
3.500000000000000000e+00,9.030000000000000249e-01,8.980000000000000204e-01,9.080000000000000293e-01
4.000000000000000000e+00,9.000000000000000222e-01,8.960000000000000187e-01,9.060000000000000275e-01
4.500000000000000000e+00,8.970000000000000195e-01,8.920000000000000151e-01,9.020000000000000240e-01
5.500000000000000000e+00,8.900000000000000133e-01,8.870000000000000107e-01,8.960000000000000187e-01
6.500000000000000000e+00,8.830000000000000071e-01,8.790000000000000036e-01,8.910000000000000142e-01
7.500000000000000000e+00,8.790000000000000036e-01,8.739999999999999991e-01,8.840000000000000080e-01
8.500000000000000000e+00,8.719999999999999973e-01,8.689999999999999947e-01,8.770000000000000018e-01
9.500000000000000000e+00,8.649999999999999911e-01,8.619999999999999885e-01,8.699999999999999956e-01
1.050000000000000000e+01,8.599999999999999867e-01,8.559999999999999831e-01,8.649999999999999911e-01
1.150000000000000000e+01,8.539999999999999813e-01,8.499999999999999778e-01,8.599999999999999867e-01
1.250000000000000000e+01,8.479999999999999760e-01,8.439999999999999725e-01,8.549999999999999822e-01
1.450000000000000000e+01,8.369999999999999662e-01,8.329999999999999627e-01,8.419999999999999707e-01
1.650000000000000000e+01,8.249999999999999556e-01,8.219999999999999529e-01,8.319999999999999618e-01
1.850000000000000000e+01,8.139999999999999458e-01,8.110000000000000542e-01,8.199999999999999512e-01
2.050000000000000000e+01,8.030000000000000471e-01,7.990000000000000435e-01,8.090000000000000524e-01
2.250000000000000000e+01,7.930000000000000382e-01,7.870000000000000329e-01,7.980000000000000426e-01
2.450000000000000000e+01,7.810000000000000275e-01,7.770000000000000240e-01,7.860000000000000320e-01
2.650000000000000000e+01,7.700000000000000178e-01,7.670000000000000151e-01,7.760000000000000231e-01
2.850000000000000000e+01,7.600000000000000089e-01,7.560000000000000053e-01,7.650000000000000133e-01
3.250000000000000000e+01,7.389999999999999902e-01,7.359999999999999876e-01,7.449999999999999956e-01
3.650000000000000000e+01,7.189999999999999725e-01,7.159999999999999698e-01,7.239999999999999769e-01
4.050000000000000000e+01,6.999999999999999556e-01,6.959999999999999520e-01,7.049999999999999600e-01
4.450000000000000000e+01,6.810000000000000497e-01,6.770000000000000462e-01,6.860000000000000542e-01
4.850000000000000000e+01,6.620000000000000329e-01,6.580000000000000293e-01,6.670000000000000373e-01
5.250000000000000000e+01,6.450000000000000178e-01,6.410000000000000142e-01,6.490000000000000213e-01
5.650000000000000000e+01,6.270000000000000018e-01,6.239999999999999991e-01,6.310000000000000053e-01
6.050000000000000000e+01,6.099999999999999867e-01,6.059999999999999831e-01,6.139999999999999902e-01
6.850000000000000000e+01,5.769999999999999574e-01,5.739999999999999547e-01,5.829999999999999627e-01
7.650000000000000000e+01,5.460000000000000409e-01,5.430000000000000382e-01,5.510000000000000453e-01
8.450000000000000000e+01,5.170000000000000151e-01,5.140000000000000124e-01,5.220000000000000195e-01
9.250000000000000000e+01,4.889999999999999902e-01,4.869999999999999885e-01,4.949999999999999956e-01
1.010000000000000000e+02,4.630000000000000226e-01,4.610000000000000209e-01,4.689999999999999725e-01
1.090000000000000000e+02,4.380000000000000004e-01,4.359999999999999987e-01,4.440000000000000058e-01
1.170000000000000000e+02,4.139999999999999791e-01,4.129999999999999782e-01,4.199999999999999845e-01
1.250000000000000000e+02,3.920000000000000151e-01,3.910000000000000142e-01,3.980000000000000204e-01
1.410000000000000000e+02,3.509999999999999787e-01,3.509999999999999787e-01,3.559999999999999831e-01
1.570000000000000000e+02,3.150000000000000022e-01,3.160000000000000031e-01,3.190000000000000058e-01
1.730000000000000000e+02,2.819999999999999729e-01,2.829999999999999738e-01,2.869999999999999774e-01
1.890000000000000000e+02,2.530000000000000027e-01,2.540000000000000036e-01,2.570000000000000062e-01
2.050000000000000000e+02,2.270000000000000073e-01,2.280000000000000082e-01,2.310000000000000109e-01
2.210000000000000000e+02,2.039999999999999869e-01,2.049999999999999878e-01,2.069999999999999896e-01
2.370000000000000000e+02,1.839999999999999969e-01,1.839999999999999969e-01,1.849999999999999978e-01
2.530000000000000000e+02,1.650000000000000078e-01,1.660000000000000087e-01,1.670000000000000095e-01
2.850000000000000000e+02,1.340000000000000080e-01,1.340000000000000080e-01,1.340000000000000080e-01
3.170000000000000000e+02,1.089999999999999997e-01,1.069999999999999979e-01,1.079999999999999988e-01
3.490000000000000000e+02,8.840000000000000635e-02,8.640000000000000457e-02,8.719999999999999973e-02
3.810000000000000000e+02,7.180000000000000271e-02,6.940000000000000335e-02,7.080000000000000182e-02
4.130000000000000000e+02,5.800000000000000294e-02,5.569999999999999951e-02,5.720000000000000084e-02
4.450000000000000000e+02,4.700000000000000011e-02,4.519999999999999712e-02,4.680000000000000132e-02
4.770000000000000000e+02,3.810000000000000192e-02,3.649999999999999772e-02,3.799999999999999906e-02
