Lag Time [us], Corr. 1.1 [-], Corr 1.2 [-], Corr. 1.3 [-], Corr. 2.1 [-], Corr. 2.2 [-], Corr. 2.3 [-], ...
5.000000000000000000e-01,7.349999999999999867e-01,7.319999999999999840e-01,7.550000000000000044e-01,7.880000000000000338e-01,7.830000000000000293e-01,7.880000000000000338e-01,7.860000000000000320e-01,7.780000000000000249e-01,7.780000000000000249e-01
1.000000000000000000e+00,7.129999999999999671e-01,7.069999999999999618e-01,7.269999999999999796e-01,7.670000000000000151e-01,7.610000000000000098e-01,7.670000000000000151e-01,7.620000000000000107e-01,7.459999999999999964e-01,7.540000000000000036e-01
1.500000000000000000e+00,6.790000000000000480e-01,6.879999999999999449e-01,7.009999999999999565e-01,7.429999999999999938e-01,7.389999999999999902e-01,7.439999999999999947e-01,7.299999999999999822e-01,7.239999999999999769e-01,7.269999999999999796e-01
2.000000000000000000e+00,6.490000000000000213e-01,6.560000000000000275e-01,6.770000000000000462e-01,7.249999999999999778e-01,7.199999999999999734e-01,7.239999999999999769e-01,7.199999999999999734e-01,7.049999999999999600e-01,7.089999999999999636e-01
2.500000000000000000e+00,6.370000000000000107e-01,6.380000000000000115e-01,6.660000000000000364e-01,7.079999999999999627e-01,7.079999999999999627e-01,7.079999999999999627e-01,6.929999999999999494e-01,6.870000000000000551e-01,6.850000000000000533e-01
3.000000000000000000e+00,6.199999999999999956e-01,6.260000000000000009e-01,6.360000000000000098e-01,6.949999999999999512e-01,6.860000000000000542e-01,6.929999999999999494e-01,6.760000000000000453e-01,6.650000000000000355e-01,6.710000000000000409e-01
3.500000000000000000e+00,5.999999999999999778e-01,5.989999999999999769e-01,6.199999999999999956e-01,6.790000000000000480e-01,6.710000000000000409e-01,6.740000000000000435e-01,6.610000000000000320e-01,6.490000000000000213e-01,6.510000000000000231e-01
4.000000000000000000e+00,5.819999999999999618e-01,5.839999999999999636e-01,6.069999999999999840e-01,6.640000000000000346e-01,6.510000000000000231e-01,6.610000000000000320e-01,6.420000000000000151e-01,6.380000000000000115e-01,6.350000000000000089e-01
4.500000000000000000e+00,5.639999999999999458e-01,5.719999999999999529e-01,5.899999999999999689e-01,6.500000000000000222e-01,6.440000000000000169e-01,6.430000000000000160e-01,6.239999999999999991e-01,6.169999999999999929e-01,6.219999999999999973e-01
5.500000000000000000e+00,5.400000000000000355e-01,5.410000000000000364e-01,5.600000000000000533e-01,6.229999999999999982e-01,6.189999999999999947e-01,6.199999999999999956e-01,5.969999999999999751e-01,5.879999999999999671e-01,5.899999999999999689e-01
6.500000000000000000e+00,5.130000000000000115e-01,5.140000000000000124e-01,5.310000000000000275e-01,6.019999999999999796e-01,5.909999999999999698e-01,5.929999999999999716e-01,5.669999999999999485e-01,5.679999999999999494e-01,5.719999999999999529e-01
7.500000000000000000e+00,4.889999999999999902e-01,4.909999999999999920e-01,5.080000000000000071e-01,5.799999999999999600e-01,5.709999999999999520e-01,5.719999999999999529e-01,5.450000000000000400e-01,5.460000000000000409e-01,5.410000000000000364e-01
8.500000000000000000e+00,4.650000000000000244e-01,4.640000000000000235e-01,4.839999999999999858e-01,5.590000000000000524e-01,5.510000000000000453e-01,5.490000000000000435e-01,5.230000000000000204e-01,5.240000000000000213e-01,5.150000000000000133e-01
9.500000000000000000e+00,4.420000000000000040e-01,4.440000000000000058e-01,4.640000000000000235e-01,5.450000000000000400e-01,5.310000000000000275e-01,5.330000000000000293e-01,5.020000000000000018e-01,5.050000000000000044e-01,4.979999999999999982e-01
1.050000000000000000e+01,4.239999999999999880e-01,4.209999999999999853e-01,4.430000000000000049e-01,5.230000000000000204e-01,5.110000000000000098e-01,5.150000000000000133e-01,4.829999999999999849e-01,4.869999999999999885e-01,4.779999999999999805e-01
1.150000000000000000e+01,4.030000000000000249e-01,4.050000000000000266e-01,4.239999999999999880e-01,5.060000000000000053e-01,4.919999999999999929e-01,4.979999999999999982e-01,4.660000000000000253e-01,4.650000000000000244e-01,4.610000000000000209e-01
1.250000000000000000e+01,3.870000000000000107e-01,3.880000000000000115e-01,4.069999999999999729e-01,4.879999999999999893e-01,4.769999999999999796e-01,4.789999999999999813e-01,4.460000000000000075e-01,4.480000000000000093e-01,4.420000000000000040e-01
1.450000000000000000e+01,3.529999999999999805e-01,3.579999999999999849e-01,3.719999999999999973e-01,4.590000000000000191e-01,4.480000000000000093e-01,4.490000000000000102e-01,4.099999999999999756e-01,4.199999999999999845e-01,4.089999999999999747e-01
1.650000000000000000e+01,3.200000000000000067e-01,3.260000000000000120e-01,3.439999999999999725e-01,4.319999999999999951e-01,4.179999999999999827e-01,4.179999999999999827e-01,3.780000000000000027e-01,3.890000000000000124e-01,3.790000000000000036e-01
1.850000000000000000e+01,2.929999999999999827e-01,2.979999999999999871e-01,3.150000000000000022e-01,4.040000000000000258e-01,3.910000000000000142e-01,3.930000000000000160e-01,3.519999999999999796e-01,3.629999999999999893e-01,3.499999999999999778e-01
2.050000000000000000e+01,2.690000000000000169e-01,2.750000000000000222e-01,2.899999999999999800e-01,3.810000000000000053e-01,3.689999999999999947e-01,3.699999999999999956e-01,3.250000000000000111e-01,3.380000000000000226e-01,3.240000000000000102e-01
2.250000000000000000e+01,2.459999999999999964e-01,2.560000000000000053e-01,2.670000000000000151e-01,3.569999999999999840e-01,3.449999999999999734e-01,3.479999999999999760e-01,2.999999999999999889e-01,3.200000000000000067e-01,3.009999999999999898e-01
