T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
25.55786	3074.291	18.27342	-44.31104	0.5166359
25.61181	3071.882	18.11238	-44.27374	0.5179124
25.66576	3069.474	17.92842	-44.23584	0.5186838
25.71971	3067.073	17.72458	-44.19744	0.5192357
25.77366	3064.678	17.50466	-44.15863	0.5197679
25.82762	3062.285	17.2745	-44.11951	0.5203912
25.88157	3059.89	17.03995	-44.08018	0.5211285
25.93552	3057.488	16.80323	-44.04074	0.5219132
25.98947	3055.076	16.56265	-44.00128	0.5226187
26.04342	3052.659	16.31517	-43.96188	0.5230646
26.09737	3050.243	16.06078	-43.92264	0.5230472
26.15133	3047.834	15.8006	-43.88363	0.5223624
26.20528	3045.44	15.5379	-43.84495	0.5208365
26.25923	3043.062	15.28085	-43.80666	0.5183216
26.31318	3040.699	15.04138	-43.76878	0.5147282
26.36713	3038.355	14.83049	-43.73133	0.5100118
26.42108	3036.032	14.65558	-43.69431	0.5041816
26.47503	3033.733	14.51941	-43.65773	0.4972962
26.52899	3031.456	14.4214	-43.62159	0.4894371
26.58294	3029.196	14.35802	-43.5859	0.4806736
26.63689	3026.949	14.32547	-43.55063	0.4710509
26.69084	3024.71	14.32125	-43.51581	0.4605814
26.74479	3022.47	14.34591	-43.48144	0.449228
26.79875	3020.228	14.40153	-43.44754	0.4369177
26.8527	3017.982	14.48592	-43.41414	0.4235639
26.90665	3015.738	14.59452	-43.38126	0.4090692
26.9606	3013.497	14.7247	-43.34893	0.3933532
27.01455	3011.256	14.87491	-43.31716	0.3763606
27.0685	3009.011	15.04567	-43.286	0.358084
27.12246	3006.758	15.2403	-43.25546	0.338574
27.17641	3004.497	15.45992	-43.22562	0.3179549
27.23036	3002.229	15.70233	-43.19657	0.2964408
27.28431	2999.955	15.95948	-43.16838	0.2743571
27.33826	2997.676	16.22094	-43.14117	0.2521651
27.39221	2995.391	16.47914	-43.11504	0.2305146
27.44617	2993.1	16.72696	-43.09008	0.2102896
27.50012	2990.801	16.95744	-43.06639	0.1926313
27.55407	2988.487	17.16972	-43.04404	0.1789164
27.60802	2986.154	17.36575	-43.02311	0.1705461
27.66197	2983.801	17.54618	-43.00366	0.1685731
27.71592	2981.429	17.70865	-42.98577	0.1732422
27.76987	2979.043	17.85071	-42.96949	0.1839201
27.82383	2976.65	17.97236	-42.95486	0.1994322
27.87778	2974.254	18.07602	-42.94185	0.2184983
27.93173	2971.86	18.1624	-42.93045	0.2400519
27.98568	2969.471	18.23001	-42.92059	0.2633144
28.03963	2967.087	18.27742	-42.91216	0.2877562
28.09358	2964.706	18.30177	-42.90506	0.3130425
28.14754	2962.33	18.30003	-42.89915	0.3389518
28.20149	2959.957	18.27301	-42.89431	0.3653488
28.25544	2957.587	18.22504	-42.8904	0.392123
28.30939	2955.22	18.16413	-42.88725	0.4191714
28.36334	2952.856	18.098	-42.88469	0.446355
28.41729	2950.496	18.032	-42.88254	0.4734957
28.47125	2948.139	17.96633	-42.88065	0.5003667
28.5252	2945.783	17.89499	-42.87885	0.5266951
28.57915	2943.432	17.81385	-42.877	0.5521843
28.6331	2941.09	17.72442	-42.87496	0.5765524
28.68705	2938.76	17.62996	-42.87262	0.5995265
28.741	2936.442	17.53257	-42.86989	0.6208687
28.79496	2934.137	17.4331	-42.86668	0.6403739
