T[°C]	Scattering [mAU]	S.D.
30.82207	88.98553	0.2797315
30.87618	89.14536	0.4594574
30.93029	88.96505	0.3804747
30.9844	89.00799	0.5679808
31.0385	88.93674	0.3091112
31.09261	88.95228	0.3987747
31.14672	88.84744	0.5092044
31.20083	88.91003	0.5561089
31.25493	88.94915	0.6345503
31.30904	88.89166	0.9150205
31.36315	89.05222	0.6717568
31.41726	88.94032	0.7889578
31.47136	88.97034	0.6483326
31.52547	88.94303	0.5135741
31.57958	89.02217	0.6036038
31.63369	88.92307	0.3047507
31.68779	88.91264	0.5601687
31.7419	88.97759	0.3410296
31.79601	88.84392	0.4314704
31.85012	88.86497	0.5660145
31.90422	88.57607	0.6802958
31.95833	88.68481	0.538606
32.01244	88.86386	0.4352018
32.06655	88.88342	0.4284311
32.12066	88.87504	0.4522831
32.17476	88.91348	0.4533728
32.22887	88.72421	0.6166309
32.28298	88.70518	0.609396
32.33709	88.82604	0.4482589
32.39119	88.74578	0.5282285
32.4453	88.89642	0.6279542
32.49941	88.95283	0.5233361
32.55352	88.9177	0.4597545
32.60762	88.95766	0.4328929
32.66173	88.71281	0.4210629
32.71584	88.8003	0.4625107
32.76995	89.04829	0.3913144
32.82405	89.01275	0.3207253
32.87816	89.02084	0.2620278
32.93227	88.88216	0.3103085
32.98638	88.67597	0.285041
33.04049	88.75235	0.3496634
33.09459	88.72006	0.2032855
33.1487	88.82026	0.4633604
33.20281	88.8868	0.4730313
33.25692	88.62514	0.3993905
33.31102	88.73768	0.3842564
33.36513	88.5342	0.2325098
33.41924	88.7113	0.1286915
33.47335	88.79295	0.3220879
33.52745	88.68015	0.3327205
33.58156	88.91797	0.4366706
33.63567	88.79692	0.3963054
33.68978	88.75818	0.1680807
33.74389	88.89584	0.3127153
33.79799	88.98173	0.1496657
33.8521	88.99834	0.1610263
33.90621	88.89201	0.2727192
33.96032	88.8884	0.3218158
34.01442	88.94147	0.495924
34.06853	88.85019	0.5004973
34.12263	88.81363	0.5147074
34.17674	88.79265	0.6304771
34.23085	88.76259	0.5085946
34.28496	88.80027	0.6371967
34.33907	88.93518	0.6796181
34.39317	88.89798	0.7161299
34.44728	88.68507	0.5940775
34.50139	88.71179	0.4928362
34.5555	88.62459	0.6887046
34.6096	88.67226	0.5538329
34.66371	89.0101	0.5261933
34.71782	88.87328	0.6626026
34.77193	88.92274	0.4904526
34.82603	88.87539	0.6609034
34.88014	88.82922	0.4759555
34.93425	88.7651	0.3359971
34.98836	88.77604	0.5504549
35.04247	88.7077	0.2631823
35.09657	88.79343	0.4349996
35.15068	88.77537	0.4081768
35.20479	88.53989	0.5911864
35.2589	88.69418	0.7238395
35.313	88.49159	0.7530746
35.36711	88.56447	0.6895217
35.42122	88.61845	0.8458261
35.47533	88.60147	0.7624187
35.52943	88.91454	0.7344278
35.58354	88.81357	0.6015432
35.63765	88.60587	0.668196
35.69176	88.63125	0.559086
35.74586	88.49034	0.7761523
35.79997	88.68144	0.7948721
35.85408	88.91849	0.6164334
35.90819	88.78999	0.6201539
35.9623	88.67195	0.4514339
36.0164	88.64191	0.5299188
36.07051	88.39162	0.680778
36.12462	88.47316	0.4290498
36.17873	88.52785	0.5063186
36.23283	88.59124	0.4037406
36.28694	88.62149	0.3850701
36.34105	88.59734	0.3882024
36.39516	88.50332	0.3045565
36.44926	88.45564	0.4097854
36.50337	88.48805	0.5493554
36.55748	88.4377	0.4295729
36.61159	88.54465	0.3539381
36.6657	88.6064	0.3050906
36.7198	88.5438	0.3294095
36.77391	88.58504	0.2432334
36.82802	88.55811	0.2262417
36.88213	88.62802	0.2198343
36.93623	88.72882	0.1493357
36.99034	88.63966	0.09146702
