T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
25.68185	4341.498	54.84037	-61.36769	1.134979
25.73596	4338.173	54.91115	-61.33724	1.158862
25.79007	4334.845	54.95319	-61.30852	1.184103
25.84417	4331.506	54.94948	-61.28148	1.210762
25.89828	4328.154	54.89458	-61.25602	1.23887
25.95239	4324.791	54.79552	-61.23193	1.268433
26.0065	4321.429	54.67051	-61.20899	1.299441
26.0606	4318.08	54.53693	-61.18694	1.331858
26.11471	4314.756	54.40884	-61.16553	1.36561
26.16882	4311.461	54.29695	-61.14449	1.400598
26.22293	4308.196	54.20781	-61.12357	1.436677
26.27703	4304.959	54.14435	-61.10254	1.473656
26.33114	4301.749	54.10745	-61.0812	1.511294
26.38525	4298.556	54.102	-61.05941	1.549302
26.43936	4295.374	54.131	-61.03709	1.587372
26.49346	4292.195	54.19251	-61.0142	1.625168
26.54757	4289.014	54.2779	-60.99068	1.662333
26.60168	4285.83	54.37771	-60.96651	1.698492
26.65579	4282.64	54.48031	-60.94164	1.733262
26.70989	4279.439	54.57325	-60.916	1.766245
26.764	4276.222	54.6438	-60.88958	1.797056
26.81811	4272.983	54.68681	-60.86234	1.825321
26.87222	4269.718	54.6966	-60.83431	1.850711
26.92632	4266.423	54.66811	-60.80556	1.872961
26.98043	4263.102	54.59754	-60.77618	1.891858
27.03454	4259.757	54.48366	-60.74628	1.907246
27.08865	4256.398	54.33125	-60.71596	1.91899
27.14276	4253.036	54.14699	-60.68535	1.926986
27.19686	4249.673	53.93373	-60.65455	1.931175
27.25097	4246.305	53.69176	-60.62363	1.93152
27.30508	4242.923	53.42267	-60.59264	1.928026
27.35919	4239.524	53.13352	-60.56159	1.920743
27.41329	4236.104	52.83775	-60.53045	1.909783
27.4674	4232.67	52.54328	-60.49917	1.895311
27.52151	4229.228	52.25489	-60.46769	1.877536
27.57562	4225.788	51.97698	-60.43592	1.856682
27.62972	4222.362	51.71292	-60.40382	1.83297
27.68383	4218.963	51.46407	-60.37128	1.806608
27.73794	4215.597	51.22656	-60.33826	1.777775
27.79205	4212.263	50.99131	-60.30463	1.746638
27.84616	4208.959	50.74967	-60.2703	1.713342
27.90026	4205.682	50.497	-60.23512	1.678041
27.95437	4202.428	50.23005	-60.19898	1.640893
28.00848	4199.205	49.94802	-60.16177	1.602064
28.06258	4196.015	49.65589	-60.12344	1.561722
28.11669	4192.855	49.36565	-60.08393	1.520021
28.1708	4189.712	49.09337	-60.04317	1.477105
28.22491	4186.57	48.85107	-60.00113	1.433108
28.27901	4183.422	48.64977	-59.95773	1.388128
28.33312	4180.268	48.5028	-59.91295	1.342238
28.38723	4177.114	48.4234	-59.86678	1.295483
28.44134	4173.963	48.41632	-59.81924	1.247903
28.49545	4170.817	48.4755	-59.77037	1.199561
28.54955	4167.671	48.58522	-59.72025	1.15056
28.60366	4164.517	48.7214	-59.669	1.10104
28.65777	4161.349	48.86094	-59.61678	1.051208
28.71188	4158.167	48.98452	-59.56377	1.001336
28.76598	4154.974	49.08531	-59.51017	0.9517941
28.82009	4151.768	49.16668	-59.45626	0.9030496
28.8742	4148.545	49.23708	-59.40231	0.8556814
28.92831	4145.298	49.30595	-59.34865	0.8103665
28.98241	4142.025	49.38165	-59.29559	0.7678439
29.03652	4138.729	49.46769	-59.24346	0.7288494
29.09063	4135.424	49.56942	-59.19253	0.6940503
29.14474	4132.123	49.68773	-59.14307	0.6639679
29.19884	4128.836	49.81858	-59.09528	0.6388991
29.25295	4125.569	49.94916	-59.04932	0.6188742
29.30706	4122.324	50.07106	-59.00529	0.6036286
29.36117	4119.1	50.17973	-58.96321	0.5926355
29.41528	4115.89	50.26972	-58.92308	0.585134
29.46938	4112.689	50.33083	-58.88482	0.5802336
29.52349	4109.496	50.36166	-58.84833	0.5769966
29.5776	4106.31	50.36948	-58.81343	0.5745586
29.63171	4103.136	50.36005	-58.77994	0.5721862
29.68581	4099.98	50.33643	-58.7476	0.5693116
29.73992	4096.844	50.29581	-58.71617	0.5655457
29.79403	4093.728	50.23644	-58.6854	0.5606786
29.84813	4090.63	50.16026	-58.65504	0.5546558
29.90224	4087.542	50.07396	-58.6249	0.5475755
29.95635	4084.463	49.9881	-58.5948	0.539637
30.01046	4081.389	49.91718	-58.56461	0.5311594
30.06457	4078.326	49.87651	-58.53422	0.5225467
30.11867	4075.277	49.87889	-58.50355	0.5142784
30.17278	4072.24	49.92899	-58.47252	0.506892
30.22689	4069.203	50.02061	-58.44104	0.5009601
30.281	4066.154	50.14168	-58.40903	0.4970469
30.3351	4063.081	50.27974	-58.37642	0.4956653
30.38921	4059.979	50.42588	-58.34309	0.4972098
30.44332	4056.845	50.57765	-58.30898	0.5019181
30.49743	4053.681	50.73292	-58.27407	0.5098544
30.55153	4050.485	50.88867	-58.23836	0.52088
30.60564	4047.259	51.0384	-58.20186	0.5346697
30.65975	4044.012	51.16896	-58.16464	0.5507383
30.71386	4040.757	51.26738	-58.12676	0.5685229
30.76797	4037.509	51.32342	-58.08833	0.5874221
30.82207	4034.279	51.3378	-58.04945	0.6068317
30.87618	4031.067	51.31712	-58.0103	0.6261982
30.93029	4027.87	51.2712	-57.97105	0.6450398
30.9844	4024.686	51.20403	-57.93188	0.6629533
31.0385	4021.512	51.11491	-57.89301	0.6796517
31.09261	4018.345	51.00165	-57.85462	0.69494
31.14672	4015.179	50.86793	-57.8169	0.7087198
31.20083	4012.007	50.71439	-57.78004	0.7209721
31.25493	4008.824	50.54016	-57.74417	0.7317545
31.30904	4005.634	50.34698	-57.70943	0.7411909
31.36315	4002.439	50.13607	-57.67587	0.7494252
31.41726	3999.244	49.9011	-57.64351	0.7566147
31.47136	3996.058	49.63583	-57.61227	0.7628717
