X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No1_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No1_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No1_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No1_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No1_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No1_230918 3
0.5,0.919,0.926,0.927,0.4,0,0,0
1,0.924,0.929,0.934,0.463,0,0,0
1.5,0.922,0.928,0.929,0.536,0,0,0
2,0.92,0.924,0.928,0.621,0,0,0
2.5,0.918,0.925,0.925,0.719,0,0,0
3,0.914,0.919,0.924,0.833,0,0,0
3.5,0.915,0.916,0.92,0.965,0,0,0
4,0.909,0.915,0.918,1.12,0,0,0
4.5,0.906,0.912,0.916,1.29,0,0,0
5.5,0.903,0.909,0.912,1.5,0,0,0
6.5,0.899,0.904,0.907,1.74,0,0,0
7.5,0.894,0.899,0.902,2.01,0,0,0
8.5,0.89,0.893,0.896,2.33,0,0,0
9.5,0.884,0.889,0.89,2.7,0,0,0
10.5,0.879,0.886,0.888,3.12,0,0,0
11.5,0.874,0.881,0.883,3.62,0,0,0
12.5,0.87,0.875,0.879,4.19,0,0,0
14.5,0.861,0.866,0.871,4.85,0,0,0
16.5,0.851,0.857,0.859,5.61,0,0,0
18.5,0.844,0.848,0.851,6.5,0,0,0
20.5,0.835,0.839,0.842,7.53,0,0,0
22.5,0.826,0.831,0.834,8.72,0,0,0
24.5,0.817,0.822,0.826,10.1,0,0,0
26.5,0.809,0.813,0.817,11.7,0,0,0
28.5,0.8,0.804,0.808,13.5,0,0,0
32.5,0.783,0.788,0.792,15.7,0,0,0
36.5,0.766,0.771,0.775,18.2,0,0,0
40.5,0.752,0.755,0.759,21,0,0,0
44.5,0.736,0.739,0.743,24.4,0,0,0
48.5,0.721,0.724,0.728,28.2,0,0,0
52.5,0.705,0.71,0.713,32.7,0,0,0
56.5,0.692,0.694,0.699,37.8,0,0,0
60.5,0.678,0.68,0.685,43.8,0.192,0,0
68.5,0.65,0.652,0.657,50.7,0.983,0.39,0.554
76.5,0.623,0.626,0.631,58.8,2.45,1.76,2.07
84.5,0.599,0.601,0.606,68.1,4.43,3.96,4.25
92.5,0.575,0.577,0.582,78.8,6.63,6.56,6.63
101,0.552,0.554,0.559,91.3,8.72,9.09,8.8
109,0.53,0.531,0.536,106,10.4,11.1,10.5
117,0.509,0.51,0.516,122,11.4,12.4,11.5
125,0.489,0.49,0.496,142,11.6,12.7,11.7
141,0.453,0.452,0.458,164,11,12,11.2
157,0.419,0.418,0.424,190,9.77,10.5,10
173,0.387,0.386,0.392,220,8.06,8.27,8.34
189,0.359,0.356,0.363,255,6.11,5.79,6.33
205,0.332,0.33,0.336,295,4.18,3.42,4.28
221,0.308,0.305,0.312,342,2.49,1.54,2.45
237,0.286,0.283,0.289,396,1.21,0.397,1.07
253,0.266,0.262,0.269,459,0.398,0,0.266
285,0.229,0.226,0.232,531,0.0439,0,0
317,0.198,0.194,0.201,615,0,0,0
349,0.172,0.167,0.174,712,0,0,0
381,0.149,0.144,0.151,825,0,0,0
413,0.13,0.125,0.132,955,0,0,0
445,0.113,0.109,0.114,1.11E+03,0,0,0
477,0.0987,0.0934,0.0997,1.28E+03,0,0,0
509,0.0869,0.0811,0.0874,1.48E+03,0,0,0
573,0.0666,0.0606,0.0659,1.72E+03,0,0,0
637,0.0525,0.046,0.0502,1.99E+03,0,0,0
701,0.0417,0.0345,0.0385,2.30E+03,0,0,0
765,0.0335,0.0255,0.0294,2.67E+03,0,0,0
829,0.0264,0.0189,0.0224,3.09E+03,0,0,0
893,0.0217,0.0139,0.017,3.58E+03,0,0,0
957,0.0185,0.00987,0.013,4.15E+03,0,0,0
1.02E+03,0.0162,0.00672,0.0106,4.80E+03,0,0,0
1.15E+03,0.0118,0.00332,0.00726,5.56E+03,0,0,0
1.28E+03,0.0079,0.00259,0.0048,6.44E+03,0,0,0
1.40E+03,0.00589,0.00231,0.00334,7.46E+03,0,0,0
1.53E+03,0.00377,0.00263,0.00272,8.63E+03,0,0,0
1.66E+03,0.00241,0.00237,0.0027,,,,
1.79E+03,0.00299,0.00159,0.00313,,,,
1.92E+03,0.00272,0.000928,0.00293,,,,
2.04E+03,0.00274,0.000522,0.00313,,,,
2.30E+03,0.000919,0.000796,0.00301,,,,
2.56E+03,0.000481,0.000837,0.00256,,,,
2.81E+03,7.74E-05,0.000335,0.00282,,,,
3.07E+03,0.000719,0,0.00196,,,,
3.32E+03,0.00132,0.000139,0.000822,,,,
3.58E+03,0.00117,0.000788,0.000581,,,,
3.84E+03,0.00207,0.00239,0.00102,,,,
4.09E+03,0.0019,0.00233,0.0028,,,,
4.60E+03,0.000117,0.00132,0.00397,,,,
5.12E+03,0.00111,0.00135,0.00451,,,,
5.63E+03,0.000972,0.00108,0.00165,,,,
6.14E+03,0.000634,0.000223,0.00155,,,,
6.65E+03,0.00125,0.000655,0.000414,,,,
7.16E+03,0.000629,0.00184,0.000693,,,,
7.68E+03,0.00137,0.00272,0.000604,,,,
8.19E+03,0.00155,0.00295,0.000777,,,,
9.21E+03,0.00173,0.00213,0.000967,,,,
1.02E+04,0.00211,0.00157,0.00133,,,,
1.13E+04,0.000636,0.00115,0.00127,,,,
1.23E+04,0.00108,0.000933,0.0018,,,,
1.33E+04,0.000655,0.00056,0.000259,,,,
1.43E+04,0.0014,0.00141,0.0019,,,,
1.54E+04,0.000684,0.00239,0.00191,,,,
1.64E+04,0.000712,0.000718,0.000598,,,,
1.84E+04,0.00056,0.00121,0.00108,,,,
2.05E+04,0.00178,0.000714,0.00116,,,,
2.25E+04,0.000458,0.00224,0.000876,,,,
2.46E+04,0.00108,0.00183,0.00116,,,,
2.66E+04,0.000278,0.00052,0.00186,,,,
2.87E+04,0.000252,0.000727,0.00122,,,,
3.07E+04,0.00083,0.00131,0.00182,,,,
3.28E+04,0.000233,0.00109,0.000332,,,,
3.69E+04,0.000611,0.000434,0.000926,,,,
4.10E+04,0.00107,8.78E-05,0.0014,,,,
4.51E+04,0.00179,0.000488,0.00123,,,,
4.91E+04,0.00116,0.000876,0.00148,,,,
5.32E+04,0.000677,0.000256,0.000863,,,,
5.73E+04,0.000818,0.000989,0.00146,,,,
6.14E+04,0.00044,0.000121,0.000809,,,,
6.55E+04,0.000447,0.000238,0.000616,,,,
7.37E+04,0.00106,0.00043,0.00106,,,,
8.19E+04,0.000379,0.000629,0.000372,,,,
9.01E+04,0.000422,0.000448,0.000731,,,,
9.83E+04,7.14E-05,0.000346,0.000678,,,,
1.06E+05,0.000329,0.000169,0.00022,,,,
1.15E+05,0.000666,0.000214,0.00122,,,,
1.23E+05,0.000394,0.000485,0.0013,,,,
1.31E+05,0.000872,0.00032,0.00112,,,,
1.47E+05,0.000522,0.000183,0.000381,,,,
1.64E+05,0.000571,6.51E-05,0.000438,,,,
1.80E+05,0.000577,0.000447,0.00074,,,,
1.97E+05,0.000186,0.00012,0.000705,,,,
2.13E+05,0.000652,0.000337,0.000963,,,,
2.29E+05,3.52E-05,0.00026,0.000762,,,,
