X Lag Time,Record 1: BVs_3e10_300rpm_40-00min_ST_No1_230906 1,Record 2: BVs_3e10_300rpm_40-00min_ST_No1_230906 2,Record 3: BVs_3e10_300rpm_40-00min_ST_No1_230906 3,X Intensity,Record 1: BVs_3e10_300rpm_40-00min_ST_No1_230906 1,Record 2: BVs_3e10_300rpm_40-00min_ST_No1_230906 2,Record 3: BVs_3e10_300rpm_40-00min_ST_No1_230906 3
0.5,0.845,0.85,0.904,0.4,0,0,0
1,0.856,0.852,0.904,0.463,0,0,0
1.5,0.85,0.849,0.907,0.536,0,0,0
2,0.853,0.852,0.911,0.621,0,0,0
2.5,0.849,0.847,0.908,0.719,0,0,0
3,0.851,0.851,0.903,0.833,0,0,0
3.5,0.85,0.847,0.906,0.965,0,0,0
4,0.851,0.848,0.905,1.12,0,0,0
4.5,0.85,0.846,0.902,1.29,0,0,0
5.5,0.85,0.846,0.903,1.5,0,0,0
6.5,0.847,0.842,0.902,1.74,0,0,0
7.5,0.845,0.842,0.898,2.01,0,0,0
8.5,0.841,0.841,0.898,2.33,0,0,0
9.5,0.84,0.836,0.899,2.7,0,0,0
10.5,0.842,0.84,0.897,3.12,0,0,0
11.5,0.838,0.839,0.893,3.62,0,0,0
12.5,0.837,0.837,0.893,4.19,0,0,0
14.5,0.834,0.837,0.892,4.85,0,0,0
16.5,0.829,0.829,0.885,5.61,0,0,0
18.5,0.829,0.829,0.887,6.5,0,0,0
20.5,0.829,0.826,0.883,7.53,0,0,0
22.5,0.822,0.819,0.882,8.72,0,0,0
24.5,0.819,0.817,0.878,10.1,0,0,0
26.5,0.818,0.815,0.875,11.7,0,0,0
28.5,0.816,0.814,0.873,13.5,0,0,0
32.5,0.809,0.808,0.867,15.7,0,0,0
36.5,0.804,0.804,0.863,18.2,0,0,0
40.5,0.799,0.798,0.857,21,0,0,0
44.5,0.793,0.793,0.853,24.4,0,0,0
48.5,0.788,0.788,0.846,28.2,0,0,0
52.5,0.783,0.783,0.844,32.7,0,0,0
56.5,0.78,0.778,0.834,37.8,0,0,0
60.5,0.774,0.773,0.832,43.8,0,0,0
68.5,0.764,0.762,0.822,50.7,0,0,0
76.5,0.754,0.752,0.813,58.8,0,0,0
84.5,0.745,0.742,0.804,68.1,0,0,0
92.5,0.737,0.734,0.794,78.8,0.336,0,2.24
101,0.729,0.725,0.784,91.3,1.86,2.05,5.49
109,0.719,0.714,0.777,106,3.94,5.75,5.74
117,0.712,0.708,0.768,122,5.62,8.06,2.79
125,0.703,0.698,0.76,142,6.23,7.35,0
141,0.687,0.683,0.744,164,5.59,4.38,0
157,0.671,0.668,0.728,190,4.03,1.33,0
173,0.655,0.652,0.713,220,2.18,0,0
189,0.641,0.637,0.698,255,0.697,0,0
205,0.627,0.624,0.684,295,0,0.0137,0
221,0.613,0.611,0.671,342,0,2.81,5.22
237,0.601,0.597,0.658,396,0.97,8.03,13.9
253,0.589,0.585,0.646,459,3.13,13.4,20.9
285,0.565,0.562,0.622,531,6.09,16.3,21.7
317,0.543,0.539,0.601,615,9.11,15.2,15.6
349,0.523,0.519,0.58,712,11.3,10.5,6.3
381,0.503,0.5,0.56,825,12,4.47,0
413,0.486,0.482,0.542,955,10.9,0.415,0
445,0.47,0.465,0.525,1.11E+03,8.39,0,0
477,0.453,0.45,0.509,1.28E+03,5.12,0,0
509,0.44,0.436,0.494,1.48E+03,2.14,0,0
573,0.413,0.409,0.466,1.72E+03,0.359,0,0
637,0.39,0.386,0.442,1.99E+03,0,0,0
701,0.368,0.365,0.419,2.30E+03,0,0,0
765,0.349,0.346,0.398,2.67E+03,0,0,0
829,0.332,0.329,0.38,3.09E+03,0,0,0
893,0.316,0.313,0.363,3.58E+03,0,0,0
957,0.301,0.299,0.347,4.15E+03,0,0,0
1.02E+03,0.288,0.287,0.333,4.80E+03,0,0,0
1.15E+03,0.263,0.265,0.307,5.56E+03,0,0,0
1.28E+03,0.242,0.246,0.283,6.44E+03,0,0,0
1.40E+03,0.223,0.229,0.263,7.46E+03,0,0,0
1.53E+03,0.208,0.215,0.244,8.63E+03,0,0,0
1.66E+03,0.194,0.203,0.228,,,,
1.79E+03,0.182,0.191,0.213,,,,
1.92E+03,0.17,0.18,0.201,,,,
2.04E+03,0.161,0.17,0.19,,,,
2.30E+03,0.143,0.154,0.171,,,,
2.56E+03,0.129,0.141,0.154,,,,
2.81E+03,0.118,0.13,0.14,,,,
3.07E+03,0.108,0.12,0.129,,,,
3.32E+03,0.0989,0.112,0.121,,,,
3.58E+03,0.0903,0.106,0.113,,,,
3.84E+03,0.0817,0.101,0.107,,,,
4.09E+03,0.0759,0.0946,0.0997,,,,
4.60E+03,0.065,0.0869,0.0908,,,,
5.12E+03,0.0533,0.0827,0.0853,,,,
5.63E+03,0.0465,0.0789,0.0818,,,,
6.14E+03,0.0432,0.0757,0.0803,,,,
6.65E+03,0.0409,0.0732,0.0765,,,,
7.16E+03,0.04,0.0725,0.0754,,,,
7.68E+03,0.0385,0.0723,0.0743,,,,
8.19E+03,0.0366,0.0713,0.0735,,,,
9.21E+03,0.0353,0.0674,0.0699,,,,
1.02E+04,0.0341,0.0674,0.0643,,,,
1.13E+04,0.0328,0.0646,0.0609,,,,
1.23E+04,0.0296,0.0609,0.0636,,,,
1.33E+04,0.031,0.0597,0.0682,,,,
1.43E+04,0.0301,0.0592,0.0669,,,,
1.54E+04,0.027,0.0594,0.0659,,,,
1.64E+04,0.0267,0.0598,0.0681,,,,
1.84E+04,0.0301,0.0586,0.0756,,,,
2.05E+04,0.0277,0.0561,0.0771,,,,
2.25E+04,0.0296,0.0602,0.078,,,,
2.46E+04,0.0289,0.0622,0.0749,,,,
2.66E+04,0.026,0.0599,0.0758,,,,
2.87E+04,0.0277,0.0553,0.0752,,,,
3.07E+04,0.0323,0.0566,0.074,,,,
3.28E+04,0.0347,0.057,0.0699,,,,
3.69E+04,0.0331,0.0572,0.0655,,,,
4.10E+04,0.0275,0.057,0.0652,,,,
4.51E+04,0.0287,0.0565,0.0573,,,,
4.91E+04,0.0265,0.056,0.0645,,,,
5.32E+04,0.029,0.0577,0.0593,,,,
5.73E+04,0.0249,0.056,0.0627,,,,
6.14E+04,0.0224,0.0564,0.0537,,,,
6.55E+04,0.0272,0.0525,0.0537,,,,
7.37E+04,0.0231,0.048,0.0546,,,,
8.19E+04,0.0213,0.0434,0.0504,,,,
9.01E+04,0.0218,0.0456,0.0487,,,,
9.83E+04,0.0258,0.0433,0.0491,,,,
1.06E+05,0.0217,0.0392,0.0396,,,,
1.15E+05,0.0176,0.0408,0.0382,,,,
1.23E+05,0.0204,0.0389,0.0366,,,,
1.31E+05,0.02,0.0365,0.037,,,,
1.47E+05,0.0197,0.0336,0.0343,,,,
1.64E+05,0.0178,0.031,0.0374,,,,
1.80E+05,0.0168,0.0275,0.0361,,,,
1.97E+05,0.0151,0.0228,0.0338,,,,
2.13E+05,0.0136,0.0208,0.033,,,,
2.29E+05,0.0119,0.0193,0.0326,,,,
2.46E+05,0.011,0.0193,0.0339,,,,
2.62E+05,0.0102,0.0185,0.0322,,,,
2.95E+05,0.00707,0.0141,0.0315,,,,
3.28E+05,0.00779,0.0138,0.0304,,,,
3.60E+05,0.00595,0.0125,0.0255,,,,
3.93E+05,0.00589,0.0118,0.0272,,,,
4.26E+05,0.00578,0.00948,0.0243,,,,
4.59E+05,0.00341,0.00842,0.022,,,,
4.92E+05,0.00281,0.00626,0.0218,,,,
5.24E+05,0.00426,0.00654,0.0218,,,,
5.90E+05,0.00344,0.00495,0.0214,,,,
6.55E+05,0.00228,0.00445,0.0177,,,,
7.21E+05,0.00323,0.00292,0.0138,,,,
7.86E+05,0.00367,0.00304,0.0131,,,,
8.52E+05,0.0044,0.00301,0.0115,,,,
9.18E+05,0.00447,0.00387,0.0114,,,,
9.83E+05,0.00261,0.00321,0.0106,,,,
1.05E+06,0.00342,0.00119,0.0126,,,,
1.18E+06,0.00377,0.00183,0.0141,,,,
1.31E+06,0.00275,0.00481,0.00869,,,,
1.44E+06,0.00365,0.00843,0.00758,,,,
1.57E+06,0.00178,0.00663,0.00524,,,,
1.70E+06,0.00216,0.00538,0.00885,,,,
1.84E+06,0.00192,0.00516,0.0156,,,,
1.97E+06,0.00144,0.00418,0.0189,,,,
2.10E+06,0.00498,0.00365,0.00805,,,,
2.36E+06,0.00791,0.00447,0.011,,,,
2.62E+06,0.0062,0.00699,0.0121,,,,
2.88E+06,0.00606,0.00368,0.00563,,,,
3.15E+06,0.00929,0.00387,0.00105,,,,
3.41E+06,0.00854,0.00424,0,,,,
3.67E+06,0.00576,0.00221,0.000926,,,,
3.93E+06,0.00229,0.00284,0.00196,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
