X Lag Time,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No1_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No1_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No1_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No1_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No1_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No1_230918 3
0.5,0.889,0.899,0.895,0.4,0,0,0
1,0.89,0.904,0.901,0.463,0,0,0
1.5,0.888,0.897,0.893,0.536,0,0,0
2,0.886,0.894,0.891,0.621,0,0,0
2.5,0.881,0.894,0.889,0.719,0,0,0
3,0.879,0.89,0.887,0.833,0,0,0
3.5,0.875,0.886,0.884,0.965,0,0,0
4,0.872,0.883,0.88,1.12,0,0,0
4.5,0.869,0.879,0.875,1.29,0,0,0
5.5,0.862,0.875,0.871,1.5,0,0,0
6.5,0.858,0.869,0.864,1.74,0,0,0
7.5,0.854,0.864,0.858,2.01,0,0,0
8.5,0.845,0.856,0.854,2.33,0,0,0
9.5,0.842,0.853,0.847,2.7,0,0,0
10.5,0.837,0.848,0.843,3.12,0,0,0
11.5,0.831,0.842,0.836,3.62,0,0,0
12.5,0.826,0.837,0.833,4.19,0,0,0
14.5,0.815,0.826,0.822,4.85,0,0,0
16.5,0.806,0.817,0.811,5.61,0,0,0
18.5,0.796,0.807,0.802,6.5,0,0,0
20.5,0.786,0.797,0.792,7.53,0,0,0
22.5,0.778,0.787,0.782,8.72,0,0,0
24.5,0.768,0.779,0.773,10.1,0,0,0
26.5,0.76,0.77,0.765,11.7,0,0,0
28.5,0.751,0.762,0.756,13.5,0,0,0
32.5,0.734,0.745,0.738,15.7,0,0,0
36.5,0.718,0.73,0.722,18.2,0,0,0
40.5,0.703,0.714,0.708,21,0,0,0
44.5,0.688,0.699,0.691,24.4,0,0,0
48.5,0.674,0.684,0.678,28.2,0,0.0307,0
52.5,0.66,0.67,0.663,32.7,0,0.105,0
56.5,0.647,0.657,0.65,37.8,0,0.231,0
60.5,0.635,0.644,0.637,43.8,0,0.464,0
68.5,0.609,0.619,0.612,50.7,0.432,0.907,0.435
76.5,0.587,0.596,0.589,58.8,1.61,1.67,1.48
84.5,0.564,0.574,0.565,68.1,3.43,2.84,3.12
92.5,0.543,0.553,0.544,78.8,5.62,4.4,5.14
101,0.523,0.532,0.524,91.3,7.8,6.23,7.29
109,0.504,0.513,0.504,106,9.66,8.13,9.25
117,0.486,0.494,0.486,122,10.9,9.83,10.7
125,0.468,0.477,0.468,142,11.5,11.1,11.6
141,0.436,0.444,0.435,164,11.2,11.6,11.6
157,0.406,0.413,0.404,190,10.3,11.3,10.9
173,0.378,0.385,0.376,220,8.73,10.1,9.45
189,0.352,0.358,0.35,255,6.86,8.35,7.56
205,0.329,0.335,0.326,295,4.89,6.16,5.47
221,0.307,0.312,0.304,342,3.06,3.92,3.46
237,0.287,0.292,0.283,396,1.58,1.99,1.8
253,0.269,0.273,0.265,459,0.587,0.657,0.657
285,0.237,0.239,0.231,531,0.1,0.045,0.101
317,0.207,0.21,0.201,615,0,0,0
349,0.182,0.185,0.177,712,0,0,0
381,0.16,0.163,0.155,825,0,0,0
413,0.142,0.144,0.136,955,0,0,0
445,0.127,0.127,0.12,1.11E+03,0,0,0
477,0.113,0.113,0.105,1.28E+03,0,0,0
509,0.101,0.101,0.0929,1.48E+03,0,0,0
573,0.081,0.0789,0.0727,1.72E+03,0,0,0
637,0.0656,0.0621,0.0573,1.99E+03,0,0,0
701,0.0529,0.0489,0.0458,2.30E+03,0,0,0
765,0.0429,0.0387,0.0366,2.67E+03,0,0,0
829,0.0358,0.03,0.0286,3.09E+03,0.0406,0,0
893,0.0295,0.0239,0.0229,3.58E+03,0.161,0,0
957,0.0245,0.0193,0.0185,4.15E+03,0.346,0,0
1.02E+03,0.0201,0.0161,0.0148,4.80E+03,0.551,0,0
1.15E+03,0.0127,0.0108,0.0095,5.56E+03,0.714,0,0
1.28E+03,0.00938,0.00684,0.00624,6.44E+03,0,0,0
1.40E+03,0.00867,0.00596,0.00367,7.46E+03,0,0,0
1.53E+03,0.00667,0.00611,0.00203,8.63E+03,0,0,0
1.66E+03,0.00449,0.00473,0.00141,,,,
1.79E+03,0.00288,0.00337,0.000881,,,,
1.92E+03,0.00287,0.00268,0.00177,,,,
2.04E+03,0.00323,0.0029,0.00173,,,,
2.30E+03,0.00245,0.00217,0.00136,,,,
2.56E+03,0.00214,0.00174,0.00169,,,,
2.81E+03,0.00224,0.0013,0.0021,,,,
3.07E+03,0.00464,0.00149,0.00451,,,,
3.32E+03,0.00698,0.00152,0.00419,,,,
3.58E+03,0.00555,0.00236,0.00321,,,,
3.84E+03,0.00342,0.00306,0.00345,,,,
4.09E+03,0.003,0.00263,0.00316,,,,
4.60E+03,0.00195,0.00114,0.000696,,,,
5.12E+03,0.000659,0.00197,0.00153,,,,
5.63E+03,0.00142,0.003,0.00228,,,,
6.14E+03,0.00114,0.00245,0.00105,,,,
6.65E+03,0.00112,0.00238,0.00118,,,,
7.16E+03,0.000931,0.00494,0.000719,,,,
7.68E+03,0.00165,0.00332,0.00144,,,,
8.19E+03,0.000972,0.00233,0.00158,,,,
9.21E+03,0.00145,0.00108,0.00133,,,,
1.02E+04,0.0019,0.00172,0.000701,,,,
1.13E+04,0.00167,0.00319,0.00355,,,,
