X Lag Time,Record 1: H2O_00mg_300rpm_20-00min_PM_No1_230829 1,Record 2: H2O_00mg_300rpm_20-00min_PM_No1_230829 2,Record 3: H2O_00mg_300rpm_20-00min_PM_No1_230829 3,X Intensity,Record 1: H2O_00mg_300rpm_20-00min_PM_No1_230829 1,Record 2: H2O_00mg_300rpm_20-00min_PM_No1_230829 2,Record 3: H2O_00mg_300rpm_20-00min_PM_No1_230829 3
0.5,0.901,0.914,0.944,0.4,0,0,0
1,0.909,0.92,0.951,0.463,0,0,0
1.5,0.905,0.919,0.949,0.536,0,0,0
2,0.906,0.917,0.947,0.621,0,0,0
2.5,0.903,0.916,0.947,0.719,0,0,0
3,0.902,0.914,0.944,0.833,0,0,0
3.5,0.9,0.914,0.943,0.965,0,0,0
4,0.901,0.912,0.942,1.12,0,0,0
4.5,0.898,0.91,0.941,1.29,0,0,0
5.5,0.895,0.907,0.938,1.5,0,0,0
6.5,0.893,0.905,0.935,1.74,0,0,0
7.5,0.89,0.903,0.932,2.01,0,0,0
8.5,0.888,0.899,0.929,2.33,0,0,0
9.5,0.885,0.897,0.926,2.7,0,0,0
10.5,0.88,0.894,0.924,3.12,0,0,0
11.5,0.877,0.891,0.92,3.62,0,0,0
12.5,0.875,0.888,0.918,4.19,0,0,0
14.5,0.869,0.883,0.912,4.85,0,0,0
16.5,0.863,0.877,0.907,5.61,0,0,0
18.5,0.857,0.871,0.9,6.5,0,0,0
20.5,0.852,0.866,0.895,7.53,0,0,0
22.5,0.846,0.861,0.89,8.72,0,0,0
24.5,0.841,0.855,0.885,10.1,0,0,0
26.5,0.835,0.85,0.879,11.7,0,0,0
28.5,0.829,0.845,0.874,13.5,0,0,0
32.5,0.819,0.834,0.864,15.7,0,0,0
36.5,0.808,0.824,0.853,18.2,0,0,0
40.5,0.797,0.814,0.842,21,0,0,0
44.5,0.787,0.804,0.832,24.4,0,0,0
48.5,0.777,0.794,0.822,28.2,0,0,0
52.5,0.766,0.785,0.812,32.7,0,0,0
56.5,0.757,0.776,0.802,37.8,0,0,0.199
60.5,0.747,0.766,0.794,43.8,0,0,0.518
68.5,0.728,0.748,0.775,50.7,0,0.346,0.685
76.5,0.71,0.73,0.757,58.8,0,1.01,0.716
84.5,0.692,0.712,0.741,68.1,0.723,1.74,0.919
92.5,0.675,0.696,0.724,78.8,2.38,2.5,1.68
101,0.658,0.681,0.708,91.3,4.49,3.48,3.24
109,0.642,0.665,0.692,106,6.48,4.87,5.55
117,0.626,0.65,0.677,122,8.01,6.68,8.29
125,0.611,0.635,0.662,142,8.95,8.71,10.9
141,0.583,0.608,0.633,164,9.35,10.6,12.9
157,0.555,0.581,0.607,190,9.31,11.8,13.7
173,0.53,0.556,0.582,220,8.96,12.1,13.1
189,0.505,0.533,0.558,255,8.36,11.3,11.2
205,0.482,0.51,0.536,295,7.55,9.5,8.33
221,0.461,0.49,0.515,342,6.54,7,5.17
237,0.44,0.47,0.495,396,5.36,4.32,2.4
253,0.422,0.451,0.476,459,4.06,2.02,0.61
285,0.386,0.417,0.441,531,2.75,0.536,0
317,0.353,0.386,0.41,615,1.58,0,0
349,0.325,0.358,0.382,712,0.691,0,0
381,0.299,0.334,0.357,825,0.168,0,0
413,0.276,0.311,0.334,955,0,0,0
445,0.256,0.291,0.314,1.11E+03,0,0,0
477,0.238,0.272,0.295,1.28E+03,0,0,0
509,0.221,0.255,0.278,1.48E+03,0,0,0
573,0.192,0.225,0.248,1.72E+03,0,0,0
637,0.168,0.2,0.223,1.99E+03,0,0,0
701,0.148,0.179,0.202,2.30E+03,0,0,0
765,0.131,0.162,0.184,2.67E+03,0,0,0
829,0.117,0.147,0.168,3.09E+03,0,0,0
893,0.105,0.134,0.155,3.58E+03,0.137,0,0
957,0.0948,0.123,0.144,4.15E+03,0.609,0,0
1.02E+03,0.0866,0.113,0.135,4.80E+03,1.37,0,0
1.15E+03,0.072,0.0966,0.119,5.56E+03,2.18,1.45,0
1.28E+03,0.0604,0.0841,0.108,6.44E+03,0,0,0
1.40E+03,0.0511,0.0751,0.0992,7.46E+03,0,0,0
1.53E+03,0.0443,0.0688,0.092,8.63E+03,0,0,0
1.66E+03,0.0391,0.0638,0.0863,,,,
1.79E+03,0.0345,0.0594,0.0822,,,,
1.92E+03,0.0305,0.056,0.0778,,,,
2.04E+03,0.0275,0.0538,0.0737,,,,
2.30E+03,0.0223,0.0496,0.0682,,,,
2.56E+03,0.02,0.0455,0.0638,,,,
2.81E+03,0.0214,0.0427,0.0612,,,,
3.07E+03,0.0209,0.0397,0.0587,,,,
3.32E+03,0.0194,0.0371,0.0564,,,,
3.58E+03,0.0176,0.034,0.0551,,,,
3.84E+03,0.0154,0.0317,0.0532,,,,
4.09E+03,0.0154,0.0291,0.052,,,,
4.60E+03,0.0184,0.0269,0.0505,,,,
5.12E+03,0.0164,0.0242,0.0474,,,,
5.63E+03,0.0144,0.0252,0.0468,,,,
6.14E+03,0.0124,0.0258,0.0455,,,,
6.65E+03,0.0125,0.0253,0.0418,,,,
7.16E+03,0.0115,0.0243,0.0392,,,,
7.68E+03,0.0121,0.025,0.0403,,,,
8.19E+03,0.0109,0.0248,0.0384,,,,
9.21E+03,0.00949,0.0191,0.0355,,,,
1.02E+04,0.00928,0.0231,0.0317,,,,
1.13E+04,0.0112,0.0231,0.0346,,,,
1.23E+04,0.0123,0.0213,0.0329,,,,
1.33E+04,0.0106,0.019,0.0292,,,,
1.43E+04,0.0107,0.0189,0.0295,,,,
1.54E+04,0.00918,0.0182,0.0309,,,,
1.64E+04,0.0107,0.0172,0.0305,,,,
1.84E+04,0.00869,0.0154,0.0301,,,,
2.05E+04,0.00847,0.0174,0.0282,,,,
2.25E+04,0.00978,0.0194,0.0296,,,,
2.46E+04,0.00792,0.0167,0.025,,,,
2.66E+04,0.00676,0.0184,0.0244,,,,
2.87E+04,0.0102,0.0157,0.0252,,,,
3.07E+04,0.00928,0.0114,0.0277,,,,
3.28E+04,0.00989,0.0111,0.0284,,,,
3.69E+04,0.0089,0.00938,0.0241,,,,
4.10E+04,0.00781,0.0121,0.0217,,,,
4.51E+04,0.00798,0.0106,0.0177,,,,
4.91E+04,0.00638,0.00915,0.0153,,,,
5.32E+04,0.0052,0.0102,0.0127,,,,
5.73E+04,0.0054,0.00642,0.012,,,,
6.14E+04,0.00359,0.0109,0.0141,,,,
6.55E+04,0.00443,0.00985,0.0139,,,,
7.37E+04,0.00693,0.00829,0.0126,,,,
8.19E+04,0.00562,0.00818,0.0138,,,,
9.01E+04,0.00557,0.00786,0.013,,,,
9.83E+04,0.00378,0.00636,0.0156,,,,
1.06E+05,0.00669,0.00722,0.0159,,,,
1.15E+05,0.0068,0.00621,0.00868,,,,
1.23E+05,0.00482,0.00346,0.011,,,,
1.31E+05,0.00524,0.00529,0.00972,,,,
1.47E+05,0.00588,0.00476,0.00756,,,,
1.64E+05,0.00526,0.0027,0.00894,,,,
1.80E+05,0.00642,0.00505,0.00795,,,,
1.97E+05,0.00593,0.00338,0.0083,,,,
2.13E+05,0.00569,0.00247,0.0069,,,,
2.29E+05,0.00342,0.00386,0.0061,,,,
2.46E+05,0.00403,0.00593,0.00656,,,,
2.62E+05,0.00549,0.00463,0.00512,,,,
2.95E+05,0.00515,0.00247,0.00443,,,,
3.28E+05,0.00547,0.00177,0.00444,,,,
3.60E+05,0.00403,0.00321,0.00506,,,,
3.93E+05,0.00448,0.00298,0.00531,,,,
4.26E+05,0.0056,0.00169,0.00348,,,,
4.59E+05,0.00413,0.00314,0.00371,,,,
4.92E+05,0.00534,0.00154,0.00378,,,,
5.24E+05,0.00452,0.00138,0.00281,,,,
5.90E+05,0.00445,0.00119,0.00356,,,,
6.55E+05,0.00428,0.00139,0.00234,,,,
7.21E+05,0.00434,0.00166,0.00172,,,,
7.86E+05,0.0052,0.0017,0.00295,,,,
8.52E+05,0.00484,0.00198,0.00356,,,,
9.18E+05,0.00351,0.00281,0.00339,,,,
9.83E+05,0.00344,0.00302,0.00468,,,,
1.05E+06,0.00551,0.0016,0.00344,,,,
1.18E+06,0.00353,0.00259,0.00605,,,,
1.31E+06,0.00418,0.00268,0.00346,,,,
1.44E+06,0.00527,0.00274,0.00244,,,,
1.57E+06,0.00538,0.00315,0.00224,,,,
1.70E+06,0.00572,0.000809,0.00206,,,,
1.84E+06,0.00533,0.000276,0.00134,,,,
1.97E+06,0.00415,0.000831,0.00459,,,,
2.10E+06,0.0045,0.00126,0.00266,,,,
2.36E+06,0.00438,0.00011,0.000889,,,,
2.62E+06,0.00486,0.000389,0.00106,,,,
2.88E+06,0.00455,0.000761,0.00119,,,,
3.15E+06,0.00531,0.000932,0.00056,,,,
3.41E+06,0.00758,0,0.000332,,,,
3.67E+06,0.00714,0.000481,0.000184,,,,
3.93E+06,0.00746,0.00163,0.000249,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
