X Lag Time,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230905 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230905 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230905 3,X Intensity,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230905 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230905 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230905 3
0.5,0.896,0.874,0.89,0.4,0,0,0
1,0.906,0.884,0.897,0.463,0,0,0
1.5,0.903,0.88,0.896,0.536,0,0,0
2,0.9,0.88,0.896,0.621,0,0,0
2.5,0.9,0.879,0.896,0.719,0,0,0
3,0.901,0.876,0.896,0.833,0,0,0
3.5,0.898,0.878,0.892,0.965,0,0,0
4,0.897,0.876,0.892,1.12,0,0,0
4.5,0.897,0.876,0.892,1.29,0,0,0
5.5,0.895,0.874,0.89,1.5,0,0,0
6.5,0.895,0.872,0.888,1.74,0,0,0
7.5,0.894,0.87,0.886,2.01,0,0,0
8.5,0.891,0.869,0.885,2.33,0,0,0
9.5,0.89,0.868,0.882,2.7,0,0,0
10.5,0.888,0.867,0.881,3.12,0,0,0
11.5,0.887,0.864,0.88,3.62,0,0,0
12.5,0.885,0.863,0.879,4.19,0,0,0
14.5,0.882,0.86,0.876,4.85,0,0,0
16.5,0.879,0.857,0.873,5.61,0,0,0
18.5,0.875,0.854,0.869,6.5,0,0,0
20.5,0.873,0.851,0.866,7.53,0,0,0
22.5,0.869,0.847,0.864,8.72,0,0,0
24.5,0.867,0.845,0.86,10.1,0,0,0
26.5,0.863,0.843,0.857,11.7,0,0,0
28.5,0.861,0.839,0.854,13.5,0,0,0
32.5,0.854,0.833,0.849,15.7,0,0,0
36.5,0.849,0.827,0.844,18.2,0,0,0
40.5,0.843,0.822,0.837,21,0,0,0
44.5,0.837,0.815,0.832,24.4,0,0,0
48.5,0.832,0.81,0.826,28.2,0,0,0
52.5,0.827,0.805,0.821,32.7,0,0,0
56.5,0.821,0.8,0.816,37.8,0,0,0
60.5,0.816,0.794,0.81,43.8,0,0,0
68.5,0.806,0.784,0.8,50.7,0,0,0
76.5,0.796,0.773,0.79,58.8,0,0,0
84.5,0.786,0.763,0.78,68.1,0,0,0
92.5,0.776,0.753,0.77,78.8,0.429,0,0
101,0.767,0.744,0.761,91.3,1.05,0,0
109,0.757,0.734,0.751,106,1.48,0,0
117,0.748,0.725,0.742,122,1.51,0,0
125,0.739,0.716,0.733,142,1.24,0,0
141,0.721,0.698,0.715,164,0.963,0,0
157,0.704,0.681,0.698,190,1.03,0,0.511
173,0.688,0.664,0.682,220,1.71,1.21,2.05
189,0.672,0.648,0.665,255,3.08,3.97,4.62
205,0.656,0.633,0.65,295,4.99,7.78,7.79
221,0.641,0.618,0.635,342,7.15,11.7,10.9
237,0.626,0.603,0.62,396,9.17,14.7,13.3
253,0.612,0.589,0.606,459,10.7,16,14.5
285,0.585,0.562,0.578,531,11.4,15.3,14.2
317,0.559,0.536,0.552,615,11.3,12.7,12.4
349,0.535,0.512,0.528,712,10.2,9.07,9.49
381,0.512,0.489,0.506,825,8.49,5.19,6.17
