X Lag Time,Record 1: BVs_3e10_300rpm_40-00min_ST_No1_230925 1,Record 2: BVs_3e10_300rpm_40-00min_ST_No1_230925 2,Record 3: BVs_3e10_300rpm_40-00min_ST_No1_230925 3,X Intensity,Record 1: BVs_3e10_300rpm_40-00min_ST_No1_230925 1,Record 2: BVs_3e10_300rpm_40-00min_ST_No1_230925 2,Record 3: BVs_3e10_300rpm_40-00min_ST_No1_230925 3
0.5,0.953,0.943,0.94,0.4,0,0,0
1,0.956,0.951,0.945,0.463,0,0,0
1.5,0.956,0.948,0.942,0.536,0,0,0
2,0.953,0.947,0.945,0.621,0,0,0
2.5,0.953,0.944,0.942,0.719,0,0,0
3,0.953,0.945,0.94,0.833,0,0,0
3.5,0.95,0.942,0.941,0.965,0,0,0
4,0.951,0.944,0.94,1.12,0,0,0
4.5,0.951,0.943,0.939,1.29,0,0,0
5.5,0.948,0.939,0.937,1.5,0,0,0
6.5,0.947,0.94,0.935,1.74,0,0,0
7.5,0.945,0.938,0.934,2.01,0,0,0
8.5,0.942,0.935,0.932,2.33,0,0,0
9.5,0.942,0.933,0.929,2.7,0,0,0
10.5,0.94,0.932,0.927,3.12,0,0,0
11.5,0.938,0.929,0.926,3.62,0,0,0
12.5,0.936,0.929,0.925,4.19,0,0,0
14.5,0.931,0.924,0.921,4.85,0,0,0
16.5,0.928,0.921,0.917,5.61,0,0,0
18.5,0.925,0.918,0.914,6.5,0,0,0
20.5,0.922,0.914,0.91,7.53,0,0,0
22.5,0.917,0.91,0.906,8.72,0,0,0
24.5,0.914,0.907,0.902,10.1,0,0,0
26.5,0.911,0.903,0.899,11.7,0,0,0
28.5,0.907,0.9,0.896,13.5,0,0,0
32.5,0.9,0.893,0.889,15.7,0,0,0
36.5,0.893,0.887,0.882,18.2,0,0,0
40.5,0.887,0.88,0.876,21,0,0,0
44.5,0.881,0.873,0.87,24.4,0,0,0
48.5,0.874,0.868,0.863,28.2,0,0,0
52.5,0.868,0.861,0.858,32.7,0,0,0
56.5,0.862,0.855,0.851,37.8,0,0,0
60.5,0.856,0.849,0.845,43.8,0,0,0
68.5,0.843,0.837,0.833,50.7,0,0,0
76.5,0.832,0.826,0.821,58.8,0,0,0
84.5,0.821,0.814,0.81,68.1,0.679,0.532,0.051
