X Lag Time,Record 1: PBS_00mg_PS2_500ug_300rpm_40-00min_ST_No1_230920 1,Record 2: PBS_00mg_PS2_500ug_300rpm_40-00min_ST_No1_230920 2,Record 3: PBS_00mg_PS2_500ug_300rpm_40-00min_ST_No1_230920 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_300rpm_40-00min_ST_No1_230920 1,Record 2: PBS_00mg_PS2_500ug_300rpm_40-00min_ST_No1_230920 2,Record 3: PBS_00mg_PS2_500ug_300rpm_40-00min_ST_No1_230920 3
0.5,0.92,0.924,0.928,0.4,0,0,0
1,0.925,0.929,0.929,0.463,0,0,0
1.5,0.925,0.926,0.929,0.536,0,0,0
2,0.918,0.922,0.927,0.621,0,0,0
2.5,0.916,0.921,0.924,0.719,0,0,0
3,0.917,0.918,0.922,0.833,0,0,0
3.5,0.914,0.917,0.917,0.965,0,0,0
4,0.91,0.915,0.917,1.12,0,0,0
4.5,0.908,0.91,0.915,1.29,0,0,0
5.5,0.903,0.907,0.908,1.5,0,0,0
6.5,0.898,0.9,0.904,1.74,0,0,0
7.5,0.893,0.896,0.9,2.01,0,0,0
8.5,0.889,0.889,0.895,2.33,0,0,0
9.5,0.883,0.885,0.889,2.7,0,0,0
10.5,0.88,0.882,0.883,3.12,0,0,0
11.5,0.874,0.877,0.88,3.62,0,0,0
12.5,0.869,0.871,0.874,4.19,0,0,0
14.5,0.858,0.861,0.864,4.85,0,0,0
16.5,0.85,0.853,0.855,5.61,0,0,0
18.5,0.841,0.842,0.846,6.5,0,0,0
20.5,0.832,0.833,0.837,7.53,0,0,0
22.5,0.822,0.825,0.827,8.72,0,0,0
24.5,0.813,0.815,0.818,10.1,0,0,0
26.5,0.804,0.806,0.808,11.7,0,0,0
28.5,0.795,0.797,0.799,13.5,0,0,0
32.5,0.779,0.78,0.782,15.7,0,0,0
36.5,0.762,0.763,0.765,18.2,0,0,0
40.5,0.745,0.746,0.749,21,0,0,0
44.5,0.728,0.729,0.732,24.4,0,0,0
48.5,0.713,0.714,0.716,28.2,0,0,0
52.5,0.698,0.699,0.702,32.7,0,0,0
56.5,0.683,0.684,0.686,37.8,0,0.174,0
60.5,0.669,0.67,0.672,43.8,0.451,0.766,0.097
68.5,0.64,0.641,0.644,50.7,1.57,1.8,0.78
76.5,0.613,0.614,0.617,58.8,3.24,3.24,2.19
84.5,0.588,0.589,0.591,68.1,5.21,4.95,4.25
92.5,0.564,0.564,0.567,78.8,7.2,6.79,6.67
101,0.541,0.541,0.544,91.3,8.94,8.55,9.08
109,0.518,0.518,0.522,106,10.2,10,11.1
117,0.497,0.498,0.5,122,10.9,10.9,12.3
125,0.477,0.478,0.48,142,10.9,11.2,12.6
141,0.44,0.44,0.442,164,10.3,10.7,11.9
157,0.406,0.406,0.407,190,9.14,9.58,10.3
173,0.375,0.374,0.375,220,7.59,7.92,8.07
189,0.346,0.346,0.346,255,5.84,5.96,5.6
205,0.32,0.319,0.32,295,4.09,3.99,3.29
221,0.296,0.295,0.295,342,2.52,2.25,1.47
237,0.274,0.273,0.273,396,1.3,0.971,0.381
253,0.254,0.254,0.253,459,0.484,0.238,0
285,0.218,0.218,0.217,531,0.0876,0,0
317,0.188,0.188,0.186,615,0,0,0
349,0.162,0.162,0.161,712,0,0,0
381,0.14,0.14,0.138,825,0,0,0
413,0.121,0.121,0.119,955,0,0,0
445,0.105,0.104,0.103,1.11E+03,0,0,0
477,0.0919,0.0905,0.0894,1.28E+03,0,0,0
509,0.0807,0.0795,0.0784,1.48E+03,0,0,0
573,0.0621,0.0612,0.0599,1.72E+03,0,0,0
637,0.0486,0.0478,0.0461,1.99E+03,0,0,0
701,0.0382,0.0371,0.0346,2.30E+03,0,0,0
765,0.0303,0.0295,0.0262,2.67E+03,0,0,0
829,0.0234,0.0232,0.0192,3.09E+03,0,0,0
893,0.0188,0.0191,0.0144,3.58E+03,0,0,0
957,0.0159,0.015,0.0115,4.15E+03,0,0,0
1.02E+03,0.0134,0.0125,0.00892,4.80E+03,0,0,0
1.15E+03,0.0084,0.00885,0.00535,5.56E+03,0,0,0
1.28E+03,0.00605,0.00684,0.00329,6.44E+03,0,0,0
1.40E+03,0.00474,0.00562,0.0022,7.46E+03,0,0,0
1.53E+03,0.00391,0.00519,0.00217,8.63E+03,0,0,0
1.66E+03,0.00378,0.00404,0.00253,,,,
1.79E+03,0.00379,0.00409,0.00204,,,,
1.92E+03,0.00382,0.00466,0.00137,,,,
2.04E+03,0.00383,0.00475,0.00102,,,,
2.30E+03,0.00314,0.00351,0.00172,,,,
2.56E+03,0.00161,0.00215,0.00141,,,,
2.81E+03,0.00125,0.00237,0.0013,,,,
3.07E+03,0.00115,0.00173,0.0018,,,,
3.32E+03,0.00302,0.0019,0.00213,,,,
3.58E+03,0.00205,0.00241,0.00388,,,,
3.84E+03,0.00253,0.000717,0.00414,,,,
4.09E+03,0.00248,0.000499,0.00308,,,,
4.60E+03,0.00141,0.000737,0.00267,,,,
5.12E+03,0.000565,0.00109,0.00272,,,,
5.63E+03,0.000904,0.000868,0.00146,,,,
6.14E+03,0.00229,0.00117,0.000519,,,,
6.65E+03,0.00123,0.00247,0.00138,,,,
7.16E+03,0.00212,0.00117,0.00265,,,,
7.68E+03,0.00261,0.000892,0.0018,,,,
8.19E+03,0.00219,0.00204,0.00183,,,,
9.21E+03,0.00128,0.00163,0.000771,,,,
1.02E+04,0.00168,0.0024,0.00159,,,,
1.13E+04,0.000621,0.00134,0.000517,,,,
1.23E+04,0.000243,0.000674,0.000858,,,,
1.33E+04,0.00185,0.00178,0.000559,,,,
1.43E+04,0.00262,0.00345,0.00122,,,,
1.54E+04,0.00345,0.000319,0.00154,,,,
1.64E+04,0.0014,0.000647,0.00133,,,,
1.84E+04,0.00127,0.000493,0.000984,,,,
2.05E+04,0.00112,0.00129,0.000779,,,,
2.25E+04,0.000334,0.00116,0.000665,,,,
2.46E+04,0.00122,0.000438,0.00124,,,,
2.66E+04,0.00177,0.00188,0.000799,,,,
2.87E+04,0.000769,0.000173,0.00216,,,,
3.07E+04,0.00105,0.000283,0.00103,,,,
3.28E+04,0.000628,0.000808,0.00084,,,,
3.69E+04,0.000457,0.000856,0.000951,,,,
4.10E+04,0.000317,0.000826,0.000745,,,,
4.51E+04,0.000825,0.00155,0.0011,,,,
4.91E+04,0.000984,0.000976,0.000384,,,,
5.32E+04,0.000438,0.000676,0.00123,,,,
5.73E+04,0.00166,0.000385,0.0012,,,,
6.14E+04,0.000862,0.000946,0.00108,,,,
6.55E+04,0.000674,0.00129,0.000977,,,,
7.37E+04,0.00129,0.000315,0.00135,,,,
8.19E+04,0.000474,3.34E-05,0.000883,,,,
9.01E+04,0.000553,0.000307,0.00101,,,,
9.83E+04,0.00048,0.000344,0.000827,,,,
1.06E+05,0.000886,0.000663,0.000692,,,,
1.15E+05,0.000752,0.000358,0.000243,,,,
1.23E+05,0.000522,0.000318,0.00125,,,,
1.31E+05,0.000487,0.000429,0.000209,,,,
1.47E+05,0.000395,0.00113,0.000357,,,,
1.64E+05,0.000535,0.000487,0.000421,,,,
1.80E+05,0.000657,0.000325,0.000465,,,,
1.97E+05,0.00074,0.000496,0.00026,,,,
2.13E+05,0.000442,0.000693,0.000891,,,,
2.29E+05,0.000365,0.000399,0.000354,,,,
2.46E+05,0.000292,0.000641,0.000644,,,,
2.62E+05,0.000503,0.000325,0.000223,,,,
2.95E+05,0.000579,0.000133,0.000424,,,,
3.28E+05,0.000742,0.000214,0.000754,,,,
3.60E+05,0.000537,0.000657,0.000324,,,,
3.93E+05,0.000284,0.000223,0.000608,,,,
4.26E+05,0.00102,0.000384,0.00051,,,,
4.59E+05,0.000831,0.000715,0.000172,,,,
4.92E+05,0.00122,0.000521,0.000504,,,,
5.24E+05,0.00038,0.000181,0.000224,,,,
5.90E+05,0.000274,1.94E-05,0.000573,,,,
6.55E+05,0.000453,0.000304,0.00034,,,,
7.21E+05,0.000209,0.000363,0.000742,,,,
7.86E+05,0.000538,0.000116,0.000255,,,,
8.52E+05,0.000742,0.000314,0.000713,,,,
9.18E+05,0.000487,0.000173,0.000757,,,,
