X Lag Time,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 3
0.5,0.448,0.458,0.46,0.4,0,0,0
1,0.428,0.441,0.442,0.463,0,0,0
1.5,0.411,0.426,0.424,0.536,0,0,0
2,0.4,0.409,0.408,0.621,0,0,0
2.5,0.385,0.396,0.394,0.719,0,0,0
3,0.373,0.38,0.381,0.833,0,0,0
3.5,0.361,0.37,0.365,0.965,0,0,0
4,0.348,0.359,0.351,1.12,0,0,0
4.5,0.339,0.342,0.338,1.29,0,0,0
5.5,0.315,0.326,0.319,1.5,0,0,0
6.5,0.296,0.306,0.296,1.74,0,0,0
7.5,0.279,0.286,0.279,2.01,0,0,0
8.5,0.263,0.272,0.261,2.33,0,0,0
9.5,0.247,0.254,0.243,2.7,0,0,0
10.5,0.233,0.24,0.232,3.12,0,0,0
11.5,0.22,0.227,0.215,3.62,0.0741,0,0.05
12.5,0.208,0.213,0.202,4.19,1.06,0.506,0.934
14.5,0.185,0.189,0.179,4.85,3.09,2.26,2.81
16.5,0.165,0.169,0.156,5.61,5.83,5.05,5.39
18.5,0.146,0.151,0.142,6.5,8.67,8.21,8.2
20.5,0.133,0.135,0.125,7.53,11,11,10.7
22.5,0.119,0.122,0.111,8.72,12.3,12.8,12.3
24.5,0.106,0.111,0.0994,10.1,12.5,13.2,12.9
26.5,0.096,0.101,0.0883,11.7,11.4,12.3,12.3
28.5,0.0868,0.0905,0.0802,13.5,9.31,10.3,10.8
32.5,0.073,0.0754,0.0639,15.7,6.73,7.58,8.49
36.5,0.0604,0.0622,0.0522,18.2,4.13,4.8,5.92
40.5,0.0515,0.0524,0.0439,21,1.98,2.42,3.5
44.5,0.0445,0.045,0.0346,24.4,0.573,0.8,1.6
48.5,0.0383,0.0377,0.0298,28.2,0,0.0659,0.434
52.5,0.0325,0.0334,0.0244,32.7,0,0,0
56.5,0.0294,0.0288,0.0208,37.8,0,0,0
60.5,0.0269,0.0261,0.0179,43.8,0,0,0
68.5,0.0216,0.0214,0.0141,50.7,0,0,0
76.5,0.0182,0.0186,0.0114,58.8,0,0,0
84.5,0.0161,0.0154,0.00994,68.1,0,0,0
92.5,0.0135,0.0142,0.00811,78.8,0,0,0
101,0.0128,0.0122,0.00693,91.3,0,0,0
109,0.0111,0.0118,0.00629,106,0,0,0
117,0.0112,0.0109,0.00448,122,0,0,0
125,0.0106,0.00963,0.00497,142,0,0,0
141,0.0104,0.00907,0.00471,164,0,0,0
157,0.00957,0.00858,0.00403,190,0,0,0
173,0.00881,0.00753,0.00357,220,0,0,0
189,0.00823,0.00769,0.00366,255,0,0,0
205,0.00784,0.00674,0.00226,295,0.0289,0,0
221,0.00694,0.00727,0.00329,342,0.106,0,0
237,0.00784,0.00729,0.0026,396,0.229,0,0
253,0.00716,0.00699,0.002,459,0.381,0.0133,0
285,0.00644,0.00679,0.00293,531,0.543,0.0522,0
317,0.00612,0.0055,0.00255,615,0.696,0.117,0
349,0.0066,0.00626,0.00185,712,0.823,0.201,0
381,0.00628,0.00592,0.00195,825,0.914,0.295,0
413,0.00585,0.00595,0.00235,955,0.963,0.39,0
445,0.00558,0.00551,0.0026,1.11E+03,0.97,0.48,0
477,0.00508,0.00553,0.00267,1.28E+03,0.94,0.558,0
509,0.00468,0.00506,0.00191,1.48E+03,0.878,0.622,0
573,0.00441,0.00465,0.00207,1.72E+03,0.793,0.671,0.0175
637,0.00389,0.00421,0.00178,1.99E+03,0.695,0.706,0.0721
701,0.00371,0.00393,0.00195,2.30E+03,0.593,0.726,0.167
765,0.0029,0.00317,0.00164,2.67E+03,0.494,0.734,0.292
829,0.00281,0.00393,0.00147,3.09E+03,0.403,0.728,0.43
