X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_ST_No2_230829 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No2_230829 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No2_230829 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_ST_No2_230829 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No2_230829 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No2_230829 3
0.5,0.906,0.91,0.912,0.4,0,0,0
1,0.915,0.913,0.921,0.463,0,0,0
1.5,0.912,0.914,0.918,0.536,0,0,0
2,0.908,0.914,0.917,0.621,0,0,0
2.5,0.91,0.911,0.916,0.719,0,0,0
3,0.907,0.912,0.913,0.833,0,0,0
3.5,0.905,0.908,0.914,0.965,0,0,0
4,0.906,0.908,0.912,1.12,0,0,0
4.5,0.904,0.907,0.911,1.29,0,0,0
5.5,0.902,0.904,0.908,1.5,0,0,0
6.5,0.899,0.901,0.905,1.74,0,0,0
7.5,0.895,0.9,0.903,2.01,0,0,0
8.5,0.894,0.894,0.901,2.33,0,0,0
9.5,0.892,0.893,0.898,2.7,0,0,0
10.5,0.888,0.89,0.897,3.12,0,0,0
11.5,0.886,0.888,0.893,3.62,0,0,0
12.5,0.884,0.886,0.891,4.19,0,0,0
14.5,0.879,0.881,0.885,4.85,0,0,0
16.5,0.874,0.876,0.882,5.61,0,0,0
18.5,0.87,0.872,0.877,6.5,0,0,0
20.5,0.864,0.868,0.873,7.53,0,0,0
22.5,0.86,0.861,0.868,8.72,0,0,0
24.5,0.854,0.858,0.863,10.1,0,0,0
26.5,0.851,0.854,0.859,11.7,0,0,0
28.5,0.846,0.848,0.855,13.5,0,0,0
32.5,0.837,0.84,0.846,15.7,0,0,0
36.5,0.828,0.831,0.837,18.2,0,0,0
40.5,0.819,0.823,0.829,21,0,0,0
44.5,0.81,0.814,0.821,24.4,0,0,0
48.5,0.804,0.807,0.813,28.2,0,0,0
52.5,0.795,0.798,0.805,32.7,0,0,0
56.5,0.787,0.79,0.798,37.8,0,0.107,0
60.5,0.779,0.782,0.79,43.8,0,0.356,0
68.5,0.763,0.767,0.775,50.7,0,0.623,0
76.5,0.749,0.753,0.76,58.8,0,0.781,0
84.5,0.734,0.738,0.747,68.1,0,0.789,0
92.5,0.721,0.724,0.733,78.8,0,0.705,0
101,0.706,0.71,0.72,91.3,0,0.668,0
109,0.693,0.697,0.707,106,0,0.847,0.0336
117,0.679,0.684,0.694,122,0.112,1.39,0.994
125,0.667,0.671,0.682,142,1.65,2.36,2.97
141,0.642,0.647,0.658,164,4.63,3.74,5.59
157,0.619,0.624,0.635,190,8.35,5.42,8.29
173,0.596,0.602,0.613,220,11.9,7.2,10.5
189,0.575,0.581,0.592,255,14.3,8.84,11.9
205,0.555,0.56,0.572,295,15.2,10.1,12.2
221,0.536,0.54,0.553,342,14.3,10.8,11.5
237,0.516,0.522,0.535,396,12,10.7,9.99
253,0.499,0.505,0.517,459,8.83,9.97,7.94
285,0.465,0.471,0.484,531,5.46,8.58,5.71
317,0.434,0.441,0.454,615,2.61,6.76,3.61
349,0.404,0.412,0.426,712,0.743,4.75,1.91
381,0.378,0.386,0.399,825,0,2.85,0.758
413,0.353,0.362,0.375,955,0,1.34,0.162
445,0.33,0.339,0.352,1.11E+03,0,0.377,0
477,0.309,0.317,0.331,1.28E+03,0,0,0
509,0.289,0.299,0.311,1.48E+03,0,0,0
573,0.253,0.264,0.276,1.72E+03,0,0,0
637,0.222,0.233,0.245,1.99E+03,0,0,0
701,0.195,0.207,0.218,2.30E+03,0,0,0.0545
765,0.171,0.185,0.195,2.67E+03,0,0,0.222
829,0.151,0.165,0.174,3.09E+03,0,0,0.502
893,0.133,0.146,0.156,3.58E+03,0,0,0.851
957,0.117,0.13,0.141,4.15E+03,0,0,1.2
1.02E+03,0.105,0.117,0.128,4.80E+03,0,0,1.48
1.15E+03,0.0835,0.0941,0.106,5.56E+03,0,0,1.62
1.28E+03,0.0667,0.0758,0.0881,6.44E+03,0,0,0
1.40E+03,0.0533,0.0616,0.0742,7.46E+03,0,0,0
1.53E+03,0.0433,0.0505,0.063,8.63E+03,0,0,0
1.66E+03,0.0359,0.0415,0.0538,,,,
1.79E+03,0.03,0.0342,0.0462,,,,
1.92E+03,0.0254,0.0279,0.0405,,,,
2.04E+03,0.022,0.023,0.0358,,,,
2.30E+03,0.0177,0.0148,0.0278,,,,
