X Lag Time,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230829 3,X Intensity,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230829 3
0.5,0.891,0.889,0.876,0.4,0,0,0
1,0.9,0.895,0.882,0.463,0,0,0
1.5,0.896,0.894,0.881,0.536,0,0,0
2,0.897,0.894,0.879,0.621,0,0,0
2.5,0.894,0.891,0.878,0.719,0,0,0
3,0.894,0.889,0.877,0.833,0,0,0
3.5,0.892,0.89,0.876,0.965,0,0,0
4,0.892,0.889,0.874,1.12,0,0,0
4.5,0.89,0.887,0.873,1.29,0,0,0
5.5,0.888,0.884,0.871,1.5,0,0,0
6.5,0.885,0.881,0.869,1.74,0,0,0
7.5,0.882,0.879,0.866,2.01,0,0,0
8.5,0.88,0.877,0.863,2.33,0,0,0
9.5,0.876,0.875,0.862,2.7,0,0,0
10.5,0.875,0.872,0.859,3.12,0,0,0
11.5,0.873,0.869,0.857,3.62,0,0,0
12.5,0.87,0.867,0.855,4.19,0,0.0372,0
14.5,0.865,0.863,0.849,4.85,0,0.0652,0
16.5,0.862,0.858,0.845,5.61,0,0.0584,0
18.5,0.856,0.854,0.841,6.5,0,0.029,0
20.5,0.852,0.85,0.836,7.53,0,0.00521,0
22.5,0.847,0.845,0.832,8.72,0,0.00769,0
24.5,0.842,0.841,0.828,10.1,0,0.0369,0
26.5,0.838,0.837,0.824,11.7,0,0.0745,0
28.5,0.834,0.832,0.819,13.5,0,0.0954,0
32.5,0.826,0.824,0.811,15.7,0,0.0838,0
36.5,0.817,0.816,0.803,18.2,0,0.0455,0
40.5,0.809,0.808,0.795,21,0,0.00911,0
44.5,0.802,0.8,0.787,24.4,0,0.0126,0
48.5,0.793,0.792,0.78,28.2,0,0.0822,0
52.5,0.785,0.784,0.772,32.7,0,0.214,0
56.5,0.777,0.777,0.764,37.8,0,0.367,0
60.5,0.77,0.769,0.757,43.8,0,0.479,0
68.5,0.755,0.755,0.743,50.7,0,0.495,0
76.5,0.74,0.741,0.728,58.8,0,0.395,0
84.5,0.726,0.727,0.715,68.1,0,0.222,0
92.5,0.713,0.714,0.702,78.8,0,0.0753,0
101,0.7,0.701,0.689,91.3,0,0.0958,0
109,0.687,0.689,0.676,106,0,0.426,0.0112
117,0.674,0.676,0.664,122,0.392,1.17,0.566
125,0.662,0.664,0.652,142,1.49,2.36,1.89
141,0.638,0.64,0.629,164,3.32,3.94,3.91
157,0.616,0.618,0.607,190,5.71,5.75,6.36
173,0.594,0.597,0.586,220,8.27,7.58,8.85
189,0.573,0.576,0.566,255,10.6,9.2,11
205,0.553,0.557,0.546,295,12.3,10.4,12.3
221,0.535,0.539,0.528,342,13,10.9,12.7
237,0.516,0.521,0.51,396,12.6,10.8,12.1
253,0.499,0.504,0.493,459,11.2,9.91,10.5
285,0.466,0.471,0.461,531,8.95,8.48,8.33
317,0.436,0.441,0.431,615,6.34,6.66,5.87
349,0.408,0.413,0.403,712,3.8,4.7,3.52
381,0.382,0.387,0.377,825,1.74,2.88,1.65
413,0.358,0.363,0.354,955,0.463,1.41,0.469
445,0.336,0.341,0.331,1.11E+03,0,0.457,0
477,0.315,0.321,0.311,1.28E+03,0,0.0353,0
509,0.296,0.302,0.292,1.48E+03,0,0,0
573,0.262,0.267,0.257,1.72E+03,0,0,0
637,0.231,0.237,0.227,1.99E+03,0,0,0
701,0.205,0.211,0.201,2.30E+03,0,0,0
765,0.181,0.188,0.178,2.67E+03,0,0,0
829,0.161,0.168,0.158,3.09E+03,0,0,0
893,0.143,0.15,0.14,3.58E+03,0,0,0
957,0.127,0.134,0.125,4.15E+03,0,0,0
1.02E+03,0.114,0.12,0.111,4.80E+03,0,0,0
1.15E+03,0.0906,0.0974,0.0886,5.56E+03,0,0,0
1.28E+03,0.0722,0.0792,0.0712,6.44E+03,0,0,0
1.40E+03,0.0585,0.0639,0.0569,7.46E+03,0,0,0
1.53E+03,0.0476,0.0521,0.0459,8.63E+03,0,0,0
1.66E+03,0.0383,0.0434,0.0377,,,,
1.79E+03,0.0302,0.037,0.0304,,,,
1.92E+03,0.0234,0.0314,0.0246,,,,
2.04E+03,0.0186,0.026,0.0199,,,,
2.30E+03,0.0118,0.0181,0.0154,,,,
2.56E+03,0.00829,0.0137,0.0125,,,,
