X Lag Time,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No1_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No1_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No1_230921 3,X Intensity,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No1_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No1_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No1_230921 3
0.5,0.914,0.906,0.914,0.4,0,0,0
1,0.918,0.913,0.92,0.463,0,0,0
1.5,0.916,0.908,0.917,0.536,0,0,0
2,0.913,0.907,0.913,0.621,0,0,0
2.5,0.91,0.903,0.91,0.719,0,0,0
3,0.907,0.901,0.908,0.833,0,0,0
3.5,0.906,0.9,0.906,0.965,0,0,0
4,0.902,0.896,0.901,1.12,0,0,0
4.5,0.901,0.893,0.901,1.29,0,0,0
5.5,0.895,0.888,0.896,1.5,0,0,0
6.5,0.887,0.882,0.891,1.74,0,0,0
7.5,0.883,0.878,0.884,2.01,0,0,0
8.5,0.879,0.872,0.879,2.33,0,0,0
9.5,0.873,0.868,0.876,2.7,0,0,0
10.5,0.868,0.862,0.868,3.12,0,0,0
11.5,0.864,0.857,0.864,3.62,0,0,0
12.5,0.859,0.851,0.858,4.19,0,0,0
14.5,0.849,0.842,0.849,4.85,0,0,0
16.5,0.839,0.832,0.839,5.61,0,0,0
18.5,0.829,0.822,0.829,6.5,0,0,0
20.5,0.819,0.813,0.819,7.53,0,0,0
22.5,0.809,0.803,0.811,8.72,0,0,0
24.5,0.8,0.794,0.8,10.1,0,0,0
26.5,0.792,0.784,0.792,11.7,0,0,0
28.5,0.782,0.775,0.783,13.5,0,0,0
32.5,0.764,0.756,0.764,15.7,0,0,0
36.5,0.746,0.739,0.747,18.2,0,0,0
40.5,0.729,0.721,0.73,21,0,0,0
44.5,0.712,0.705,0.713,24.4,0,0,0.071
48.5,0.696,0.689,0.697,28.2,0,0,0.164
52.5,0.68,0.673,0.681,32.7,0,0,0.145
56.5,0.665,0.658,0.665,37.8,0,0,0.112
60.5,0.65,0.643,0.651,43.8,0.0315,0.276,0.35
68.5,0.621,0.613,0.622,50.7,1.25,1.42,1.17
76.5,0.593,0.585,0.594,58.8,3.56,3.4,2.73
84.5,0.566,0.559,0.568,68.1,6.38,5.92,4.96
92.5,0.541,0.534,0.543,78.8,9.07,8.52,7.59
101,0.517,0.51,0.52,91.3,11.1,10.8,10.2
109,0.494,0.488,0.497,106,12.3,12.3,12.2
117,0.473,0.466,0.476,122,12.5,12.8,13.3
125,0.453,0.446,0.455,142,11.7,12.3,13.1
141,0.414,0.408,0.417,164,10.2,10.9,11.8
157,0.379,0.373,0.382,190,8.24,8.75,9.51
173,0.348,0.342,0.35,220,6.08,6.3,6.69
189,0.32,0.313,0.322,255,4,3.9,3.91
205,0.294,0.287,0.295,295,2.25,1.93,1.68
221,0.27,0.263,0.271,342,0.988,0.614,0.378
237,0.249,0.242,0.249,396,0.26,0.0346,0
253,0.229,0.223,0.23,459,0,0,0
285,0.194,0.188,0.194,531,0,0,0
317,0.166,0.16,0.165,615,0,0,0
349,0.142,0.136,0.141,712,0,0,0
381,0.121,0.116,0.12,825,0,0,0
413,0.104,0.0981,0.102,955,0,0,0
445,0.0891,0.0836,0.0876,1.11E+03,0,0,0
477,0.077,0.071,0.0748,1.28E+03,0,0,0
509,0.0669,0.0611,0.0645,1.48E+03,0,0,0
573,0.05,0.0441,0.0474,1.72E+03,0,0,0
637,0.0376,0.0328,0.0348,1.99E+03,0,0,0
701,0.0275,0.0243,0.0257,2.30E+03,0,0,0
765,0.0197,0.0186,0.0189,2.67E+03,0,0,0
829,0.0138,0.0148,0.0144,3.09E+03,0,0,0
893,0.0101,0.0126,0.011,3.58E+03,0,0,0
957,0.00727,0.0119,0.00829,4.15E+03,0,0,0
1.02E+03,0.00604,0.0105,0.00654,4.80E+03,0,0,0
1.15E+03,0.00397,0.0078,0.00492,5.56E+03,0,0,0
1.28E+03,0.00325,0.00728,0.00424,6.44E+03,0,0,0
1.40E+03,0.00144,0.00604,0.00478,7.46E+03,0,0,0
1.53E+03,0.00163,0.00511,0.00431,8.63E+03,0,0,0
1.66E+03,0.0018,0.00441,0.00326,,,,
1.79E+03,0.00232,0.00366,0.00239,,,,
1.92E+03,0.00198,0.00377,0.00228,,,,
2.04E+03,0.0022,0.00269,0.00146,,,,
2.30E+03,0.00422,0.00132,0.0011,,,,
2.56E+03,0.00313,0.00103,0.000996,,,,
2.81E+03,0.00265,0.000115,0.00173,,,,
3.07E+03,0.00219,0.000643,0.002,,,,
3.32E+03,0.00124,0.000686,0.00289,,,,
3.58E+03,0.00241,0.000853,0.00202,,,,
3.84E+03,0.00237,0.000944,0.000273,,,,
4.09E+03,0.000324,0.00119,0.000838,,,,
4.60E+03,0.000265,0.00183,0.00321,,,,
5.12E+03,0.000229,0.00256,0.000283,,,,
5.63E+03,0.00196,0.00234,0.00113,,,,
6.14E+03,0.00186,0.0021,0.000951,,,,
6.65E+03,0.000612,0.00173,0.00109,,,,
7.16E+03,0.00169,0.002,0.0029,,,,
7.68E+03,0.00119,0.00121,0.00309,,,,
8.19E+03,0.00243,0.000663,0.00183,,,,
9.21E+03,0.00174,0.00092,0.00109,,,,
1.02E+04,0.00187,0.00162,0.000991,,,,
