X Lag Time,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No3_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No3_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No3_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No3_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No3_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No3_230918 3
0.5,0.88,0.892,0.891,0.4,0,0,0
1,0.882,0.899,0.895,0.463,0,0,0
1.5,0.879,0.894,0.891,0.536,0,0,0
2,0.874,0.891,0.89,0.621,0,0,0
2.5,0.871,0.889,0.885,0.719,0,0,0
3,0.872,0.884,0.884,0.833,0,0,0
3.5,0.866,0.883,0.88,0.965,0,0,0
4,0.864,0.88,0.877,1.12,0,0,0
4.5,0.861,0.876,0.874,1.29,0,0,0
5.5,0.854,0.871,0.868,1.5,0,0,0
6.5,0.85,0.865,0.864,1.74,0,0,0
7.5,0.844,0.859,0.857,2.01,0,0,0
8.5,0.838,0.852,0.852,2.33,0,0,0
9.5,0.833,0.849,0.848,2.7,0,0,0
10.5,0.829,0.842,0.841,3.12,0,0,0
11.5,0.824,0.839,0.834,3.62,0,0,0
12.5,0.817,0.833,0.83,4.19,0,0,0
14.5,0.808,0.823,0.818,4.85,0,0,0
16.5,0.798,0.813,0.809,5.61,0,0,0
18.5,0.789,0.803,0.8,6.5,0,0.0723,0.318
20.5,0.78,0.794,0.79,7.53,0,0.365,0.639
22.5,0.77,0.784,0.782,8.72,0,0.627,0.714
24.5,0.761,0.775,0.772,10.1,0,0.688,0.534
26.5,0.754,0.767,0.763,11.7,0,0.568,0.259
28.5,0.745,0.758,0.755,13.5,0,0.402,0.0704
32.5,0.729,0.742,0.738,15.7,0,0.319,0.0679
36.5,0.713,0.727,0.724,18.2,0,0.364,0.232
40.5,0.699,0.711,0.708,21,0,0.478,0.452
44.5,0.684,0.696,0.693,24.4,0.0204,0.556,0.598
48.5,0.671,0.683,0.679,28.2,0.254,0.516,0.579
52.5,0.657,0.669,0.666,32.7,0.611,0.351,0.398
56.5,0.644,0.656,0.652,37.8,0.94,0.14,0.151
60.5,0.631,0.642,0.64,43.8,1.18,0,0
68.5,0.608,0.618,0.615,50.7,1.38,0,0.12
76.5,0.584,0.595,0.592,58.8,1.72,0.252,0.718
84.5,0.563,0.574,0.57,68.1,2.36,1.15,1.9
92.5,0.542,0.553,0.549,78.8,3.41,2.82,3.62
101,0.523,0.533,0.529,91.3,4.89,5.11,5.71
109,0.504,0.514,0.51,106,6.65,7.69,7.9
117,0.486,0.496,0.492,122,8.44,10.1,9.85
125,0.469,0.479,0.475,142,9.97,11.9,11.2
141,0.437,0.446,0.441,164,10.9,12.7,11.8
157,0.407,0.416,0.412,190,11.2,12.4,11.5
173,0.38,0.389,0.384,220,10.5,10.9,10.3
189,0.355,0.363,0.359,255,9.12,8.63,8.34
205,0.332,0.339,0.335,295,7.15,5.93,6.02
221,0.311,0.317,0.313,342,4.93,3.34,3.69
237,0.291,0.297,0.293,396,2.84,1.35,1.76
253,0.274,0.279,0.274,459,1.23,0.258,0.502
285,0.241,0.245,0.24,531,0.287,0,0
317,0.213,0.216,0.211,615,0,0,0
349,0.188,0.191,0.186,712,0,0,0
381,0.167,0.168,0.164,825,0,0,0
413,0.148,0.149,0.145,955,0,0,0
445,0.132,0.131,0.128,1.11E+03,0,0,0
477,0.117,0.116,0.114,1.28E+03,0,0,0
509,0.105,0.104,0.101,1.48E+03,0,0,0
573,0.0832,0.0811,0.0798,1.72E+03,0,0,0
637,0.0661,0.0632,0.0626,1.99E+03,0,0,0
701,0.0529,0.0499,0.049,2.30E+03,0,0,0
765,0.0429,0.039,0.0389,2.67E+03,0,0,0
829,0.0343,0.03,0.0305,3.09E+03,0,0,0
893,0.0277,0.0234,0.0239,3.58E+03,0,0,0
957,0.022,0.019,0.0181,4.15E+03,0,0,0
1.02E+03,0.0178,0.0151,0.0136,4.80E+03,0,0,0
1.15E+03,0.0114,0.00895,0.00752,5.56E+03,0,0,0
1.28E+03,0.00681,0.00532,0.00431,6.44E+03,0,0,0
1.40E+03,0.00468,0.00322,0.00268,7.46E+03,0,0,0
1.53E+03,0.00336,0.00242,0.00216,8.63E+03,0,0,0
1.66E+03,0.00239,0.00221,0.00244,,,,
1.79E+03,0.00261,0.00229,0.00239,,,,
1.92E+03,0.00289,0.00166,0.00201,,,,
2.04E+03,0.00218,0.00171,0.000962,,,,
2.30E+03,0.0033,0.00249,0.000678,,,,
2.56E+03,0.00474,0.00257,0.000836,,,,
2.81E+03,0.00426,0.00248,0.000118,,,,
3.07E+03,0.00353,0.00235,0.000695,,,,
3.32E+03,0.00236,0.00196,0.000856,,,,
3.58E+03,0.000881,0.00153,0.00134,,,,
3.84E+03,0.000703,0.000846,0.00251,,,,
4.09E+03,0.00121,0.00085,0.00162,,,,
4.60E+03,0.00151,0.00291,0.00186,,,,
5.12E+03,0.000691,0.00374,0.00209,,,,
5.63E+03,0.000727,0.00442,0.00186,,,,
6.14E+03,0.00188,0.0027,0.00288,,,,
6.65E+03,0.000662,0.00051,0.00289,,,,
7.16E+03,0.000372,0.000988,0.00113,,,,
