X Lag Time,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_NA_No1_230920 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_NA_No1_230920 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_NA_No1_230920 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_NA_No1_230920 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_NA_No1_230920 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_NA_No1_230920 3
0.5,0.511,0.515,0.505,0.4,0,0,0
1,0.495,0.502,0.488,0.463,0,0,0
1.5,0.478,0.483,0.471,0.536,0,0,0
2,0.462,0.466,0.455,0.621,0,0,0
2.5,0.446,0.455,0.44,0.719,0,0,0
3,0.438,0.442,0.426,0.833,0,0,0
3.5,0.423,0.421,0.41,0.965,0,0,0
4,0.414,0.408,0.394,1.12,0,0,0
4.5,0.399,0.4,0.382,1.29,0,0,0
5.5,0.377,0.376,0.357,1.5,0,0,0
6.5,0.357,0.354,0.336,1.74,0,0,0
7.5,0.336,0.336,0.314,2.01,0,0,0
8.5,0.318,0.315,0.293,2.33,0,0,0
9.5,0.301,0.296,0.277,2.7,0,0,0
10.5,0.284,0.282,0.258,3.12,0,0,0
11.5,0.269,0.268,0.244,3.62,0,0,0.199
12.5,0.256,0.254,0.233,4.19,0.481,0.378,1.05
14.5,0.231,0.228,0.205,4.85,1.68,1.56,2.66
16.5,0.209,0.205,0.181,5.61,3.56,3.52,4.83
18.5,0.189,0.183,0.162,6.5,5.87,5.97,7.22
20.5,0.171,0.166,0.145,7.53,8.24,8.46,9.43
22.5,0.155,0.149,0.13,8.72,10.3,10.6,11.1
24.5,0.14,0.136,0.115,10.1,11.6,11.9,11.9
26.5,0.128,0.124,0.103,11.7,12,12.3,11.8
28.5,0.117,0.112,0.0919,13.5,11.4,11.7,10.9
32.5,0.0972,0.0936,0.0757,15.7,9.96,10.2,9.2
36.5,0.0806,0.0768,0.0624,18.2,7.9,8.11,7.1
40.5,0.0693,0.0642,0.0507,21,5.57,5.75,4.89
44.5,0.059,0.0543,0.0436,24.4,3.35,3.5,2.88
48.5,0.0511,0.0459,0.037,28.2,1.57,1.67,1.33
52.5,0.0433,0.04,0.0284,32.7,0.449,0.497,0.377
56.5,0.0389,0.034,0.0246,37.8,0,0.00517,0
60.5,0.0342,0.03,0.0217,43.8,0,0,0
68.5,0.0264,0.0227,0.0165,50.7,0,0,0
76.5,0.0208,0.0175,0.0128,58.8,0,0,0
84.5,0.0179,0.0138,0.0104,68.1,0,0,0
92.5,0.0159,0.0115,0.00711,78.8,0,0,0
101,0.0144,0.0104,0.00626,91.3,0,0,0
109,0.0123,0.00868,0.00621,106,0,0,0
117,0.0117,0.00838,0.0055,122,0,0,0
125,0.0106,0.00798,0.00401,142,0,0,0
141,0.00924,0.00634,0.00309,164,0,0,0
157,0.00858,0.0059,0.00336,190,0,0,0
173,0.00825,0.00543,0.0038,220,0,0,0
189,0.0078,0.00519,0.00275,255,0,0,0
205,0.00764,0.0053,0.00269,295,0,0,0
221,0.00776,0.00508,0.00309,342,0,0,0
237,0.00724,0.00454,0.00266,396,0,0,0
253,0.00733,0.00452,0.00234,459,0,0,0
285,0.00695,0.00439,0.00201,531,0,0,0
317,0.00662,0.00413,0.00182,615,0,0,0
349,0.00564,0.00402,0.00171,712,0,0,0
381,0.00579,0.00418,0.00171,825,0,0,0
413,0.00564,0.00405,0.00177,955,0,0,0
445,0.00517,0.004,0.00169,1.11E+03,0.0121,0,0
477,0.00484,0.00401,0.00159,1.28E+03,0.0548,0,0
509,0.0049,0.00413,0.00128,1.48E+03,0.133,0,0.00711
573,0.00489,0.00354,0.00161,1.72E+03,0.244,0.000957,0.038
637,0.00449,0.00282,0.00128,1.99E+03,0.376,0.0401,0.0976
701,0.00376,0.00301,0.000643,2.30E+03,0.518,0.131,0.182
765,0.00429,0.00277,0.000755,2.67E+03,0.653,0.267,0.282
829,0.00399,0.00332,0.00111,3.09E+03,0.768,0.433,0.385
893,0.00387,0.00331,0.000919,3.58E+03,0.849,0.601,0.475
957,0.00305,0.00244,0.000741,4.15E+03,0.885,0.745,0.54
1.02E+03,0.00322,0.00252,0.000767,4.80E+03,0.869,0.836,0.568
1.15E+03,0.00332,0.00181,0.000797,5.56E+03,0.796,0.852,0.549
1.28E+03,0.00317,0.00241,0.000791,6.44E+03,0,0,0
1.40E+03,0.00297,0.00286,0.000804,7.46E+03,0,0,0
1.53E+03,0.00297,0.00188,0.000402,8.63E+03,0,0,0
1.66E+03,0.0031,0.00192,0.000485,,,,
1.79E+03,0.00306,0.00161,0.000565,,,,
1.92E+03,0.00286,0.00186,0.000916,,,,
2.04E+03,0.00306,0.00193,0.000657,,,,
2.30E+03,0.00293,0.00157,0.000369,,,,
2.56E+03,0.00279,0.00198,0.000516,,,,
2.81E+03,0.00291,0.00216,0.000501,,,,
3.07E+03,0.00292,0.00203,0.00078,,,,
3.32E+03,0.00285,0.00196,0.000568,,,,
3.58E+03,0.00299,0.00219,0.000438,,,,
3.84E+03,0.00279,0.00149,0.00059,,,,
4.09E+03,0.00281,0.00184,0.000772,,,,
4.60E+03,0.00285,0.00189,0.000629,,,,
5.12E+03,0.00291,0.00177,0.000687,,,,
5.63E+03,0.00289,0.00209,0.00049,,,,
6.14E+03,0.00312,0.00188,0.000503,,,,
6.65E+03,0.00292,0.00188,0.000467,,,,
7.16E+03,0.00297,0.00195,0.000606,,,,
7.68E+03,0.00274,0.00189,0.000236,,,,
8.19E+03,0.00287,0.00177,0.000636,,,,
9.21E+03,0.00292,0.00187,0.000538,,,,
1.02E+04,0.0025,0.00186,0.000427,,,,
1.13E+04,0.00275,0.00199,0.000417,,,,
1.23E+04,0.00278,0.00194,0.000544,,,,
1.33E+04,0.00266,0.00169,0.00039,,,,
1.43E+04,0.0026,0.00195,0.000439,,,,
1.54E+04,0.00263,0.00188,0.000766,,,,
1.64E+04,0.00263,0.00185,0.000552,,,,
1.84E+04,0.00256,0.00156,0.000523,,,,
2.05E+04,0.00265,0.00187,0.000516,,,,
2.25E+04,0.00261,0.0018,0.000525,,,,
2.46E+04,0.00264,0.00179,0.000311,,,,
